POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA4000,8819,7734,16552,177,225,397,250,258,503,494,511,1010,1437,1433,2872,2956,2641,5596,1246,899,2141,938,687,1623,734,614,1351,409,310,718,143,119,264,35,42,72,8306,7343,15646,512,392,903,59,44,105,10,3,11,9,3,12,71,51,127,3388,2682,6070,4453,4344,8801,4476,3482,7960,3397,3573,6965,4462,3639,8103,24,38,64,216,230,446,404,403,804,783,793,1582,1046,1103,2148,6164,5580,11744,406,305,714,551,432,980,116,81,196,108,96,204,52,40,97,6921,6514,13437,4788,3690,8484
POA4005,8772,9101,17876,318,327,647,412,403,817,194,227,423,608,757,1367,2491,2624,5113,1556,1425,2984,1169,1096,2268,991,959,1945,647,670,1316,294,326,620,94,293,385,8134,8499,16634,637,606,1242,71,50,124,6,6,15,0,3,4,79,62,141,5225,5470,10686,2332,2339,4667,6367,6489,12853,1197,1315,2509,6374,6629,12999,47,53,105,357,349,708,151,157,311,239,341,582,517,629,1144,5660,5896,11558,335,272,604,583,657,1240,109,84,188,139,168,311,37,31,69,7126,7512,14641,1326,1357,2683
POA4006,7680,6847,14530,211,180,392,173,185,359,207,263,467,1027,1220,2250,2939,2548,5487,1344,952,2296,766,513,1284,550,474,1021,322,310,633,126,115,239,26,82,111,7222,6455,13673,465,391,857,92,72,159,8,4,15,12,5,15,110,83,188,3770,3313,7077,2722,2602,5317,4668,4063,8724,1844,1871,3713,4629,4079,8711,27,16,46,147,158,310,126,176,303,395,555,952,713,779,1491,5087,4662,9752,297,282,578,525,455,984,113,75,191,71,74,146,26,23,57,6165,5615,11779,2013,1888,3899
POA4007,6187,6579,12769,270,264,533,531,584,1117,298,399,701,468,531,1000,1165,1201,2369,880,899,1785,961,990,1951,780,778,1553,527,512,1045,227,281,507,72,137,213,5772,6214,11986,415,373,781,45,50,97,4,12,18,3,0,3,56,66,116,4072,4309,8387,1535,1673,3210,4777,5010,9786,857,998,1849,4882,5132,10012,38,45,86,499,546,1045,255,347,605,178,221,399,241,357,592,3779,3935,7715,269,304,573,585,708,1291,114,109,218,81,95,179,7,8,14,5448,5789,11238,844,836,1683
POA4008,229,137,368,10,7,15,8,8,12,6,10,18,18,11,26,58,24,83,30,17,42,47,23,70,31,24,50,20,14,34,6,3,8,0,7,7,215,132,349,11,7,19,3,4,9,3,0,3,0,0,0,8,4,9,108,91,202,95,40,138,128,102,231,9,8,18,128,105,232,5,0,5,8,8,12,0,13,10,0,0,0,0,3,4,47,49,96,12,7,17,41,26,65,3,4,7,13,11,22,0,0,0,130,113,248,92,25,118
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,1104,1192,2296,49,56,104,84,61,138,44,42,88,101,132,239,348,362,710,179,156,335,118,127,245,89,97,193,56,53,109,24,45,76,10,47,61,1038,1121,2163,68,71,138,21,15,28,0,3,5,0,0,0,16,15,32,727,813,1539,289,289,578,860,907,1765,161,182,343,867,922,1787,11,15,20,79,57,131,32,35,69,30,49,83,72,90,158,698,767,1470,39,50,86,104,107,210,19,16,37,18,29,45,4,0,6,1006,1069,2076,145,99,245
POA4011,7309,7869,15180,448,374,817,824,882,1712,387,492,884,486,579,1057,1294,1346,2639,1095,1142,2234,1086,1112,2207,813,868,1685,543,594,1135,246,291,539,92,173,269,6909,7459,14365,406,409,812,58,88,143,10,5,13,3,0,5,68,94,169,5076,5523,10599,1733,1838,3574,5767,6299,12072,1064,1099,2161,5981,6469,12451,67,83,151,771,814,1580,329,419,742,203,273,476,286,431,719,4309,4693,9005,315,341,659,673,819,1494,157,147,305,119,150,267,15,24,43,6637,7091,13730,560,647,1209
POA4012,10688,11143,21828,734,670,1404,1152,1067,2222,472,487,957,824,874,1700,2295,2408,4702,1787,1779,3567,1361,1392,2752,1052,1109,2163,588,631,1226,278,401,685,146,312,459,10096,10644,20746,591,498,1082,150,122,270,15,15,26,13,18,33,176,149,326,7460,7667,15128,2602,2850,5450,8474,8634,17110,1621,1916,3537,8660,9033,17694,118,105,221,1089,1015,2104,363,374,739,270,343,616,410,663,1074,5961,6330,12288,522,477,1007,1208,1368,2573,223,206,431,240,324,557,27,33,69,9920,10426,20351,449,507,959
POA4013,2270,2298,4568,154,146,307,220,231,450,106,118,224,167,184,353,505,498,1008,379,336,716,291,315,610,230,237,459,148,137,281,49,59,113,18,33,46,2149,2201,4355,127,92,216,57,58,110,3,3,11,3,3,6,63,67,123,1609,1638,3245,530,519,1054,1820,1842,3663,327,328,652,1850,1873,3725,25,24,51,208,211,418,81,88,174,57,66,116,101,135,237,1197,1239,2440,124,126,251,298,303,601,62,43,108,76,63,142,11,9,21,2105,2147,4258,121,130,251
POA4014,5846,6064,11913,418,409,828,741,707,1449,309,316,627,389,336,722,884,915,1800,1015,1038,2054,782,742,1525,639,643,1278,398,407,805,196,289,482,77,258,337,5566,5797,11367,278,267,546,117,117,235,5,10,11,4,8,10,123,135,256,4297,4335,8629,1216,1270,2487,4883,4880,9760,671,760,1432,4928,5024,9958,76,72,150,692,658,1353,218,234,451,119,126,246,162,247,409,2759,2869,5625,315,275,592,905,924,1829,172,122,292,192,258,446,24,30,54,5472,5543,11014,231,401,631
POA4017,18003,18865,36869,1155,1109,2266,2509,2383,4898,1197,1070,2271,946,970,1914,2003,2152,4160,2623,2889,5517,2754,2818,5569,2206,2264,4469,1562,1739,3297,761,954,1715,287,519,803,17187,18080,35265,814,785,1601,403,402,800,31,27,60,20,10,38,451,439,896,13517,13969,27485,3603,3932,7541,15551,16100,31650,1604,1898,3495,15563,16313,31874,227,212,434,2340,2241,4579,846,811,1661,259,339,597,436,828,1268,7509,8373,15878,1132,947,2074,3285,3470,6757,702,617,1319,697,855,1557,67,57,121,16864,17631,34490,838,958,1787
POA4018,5673,6477,12153,515,435,947,661,607,1266,278,267,548,398,411,813,1059,1224,2286,871,942,1814,622,770,1390,510,636,1144,372,516,884,263,444,706,133,235,361,5454,6270,11728,220,209,424,76,108,186,11,12,23,12,16,30,101,143,242,3232,3786,7017,2151,2394,4549,3629,4320,7954,1766,1887,3647,4399,5090,9487,78,56,134,590,562,1156,200,206,405,138,165,295,193,379,570,2818,3189,6005,316,343,657,707,1011,1714,145,183,330,205,334,537,29,47,82,5323,6078,11398,292,355,648
POA4019,9794,10312,20106,545,533,1073,1191,1123,2312,552,482,1034,502,421,923,1007,1122,2131,1259,1399,2658,1542,1550,3091,1354,1496,2843,1134,1216,2353,537,655,1196,187,313,498,9313,9906,19220,482,405,884,289,301,586,24,16,41,14,21,32,320,336,657,7216,7494,14712,1958,2178,4137,8726,9145,17871,562,634,1194,8402,8785,17190,89,86,170,1090,1032,2128,334,339,675,95,108,199,199,420,620,3393,3861,7255,706,713,1414,2275,2332,4607,537,487,1025,490,546,1036,32,26,61,9139,9679,18823,521,569,1087
POA4020,10443,11602,22043,424,467,886,1191,1053,2247,641,567,1212,496,483,982,889,943,1833,1182,1344,2524,1568,1747,3314,1572,1840,3411,1451,1702,3157,767,978,1748,252,479,733,9846,11060,20909,592,541,1135,193,236,428,10,6,19,13,11,20,210,251,461,7208,7832,15044,2432,2853,5283,9115,9905,19017,578,812,1396,8773,9675,18450,76,74,147,1098,958,2052,437,406,842,105,131,233,175,403,580,3873,4484,8360,756,743,1500,2299,2637,4941,538,554,1090,453,607,1065,38,31,67,9546,10593,20134,870,1028,1899
POA4021,4574,5209,9790,297,298,593,650,643,1290,312,311,618,272,274,545,552,569,1121,587,668,1254,539,632,1167,525,647,1178,499,598,1099,239,372,612,102,206,310,4385,5008,9392,193,203,394,160,194,350,11,22,29,8,4,17,179,216,396,3314,3676,6988,971,1166,2137,3994,4473,8464,308,400,712,3821,4317,8141,49,59,108,600,597,1196,193,206,399,43,58,101,65,193,256,1467,1698,3162,326,363,692,1040,1184,2224,237,288,525,237,288,523,13,19,34,4297,4815,9115,233,332,566
POA4022,3317,3846,7165,230,198,436,498,467,964,237,247,489,231,214,448,345,406,747,340,425,767,405,448,853,311,378,688,352,407,756,246,374,624,125,270,394,3181,3731,6912,143,117,259,116,102,217,9,9,16,3,4,5,129,115,242,2399,2786,5186,690,819,1511,2843,3313,6155,258,297,554,2794,3270,6062,23,27,52,458,438,889,154,167,316,40,51,92,38,118,160,1036,1278,2311,236,237,473,700,900,1596,173,210,388,161,196,357,19,13,36,2997,3399,6390,288,423,711
POA4025,208,155,368,0,9,5,8,3,10,0,6,7,22,23,40,61,53,112,21,16,34,33,17,49,26,22,48,26,12,32,7,3,11,0,0,0,187,144,326,22,11,37,4,0,4,0,0,0,0,0,0,7,0,7,99,59,161,52,59,113,132,87,223,27,31,62,123,78,194,0,0,0,5,0,6,0,0,0,0,0,0,4,4,15,92,75,164,10,9,20,34,23,54,9,7,14,9,5,6,0,0,0,67,51,121,352,299,657
POA4029,31,47,81,3,7,10,0,0,0,0,5,5,5,3,14,3,7,11,0,10,13,5,5,7,3,0,3,0,7,7,0,3,3,0,3,9,31,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,16,0,0,3,5,10,17,0,0,0,9,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,367,406,768
POA4030,8298,8233,16530,483,458,944,846,780,1627,383,445,832,861,910,1774,1978,1866,3840,1302,1275,2582,1088,1020,2107,725,677,1403,404,409,809,142,235,380,78,162,240,7884,7887,15779,410,341,753,102,101,208,8,0,11,4,7,5,114,113,224,5656,5616,11276,2134,2135,4262,6507,6367,12869,1320,1403,2720,6642,6634,13274,83,88,167,799,727,1530,308,342,652,337,396,737,470,568,1041,5092,5114,10210,350,277,632,699,735,1435,150,126,271,147,221,373,17,23,37,7642,7575,15210,517,590,1102
POA4031,6651,6932,13588,473,429,902,878,783,1666,340,356,695,522,571,1097,1251,1321,2568,1069,1172,2248,943,932,1877,605,607,1209,319,342,657,168,237,408,81,179,263,6318,6609,12926,340,322,667,82,111,187,14,15,29,5,4,11,102,128,225,4962,5100,10059,1331,1429,2758,5499,5639,11140,821,902,1721,5639,5813,11454,94,86,175,830,728,1561,276,290,572,173,234,404,241,387,633,3634,3942,7573,313,257,570,706,782,1484,127,134,263,144,211,355,21,30,46,6152,6440,12594,287,335,620
POA4032,7440,8338,15777,471,407,873,752,710,1462,375,406,780,600,699,1296,1470,1508,2978,1022,1010,2032,857,900,1758,709,812,1516,484,719,1200,465,677,1141,245,501,743,7150,8036,15184,293,303,593,153,152,304,13,16,33,15,22,33,182,183,369,4842,5196,10035,2095,2427,4523,5369,5774,11143,1593,1887,3474,5834,6420,12255,68,66,140,699,651,1346,275,308,582,170,302,470,302,445,745,3680,4126,7803,402,375,774,1101,1306,2401,204,211,415,264,403,661,42,52,95,6940,7666,14608,857,1059,1914
POA4034,21684,22772,44463,1430,1371,2797,2593,2397,4986,1322,1195,2519,1521,1419,2944,3385,3309,6688,3051,3019,6064,2652,2810,5467,2326,2580,4906,1821,2175,3996,1116,1608,2726,471,891,1364,20781,22015,42793,907,761,1667,431,444,873,36,31,69,37,31,63,496,505,1003,14787,15502,30294,5795,6126,11922,16773,17591,34367,3877,4156,8037,17961,19030,36992,225,222,442,2416,2235,4652,969,934,1901,477,490,972,701,1028,1729,10529,10730,21259,1245,1132,2375,3194,3931,7122,636,659,1293,777,1140,1920,114,129,241,20400,21650,42048,1020,961,1977
POA4035,11767,12440,24209,627,604,1229,1825,1750,3573,953,935,1891,774,669,1444,1064,1138,2199,1493,1649,3143,1890,2064,3954,1512,1588,3102,1029,1103,2133,450,615,1068,147,322,468,11235,12040,23271,534,406,936,112,119,239,9,9,24,9,4,14,134,138,272,8741,9327,18071,2601,2665,5266,10188,10657,20848,1179,1383,2566,10542,11157,21701,128,132,254,1752,1677,3428,773,800,1567,298,304,599,260,408,666,5915,6129,12040,694,673,1367,1736,2122,3855,331,332,663,231,352,587,14,19,35,11232,11968,23202,254,348,607
