POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA4000,30,2000,706,500,2171,1.1,1728,2.1
POA4005,36,2200,1189,440,2820,0.9,2054,1.9
POA4006,31,2000,923,400,2147,1.1,1618,1.9
POA4007,38,2300,1055,400,2628,0.9,1918,2.2
POA4008,42,1625,741,300,1604,0.7,1199,2.1
POA4009,0,0,0,0,0,0,0,0
POA4010,32,2000,951,380,2400,0.9,1724,2
POA4011,37,2167,948,355,2473,0.8,1828,2.3
POA4012,34,2000,913,370,2187,0.9,1726,2.3
POA4013,34,2033,854,340,2190,0.8,1672,2.4
POA4014,37,2000,809,395,2133,0.8,1861,2.7
POA4017,40,1860,710,360,1910,0.8,1591,2.6
POA4018,36,1733,718,373,1732,0.8,1408,2.4
POA4019,44,1651,617,300,1464,0.8,1138,2.2
POA4020,49,1733,613,315,1534,0.8,1125,2.2
POA4021,40,1625,548,330,1327,0.8,1123,2.5
POA4022,41,1647,537,360,1378,0.7,1157,2.6
POA4025,35,1300,781,100,1281,0.7,1093,1.7
POA4029,35,0,687,0,0,0,0,0
POA4030,32,2200,906,360,2364,0.9,1834,2.4
POA4031,34,2167,934,350,2326,0.9,1796,2.4
POA4032,37,1900,707,365,1742,0.8,1369,2.3
POA4034,38,1950,713,370,1812,0.8,1503,2.5
POA4035,41,2000,806,400,2312,0.8,2100,2.9
POA4036,36,1733,725,370,1730,0.8,1584,2.8
POA4037,36,2129,886,430,2418,0.8,2368,3.2
POA4051,33,2167,942,370,2467,0.8,1895,2.5
POA4053,36,2000,824,375,2114,0.8,1759,2.5
POA4054,38,1950,735,370,1901,0.8,1606,2.6
POA4055,37,2000,839,380,2241,0.8,2096,3
POA4059,29,2176,714,420,2249,1,1634,2.4
POA4060,36,2464,962,430,2848,0.9,2289,2.8
POA4061,41,2167,845,450,2414,0.8,2163,2.9
POA4064,32,2400,1065,450,2824,0.9,2190,2.4
POA4065,37,2600,1035,460,3133,0.8,2538,2.8
POA4066,29,2100,838,400,2341,0.9,1779,2.3
POA4067,25,2167,451,430,2037,1,1385,2.6
POA4068,31,2037,747,405,2254,0.9,1730,2.5
POA4069,42,2300,877,480,2695,0.8,2403,2.9
POA4070,37,2110,818,415,2253,0.8,2128,3
POA4072,19,0,58,0,0,0,1499,1
POA4073,39,2063,887,430,2443,0.8,2254,2.9
POA4074,38,2000,791,405,2139,0.8,1958,2.8
POA4075,36,2146,844,395,2340,0.8,1946,2.7
POA4076,33,1517,542,338,1377,0.8,1271,2.8
POA4077,32,1625,467,300,1189,0.9,1085,2.9
POA4078,35,1733,709,360,1792,0.8,1639,2.9
POA4101,32,2167,794,450,2233,1,1728,2.2
POA4102,30,2100,653,400,1939,1,1489,2.3
POA4103,31,2000,744,350,2112,0.9,1613,2.4
POA4104,36,2123,846,361,2328,0.8,1665,2.3
POA4105,35,1996,813,355,2135,0.9,1676,2.4
POA4106,33,1603,620,340,1545,0.9,1375,2.5
POA4107,35,2000,708,370,1921,0.8,1628,2.7
POA4108,32,1660,526,350,1435,0.9,1275,2.7
POA4109,33,1800,487,400,1443,0.8,1388,3
POA4110,33,1733,580,340,1496,0.8,1370,2.9
POA4111,26,1831,433,308,1788,0.8,1489,2.4
POA4112,32,2000,632,390,1843,0.9,1835,3.3
POA4113,33,1733,579,400,1568,0.9,1530,3
POA4114,31,1300,455,280,1060,1,960,2.9
POA4115,35,1915,713,410,1887,0.8,1784,3
POA4116,32,1950,659,410,1724,0.8,1707,3.2
POA4117,31,1928,747,410,1717,0.8,1733,3.2
POA4118,33,1733,682,350,1633,0.8,1557,3
POA4119,33,1900,689,380,1741,0.8,1648,3
POA4120,32,2000,854,360,2169,0.9,1671,2.2
POA4121,36,2167,851,390,2402,0.8,2031,2.7
POA4122,35,2000,678,390,1884,0.8,1594,2.7
POA4123,35,1863,741,370,1894,0.8,1709,2.8
POA4124,35,1850,671,350,1723,0.8,1671,3.1
POA4125,45,1900,566,410,1549,0.8,1303,2.8
POA4127,36,1694,655,325,1597,0.8,1418,2.8
POA4128,37,1920,774,375,2005,0.8,1865,2.9
POA4129,33,1733,715,365,1668,0.8,1619,3
POA4130,40,2008,763,395,2141,0.8,2021,3
POA4131,31,1600,578,340,1382,0.9,1320,2.9
POA4132,28,1517,593,345,1359,0.9,1336,3.3
POA4133,33,1733,634,360,1475,0.8,1334,2.8
POA4151,34,2000,935,360,2310,0.9,1789,2.3
POA4152,37,2167,848,420,2298,0.8,1959,2.7
POA4153,38,2058,831,435,2210,0.8,2094,2.9
POA4154,34,2444,1004,480,2622,0.8,2486,3.2
POA4155,43,2817,757,350,2402,0.8,2476,3.3
POA4156,39,2275,834,500,2613,0.8,2514,3.3
POA4157,38,1872,705,350,1778,0.8,1520,2.7
POA4158,40,1777,725,355,1609,0.8,1299,2.3
POA4159,41,1961,712,400,1918,0.8,1673,2.8
POA4160,43,2000,746,420,2079,0.8,1834,2.7
POA4161,37,1820,708,375,1783,0.8,1591,2.8
POA4163,49,1950,656,375,1716,0.7,1275,2.3
POA4164,39,2167,751,450,2080,0.8,1936,3
POA4165,40,2100,708,440,1878,0.8,1687,2.8
POA4169,33,2000,916,420,2312,0.9,1802,2.1
POA4170,33,2258,989,420,2488,0.8,2065,2.5
POA4171,36,2600,1121,445,2960,0.8,2392,2.5
POA4172,34,2167,900,420,2248,0.8,2030,2.8
POA4173,37,1863,788,400,1872,0.8,1643,2.6
POA4174,35,1904,780,380,1914,0.8,1669,2.7
POA4178,40,2000,720,385,1881,0.8,1467,2.5
POA4179,41,2050,767,400,2082,0.8,1709,2.6
POA4183,49,1733,568,250,1288,0.8,1013,2.1
POA4184,57,975,417,235,821,0.8,707,1.9
POA4205,47,1517,507,325,1245,0.8,949,2.3
POA4207,35,1673,623,325,1449,0.8,1272,2.7
POA4208,33,2043,762,420,1911,0.8,1831,3.1
POA4209,29,2000,738,410,1737,0.8,1705,3.2
POA4210,35,2000,726,420,1853,0.8,1745,3
POA4211,37,1863,662,390,1644,0.8,1459,2.7
POA4212,44,2037,705,450,1901,0.8,1688,2.6
POA4213,40,2000,671,420,1782,0.8,1669,3
POA4214,39,1820,617,410,1628,0.8,1449,2.8
POA4215,38,1560,550,350,1288,0.9,1034,2.1
POA4216,47,1842,624,370,1467,0.8,1180,2.2
POA4217,40,1950,672,375,1620,1,1275,2.2
POA4218,40,1950,738,375,1728,0.9,1399,2.3
POA4220,40,1900,703,400,1727,0.8,1393,2.4
POA4221,41,1932,651,360,1664,0.8,1308,2.4
POA4222,0,0,0,0,0,0,0,0
POA4223,43,1950,643,380,1631,0.8,1392,2.6
POA4224,41,1733,672,370,1548,0.8,1288,2.3
POA4225,49,1625,627,330,1410,0.9,1039,1.9
POA4226,40,1900,657,450,1669,0.8,1466,2.6
POA4227,34,1950,676,425,1659,0.9,1458,2.7
POA4228,43,2167,669,380,1938,0.9,1903,3.2
POA4229,19,0,3,0,0,0,0,0
POA4230,43,1580,699,435,1385,0.8,1265,2.1
POA4270,41,2080,699,395,1875,0.8,1841,3
POA4271,47,1650,581,365,1456,0.8,1217,2.4
POA4272,51,1807,581,380,1478,0.8,1266,2.5
POA4275,42,1863,671,350,1692,0.8,1542,2.8
POA4280,35,1950,683,400,1786,0.8,1791,3.2
POA4285,40,1738,586,300,1474,0.8,1296,2.7
POA4287,46,1387,486,180,1190,0.8,982,2.4
POA4300,30,1800,753,360,1822,0.8,1706,3
POA4301,28,1517,649,330,1417,0.9,1369,3.1
POA4303,38,1231,440,250,1027,0.9,941,2.7
POA4304,35,1387,576,280,1348,0.8,1140,2.5
POA4305,34,1473,622,280,1468,0.8,1253,2.6
POA4306,38,1800,708,320,1858,0.8,1663,2.9
POA4307,42,1560,646,250,1585,0.8,1424,2.8
