POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA4000,866,3685,5327,2013,1513,1250,670,252,69,15646,0,8,11,3,4,5,4,0,0,32,20,86,263,246,259,218,118,44,6,1260,16,60,177,209,176,116,114,36,3,900,114,495,546,445,486,511,371,128,49,3144,3,19,32,44,52,62,37,14,5,281,3,25,62,76,81,74,32,16,0,373,6,0,14,14,18,15,13,5,0,84,0,4,21,7,5,13,4,0,0,58,4,6,29,37,34,20,7,0,0,133,0,0,0,3,0,0,0,0,0,6,174,696,1140,1082,1109,1032,705,239,63,6238,175,699,1151,1086,1112,1038,705,239,63,6270,1040,4381,6478,3100,2627,2287,1379,489,135,21918
POA4005,1401,1671,4723,2764,2111,1798,1220,578,375,16634,0,4,4,0,3,0,0,0,0,11,0,8,15,5,11,9,19,5,4,74,0,0,3,3,12,9,13,3,0,38,32,68,140,63,72,60,52,20,14,523,0,0,0,0,5,0,0,0,0,12,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,0,0,0,9,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,82,163,78,95,77,85,31,21,671,35,82,167,78,105,79,84,35,21,682,1441,1757,4883,2846,2214,1881,1304,609,390,17321
POA4006,735,2592,5126,2148,1202,959,590,223,103,13673,0,4,9,3,3,3,0,0,0,21,13,32,62,42,58,31,25,9,0,277,4,13,49,36,24,16,35,5,0,174,167,296,279,207,162,151,125,40,6,1436,3,4,4,8,8,8,5,0,0,40,5,0,9,3,8,16,0,0,0,37,0,0,0,0,3,0,0,0,0,7,0,0,4,0,4,0,0,0,0,10,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,190,349,417,302,260,225,190,51,6,1982,190,355,424,307,269,226,190,47,6,2002,920,2941,5543,2458,1470,1190,784,272,105,15679
POA4007,1590,1586,2207,1692,1814,1462,950,481,196,11986,0,0,3,0,0,0,0,0,0,4,8,17,18,15,34,41,15,6,0,145,0,5,14,16,16,18,8,0,0,76,61,117,94,50,79,94,64,26,12,592,0,5,8,6,0,13,0,0,0,32,3,0,9,7,13,11,3,0,0,49,0,0,3,0,3,0,4,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,74,143,152,96,150,175,91,29,12,929,74,143,150,96,148,175,91,29,12,935,1663,1731,2358,1787,1969,1638,1047,519,210,12920
POA4008,25,39,86,39,64,44,32,9,7,349,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,11,0,3,0,0,5,0,3,0,0,18,25,42,85,39,71,45,40,8,7,362
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,239,306,660,317,230,181,103,73,59,2163,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,6,0,0,0,32,0,4,14,0,6,0,0,0,0,20,3,16,24,6,17,3,6,3,0,78,0,0,0,4,0,4,0,0,0,10,0,0,0,3,4,3,0,0,0,12,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,47,27,35,15,8,3,0,159,3,15,47,27,35,15,8,3,0,159,243,321,709,341,259,194,113,74,63,2318
POA4011,2460,1838,2476,2116,2071,1587,1076,515,240,14365,3,3,3,0,0,0,0,0,0,14,9,7,11,3,8,7,21,0,0,65,3,4,3,11,3,3,3,0,0,32,56,77,88,53,33,40,52,12,4,407,0,0,3,0,3,0,5,0,0,14,0,0,13,0,3,0,0,0,0,16,5,7,6,0,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,66,91,121,68,59,59,82,18,5,563,66,93,122,65,58,56,81,18,5,575,2526,1929,2599,2183,2130,1644,1155,529,249,14939
POA4012,3542,2511,4399,3420,2606,2029,1154,659,432,20746,0,3,4,3,0,0,0,0,0,16,8,5,5,5,5,4,11,6,0,47,0,3,4,3,3,4,8,3,0,28,54,86,110,56,38,42,26,15,12,434,0,0,0,3,0,0,3,0,0,3,0,0,3,3,0,0,0,0,0,5,3,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,65,90,121,70,50,60,50,21,14,549,66,99,126,75,50,61,50,21,12,563,3615,2604,4524,3489,2652,2088,1206,678,440,21305
POA4013,743,545,949,692,577,432,263,99,46,4355,0,3,0,0,0,0,0,0,0,6,8,4,3,5,3,0,0,0,0,28,3,3,0,3,4,0,3,6,0,18,7,10,20,7,18,15,9,3,0,98,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,27,19,28,17,18,8,0,152,21,18,27,22,28,17,18,8,0,159,765,563,979,712,603,451,275,114,47,4512
POA4014,2227,1283,1695,1961,1446,1196,767,466,322,11367,4,0,4,0,0,0,0,0,0,8,0,0,4,0,4,3,3,0,3,20,0,0,0,0,3,0,3,0,0,6,38,33,47,32,23,19,26,8,3,226,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,38,49,34,29,22,37,6,11,269,43,40,57,34,29,23,37,6,7,283,2269,1322,1752,1996,1477,1222,805,474,335,11643
POA4017,6960,3969,3928,5300,5291,4230,3165,1642,777,35265,9,12,3,0,3,7,3,0,0,32,0,3,12,6,8,12,16,14,0,67,7,0,0,4,0,0,14,7,7,44,105,133,108,76,72,104,90,78,52,815,0,3,0,0,0,0,3,9,0,18,0,3,3,3,0,0,0,3,0,15,0,0,0,0,3,0,0,11,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,109,148,124,89,88,117,134,115,55,982,120,156,130,93,88,122,135,117,56,1018,7072,4122,4064,5396,5380,4356,3300,1758,831,36280
POA4018,2181,1298,2204,1755,1339,1105,846,666,340,11728,0,3,0,4,3,0,0,0,0,12,0,6,3,0,0,5,4,0,0,22,3,0,0,0,4,7,0,0,0,18,40,55,51,32,28,28,18,4,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,43,58,57,32,43,45,26,5,0,310,44,63,58,36,45,45,22,9,0,317,2220,1361,2261,1791,1386,1150,869,674,340,12049
POA4019,3302,1850,2008,2550,2949,2714,2244,1136,465,19220,3,3,0,0,3,0,0,0,0,17,4,0,5,4,14,25,9,4,0,66,0,0,0,3,0,7,18,5,5,43,75,97,77,65,49,80,63,20,3,529,0,0,0,0,0,3,3,0,0,5,0,0,0,0,4,4,4,0,0,14,3,0,0,0,0,3,3,3,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,101,87,68,67,119,101,37,12,671,84,103,89,72,75,119,102,37,12,687,3381,1958,2091,2622,3028,2834,2347,1174,477,19910
POA4020,3058,2083,1720,2388,3148,3178,2945,1682,696,20909,0,0,0,7,3,9,0,0,4,25,0,10,5,7,29,35,40,13,0,144,3,3,4,16,11,21,44,18,0,125,75,98,98,80,99,92,101,60,47,752,0,0,3,0,8,3,8,4,3,29,0,0,0,0,5,8,3,0,0,18,0,0,0,0,3,4,6,3,0,21,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,4,9,4,0,24,0,3,0,0,3,0,0,0,0,7,91,119,116,106,155,170,206,97,52,1109,91,119,119,115,159,182,206,101,51,1128,3144,2200,1838,2503,3302,3358,3147,1781,747,22035
POA4021,1850,1101,1078,1204,1128,1123,1021,586,300,9392,4,0,0,0,0,0,0,4,0,8,0,0,4,0,0,5,8,3,0,22,0,0,0,0,0,0,5,0,0,15,29,38,32,23,23,29,14,18,21,229,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,7,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,39,28,30,31,37,18,21,279,32,42,40,26,30,31,37,24,22,289,1885,1141,1120,1231,1156,1158,1060,609,317,9680
POA4022,1364,875,717,736,822,665,741,600,395,6912,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,25,32,37,25,26,14,5,13,5,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,35,35,24,26,15,14,16,5,185,25,38,35,24,26,16,14,16,5,189,1391,913,748,763,844,683,751,615,403,7100
POA4025,20,43,110,36,46,44,21,11,0,326,0,0,0,0,0,0,0,0,0,0,3,4,5,4,14,8,6,0,0,47,6,0,9,14,6,11,13,3,0,56,25,31,55,37,68,55,46,10,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,39,33,71,55,93,72,72,12,0,451,39,33,71,55,93,72,72,12,0,451,58,78,177,92,134,118,91,22,0,779
POA4029,10,18,11,13,7,3,7,3,9,81,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,112,47,66,77,61,85,104,83,45,675,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,42,69,75,68,81,104,83,46,694,112,42,69,75,68,81,104,83,46,694,120,66,80,86,75,85,107,87,57,768
POA4030,2495,2487,3647,2453,1990,1340,766,361,238,15779,0,0,3,0,8,0,0,0,0,20,0,0,5,7,3,0,6,5,0,33,0,0,0,0,3,8,6,3,0,24,48,110,95,46,46,40,37,14,8,443,0,0,3,0,0,0,5,0,0,7,0,0,0,0,0,0,3,0,0,9,0,0,3,0,3,3,3,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,48,110,111,57,62,51,61,21,11,525,49,110,112,60,67,50,63,18,11,544,2544,2594,3760,2512,2059,1389,826,380,248,16315
POA4031,2481,1709,2424,2124,1791,1143,623,380,241,12926,3,0,3,0,0,0,0,0,0,9,0,0,3,0,3,0,8,0,7,19,0,0,0,0,0,4,6,0,0,15,28,42,58,32,20,20,18,13,3,225,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,45,64,32,23,25,32,17,5,278,29,43,70,36,23,21,36,17,5,286,2516,1755,2495,2160,1814,1171,660,396,254,13211
POA4032,2285,1960,2847,1978,1693,1461,1142,1098,724,15184,0,0,3,0,0,0,0,0,0,3,0,4,14,10,11,9,13,6,0,71,0,3,6,0,0,4,6,0,0,22,97,91,145,89,138,167,174,155,136,1191,0,0,0,0,0,3,0,0,0,6,0,0,8,16,3,0,3,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,109,181,118,156,182,202,157,141,1329,101,109,181,118,156,182,202,157,141,1334,2379,2069,3023,2098,1846,1643,1340,1261,864,16524
POA4034,7605,5213,6441,5827,5251,4676,3844,2638,1307,42793,8,12,3,3,3,4,0,6,0,44,0,7,7,3,9,15,13,6,0,70,3,3,8,4,10,3,15,3,3,60,136,184,172,107,111,112,80,49,31,985,0,7,0,0,3,7,4,0,0,24,3,0,4,0,7,3,0,0,0,22,0,3,0,0,0,0,5,0,0,13,0,3,0,0,3,0,0,0,0,10,3,0,0,3,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,143,215,200,127,144,146,131,59,37,1193,154,227,201,130,150,145,133,68,36,1234,7762,5435,6638,5950,5398,4825,3980,2703,1342,44028
POA4035,4719,3215,2084,3027,3800,2933,2049,1009,444,23271,0,0,3,3,0,8,0,3,0,16,0,4,7,0,0,7,9,6,0,37,0,0,5,0,0,4,5,3,0,20,56,101,73,47,30,34,54,26,9,426,0,0,3,0,0,3,0,0,0,11,3,0,6,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,108,89,48,36,50,78,32,19,522,63,107,90,52,36,56,78,38,19,537,4784,3325,2172,3084,3836,2990,2123,1049,456,23808
POA4036,1311,742,946,949,836,669,505,219,95,6260,0,0,0,0,0,0,0,0,0,4,0,3,3,4,3,0,3,3,0,14,0,0,0,0,0,0,3,0,0,7,20,35,22,28,20,14,9,3,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,24,27,26,22,17,8,4,188,24,37,27,28,26,22,17,10,4,197,1336,776,972,976,861,693,522,223,100,6458
POA4037,1916,1109,659,1274,1347,786,456,121,25,7693,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,12,31,5,3,11,10,16,0,0,80,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,31,12,3,15,16,15,3,0,106,10,37,12,7,11,16,15,3,0,108,1927,1143,666,1279,1358,798,476,119,24,7805
POA4051,4949,4301,4537,3975,3598,2145,1354,725,403,26001,3,3,0,3,0,0,0,0,0,20,3,15,23,3,7,13,13,3,0,79,0,4,8,5,8,9,4,8,0,45,45,166,152,82,39,51,35,17,9,592,0,0,4,0,0,0,7,0,0,14,0,4,3,0,0,3,6,3,0,13,0,0,0,4,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0,7,4,3,4,3,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,49,193,193,101,61,77,61,28,6,773,52,198,193,102,63,80,65,28,14,797,5000,4499,4733,4080,3661,2231,1417,759,413,26791
POA4053,8215,5343,6558,6424,5366,4150,3222,1802,869,41955,9,0,3,3,0,0,0,3,0,19,4,18,10,5,14,24,15,9,0,93,0,4,7,4,0,15,3,3,0,36,135,193,204,112,88,111,71,51,34,1013,0,0,3,0,0,5,12,3,0,28,3,0,6,5,0,3,3,0,0,18,0,0,0,0,3,7,3,3,0,19,0,3,0,0,0,0,3,0,0,8,0,0,0,4,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,150,221,225,131,110,166,111,67,38,1225,155,225,232,136,115,166,111,70,41,1242,8373,5563,6789,6554,5480,4314,3337,1879,911,43196
