POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA4000,61,338,260,1782,18,2462,3,3,0,10,0,17,2121,16,37,21,21,2213,12,7,0,5,0,22,74,25,6,38,0,149,1175,338,223,1857,30,3625,213,3,18,3,0,232,159,7,10,30,3,206,210,46,20,361,3,638,44,18,3,39,0,98,30,3,0,4,0,39,692,3,5,8,0,710,338,128,63,1037,19,1590,419,53,29,162,0,659,1010,0,3,0,9,1023,20,0,0,19,0,36,4,0,0,3,0,8,15,3,0,13,0,32,42,7,0,3,0,56,67,14,14,7,0,108,69,10,10,9,0,96,92,3,4,14,0,106,282,93,59,706,6,1152,25,0,0,3,0,32,57,7,3,0,0,64,239,0,5,3,0,249,38,3,4,3,0,43,28,7,0,0,0,35,103,0,3,3,0,106,38,8,3,39,0,87,2929,84,79,110,17,3214,86,5,3,26,1609,1736,9423,716,510,4195,1719,16552
POA4005,82,528,442,2873,39,3963,0,3,3,17,0,28,536,28,28,57,7,658,29,6,5,9,0,52,131,47,24,89,0,291,1512,622,421,3629,44,6224,100,0,29,0,0,134,131,32,22,61,0,245,235,63,38,624,5,973,61,32,11,91,0,191,32,9,4,10,0,54,195,6,10,11,0,220,538,217,149,2108,19,3036,472,102,56,356,15,1008,41,0,0,0,0,43,14,5,6,45,0,73,9,0,0,0,0,11,18,12,3,21,0,54,72,4,9,0,0,81,121,24,26,7,0,178,93,21,21,35,0,175,63,8,3,16,0,93,465,168,127,1364,11,2134,28,3,0,3,0,40,83,8,8,5,0,103,126,6,6,19,0,160,30,4,5,5,0,37,19,3,0,0,0,24,51,0,3,3,0,58,55,17,20,70,0,163,1367,133,148,267,13,1927,36,8,5,52,2462,2567,5372,1226,923,7770,2587,17876
POA4006,82,385,345,1943,32,2784,0,6,3,25,0,32,897,27,20,31,8,984,31,5,9,13,0,65,83,35,23,55,10,208,1088,449,316,2308,46,4201,153,3,44,0,0,200,106,11,11,27,3,163,162,56,38,427,5,687,31,17,8,45,0,106,22,3,6,6,0,40,524,8,8,3,0,550,403,149,111,1169,11,1841,281,62,23,228,11,604,254,0,10,3,0,267,23,6,3,16,0,46,3,0,0,0,0,3,8,7,5,19,0,45,83,4,12,3,0,98,118,25,22,7,0,159,75,11,11,37,0,133,40,3,3,10,0,60,317,125,78,808,11,1338,37,0,0,0,0,42,38,11,3,3,0,53,119,3,3,21,0,144,40,0,7,0,0,49,11,0,0,0,0,11,111,3,4,0,0,119,49,9,10,50,0,111,1853,109,113,167,13,2257,42,3,3,34,2053,2141,5872,873,715,4907,2161,14530
POA4007,70,442,356,2611,30,3516,0,0,0,6,0,11,438,26,30,33,3,525,19,4,0,13,0,39,71,40,27,39,0,175,1031,400,323,2925,35,4718,80,6,20,0,0,108,51,8,4,34,3,101,122,41,30,424,6,628,56,52,16,62,0,191,16,0,0,0,0,20,287,7,7,5,0,306,317,157,110,1554,26,2160,208,92,30,213,5,552,73,0,3,0,0,84,27,0,4,38,0,62,12,0,0,0,0,16,16,12,3,10,0,40,46,3,3,0,0,55,103,21,16,0,0,138,37,6,15,22,0,83,37,3,4,11,0,49,280,136,80,1021,24,1540,18,0,3,0,0,21,40,3,3,0,0,48,50,3,3,11,0,66,36,4,5,0,3,49,0,0,0,0,0,0,39,0,3,0,0,45,39,6,6,56,0,105,895,89,117,163,10,1270,28,0,0,46,1094,1174,3685,913,699,6271,1205,12769
POA4008,0,7,5,89,0,108,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,19,12,4,72,3,111,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,18,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,22,0,38,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,20,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,11,0,0,0,0,111,116,55,21,11,164,114,368
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,10,98,64,495,8,681,0,0,0,8,0,8,57,4,6,4,0,67,3,0,0,0,0,4,18,3,9,11,0,37,171,84,66,494,11,829,38,0,14,0,0,48,9,0,0,7,0,14,24,3,8,91,0,123,6,0,0,7,0,19,0,3,0,0,0,5,51,0,0,0,0,50,47,29,19,280,6,377,44,11,0,58,0,110,16,0,0,0,0,19,3,4,0,7,0,9,0,0,0,0,0,0,3,0,0,3,0,8,11,3,0,0,0,17,15,5,3,0,0,24,10,0,3,4,0,20,16,0,0,0,0,22,43,20,17,175,0,261,3,0,0,0,0,8,6,0,0,0,0,8,12,0,0,0,0,15,3,0,0,0,0,4,4,0,0,0,0,4,14,0,4,0,0,12,9,4,0,6,0,13,173,30,19,46,3,261,3,3,0,13,185,201,645,176,129,1139,207,2296
POA4011,100,618,423,3411,66,4614,0,8,3,25,3,40,298,24,17,53,0,390,16,3,0,11,0,32,79,51,25,74,3,232,1084,562,413,3536,62,5656,98,0,24,3,3,127,76,11,17,49,0,158,146,62,44,590,3,850,55,17,15,74,0,163,27,6,4,16,0,49,543,17,3,7,4,573,342,230,130,1937,33,2671,199,87,36,307,8,646,93,0,8,0,0,106,4,8,0,49,0,64,9,3,0,0,0,9,6,10,6,17,0,32,49,11,3,3,0,57,139,38,24,4,6,212,54,8,11,28,0,103,40,0,4,12,0,57,337,156,109,1233,20,1850,18,0,0,3,0,23,65,4,0,0,0,79,43,8,10,19,3,83,39,4,3,0,0,48,5,0,0,5,0,11,28,7,0,0,0,36,36,18,8,84,0,142,1084,122,113,205,8,1534,34,4,0,50,901,990,4139,1207,842,7927,1070,15180
POA4012,155,850,656,5041,65,6771,3,10,3,65,0,81,459,13,27,52,9,569,13,3,0,8,0,25,101,58,21,100,3,288,1625,806,545,4876,82,7932,326,9,59,0,0,399,87,13,12,66,0,174,225,87,63,929,7,1308,48,19,5,60,0,129,45,8,3,13,0,66,925,13,8,3,4,956,486,244,169,2627,34,3550,331,132,62,411,6,936,127,0,3,3,0,138,10,5,0,18,0,41,11,0,3,3,3,14,20,18,7,30,3,77,135,23,16,0,0,180,198,50,53,14,0,309,90,21,9,57,14,193,33,3,4,13,0,62,450,202,167,1573,29,2431,20,5,0,10,3,39,52,5,0,0,3,67,92,7,3,18,3,120,70,8,3,6,0,84,4,0,0,0,0,7,65,0,4,3,0,77,47,14,4,70,0,137,1744,193,186,285,13,2429,69,6,12,91,1089,1274,6525,1649,1231,11123,1304,21828
POA4013,43,171,138,1126,21,1499,0,3,0,20,0,27,56,8,4,5,0,78,4,3,0,0,0,6,20,11,3,21,0,49,319,154,126,1148,24,1771,48,0,7,0,0,61,7,0,0,10,0,15,45,17,9,182,0,261,4,7,3,11,0,25,9,0,0,3,0,17,177,0,8,4,0,187,99,61,37,518,3,713,34,18,3,66,3,123,12,0,0,0,0,12,3,0,0,0,0,5,0,0,0,0,0,0,3,3,0,9,0,10,32,0,3,0,0,37,32,14,13,3,0,63,21,0,3,17,0,37,6,3,0,6,0,19,89,45,29,366,4,538,3,0,0,0,0,3,5,3,0,0,0,12,20,0,3,3,0,26,21,0,0,0,0,21,0,0,0,0,0,4,23,3,0,0,0,29,14,4,5,21,0,43,375,28,33,64,5,515,16,0,0,25,235,288,1268,317,263,2442,283,4568
