POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA4000,0,0,3,3,0,0,0,0,0,4,108,137,610,1370,461,394,202,82,18,3388,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,3,4,3,0,0,47,0,0,3,16,3,0,0,0,0,22,3,5,205,181,26,16,13,6,0,451,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,61,104,65,48,41,12,0,334,0,0,0,5,0,0,0,0,0,15,0,4,17,58,3,3,0,0,0,82,0,0,8,18,4,0,10,5,0,45,0,0,0,0,0,3,0,0,0,3,0,0,69,47,7,5,0,0,0,133,13,17,52,258,20,3,5,0,0,366,0,3,15,13,3,0,0,0,0,35,0,0,3,38,3,0,3,0,0,50,0,0,0,5,0,0,0,0,0,10
POA4005,0,0,0,0,0,0,0,0,0,0,251,342,571,2299,694,582,340,116,31,5225,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,43,4,7,6,0,0,65,0,0,0,8,0,0,0,0,0,8,0,0,11,26,11,9,9,9,3,85,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,5,3,3,19,181,85,73,42,14,4,429,0,0,0,7,7,0,0,0,0,16,0,0,4,29,3,10,0,0,0,42,0,0,0,23,7,0,3,0,3,43,0,0,0,0,0,0,0,3,0,4,0,0,4,12,3,5,0,0,0,23,0,3,10,61,5,3,4,0,0,94,0,0,0,7,0,0,0,0,3,10,0,0,0,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3
POA4006,0,0,0,0,0,0,0,0,0,0,124,89,672,1912,412,310,164,67,16,3770,0,0,4,26,0,0,0,0,0,25,0,0,0,7,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,3,0,0,34,9,0,0,0,0,47,0,0,3,8,0,0,0,0,0,7,3,0,53,77,3,10,4,4,0,150,0,0,0,3,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,6,0,3,26,140,48,38,20,7,0,278,0,0,0,8,0,0,0,0,0,11,0,3,9,32,3,3,0,0,0,42,0,0,3,12,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,33,15,3,0,4,0,0,59,24,13,15,200,5,3,3,0,0,261,0,0,0,17,5,3,0,0,0,20,0,0,0,45,0,0,0,0,0,51,0,7,0,5,0,0,0,0,0,15
POA4007,0,0,0,4,0,0,0,0,0,4,230,437,567,1172,598,509,348,165,45,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,0,0,0,0,22,0,0,0,0,3,0,0,0,0,3,0,3,11,29,10,7,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,21,67,64,28,35,8,3,241,0,0,0,3,3,3,3,0,0,13,0,0,0,7,3,0,0,0,0,14,0,0,0,3,3,3,8,0,0,22,0,0,0,3,0,0,3,3,3,13,0,3,3,13,6,3,0,0,0,26,4,5,27,96,6,4,10,0,0,151,0,0,0,5,0,3,0,0,0,14,0,6,0,24,0,0,0,0,0,25,0,0,0,4,0,0,0,0,0,4
POA4008,0,0,0,0,0,0,0,0,0,0,10,8,8,32,25,14,7,7,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,0,0,0,0,47,57,116,319,76,61,35,13,8,727,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17,9,4,9,5,0,47,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,21,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4011,0,0,0,0,0,0,0,0,0,3,388,665,699,1437,731,557,372,173,58,5076,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,13,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,20,3,3,0,0,0,33,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,3,22,18,67,79,40,38,12,5,285,0,3,0,7,7,4,0,0,0,18,0,3,0,12,0,0,0,0,0,15,0,0,0,3,3,3,6,3,3,23,0,0,0,0,0,0,0,0,0,3,0,7,0,5,5,3,0,0,0,24,4,24,14,185,9,8,4,3,0,248,0,0,0,6,0,0,0,0,0,8,0,3,0,28,3,0,0,0,0,36,0,0,0,6,0,0,0,0,0,6
POA4012,0,0,0,4,0,0,0,0,0,3,660,965,941,2526,947,741,395,181,91,7460,0,0,0,7,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,4,0,0,0,16,5,0,0,0,0,29,0,0,0,3,0,0,0,0,0,3,0,0,11,24,4,0,4,0,3,52,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,21,33,144,74,56,41,20,5,394,0,3,6,21,5,4,3,0,0,52,0,0,0,11,3,0,0,0,0,21,0,0,3,17,3,6,3,0,3,37,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,4,0,0,0,16,12,33,40,303,15,13,13,7,4,439,0,0,5,4,4,0,0,0,0,12,0,3,4,16,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3
POA4013,0,0,0,0,0,0,0,0,0,3,136,184,219,558,201,159,95,36,14,1609,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,15,18,8,5,0,73,0,0,0,8,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,64,0,8,3,3,0,96,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
