POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA4000,0,0,10,29,5,6,9,0,0,50,0,0,18,39,3,0,4,5,0,70,6,5,42,56,13,14,0,0,0,134,4,3,177,336,11,12,3,0,0,543,0,0,0,7,0,0,0,0,0,3,0,0,36,24,7,9,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,6,0,0,12,12,0,0,0,0,0,26,0,0,3,8,0,0,5,0,0,21,3,6,25,111,36,36,10,6,0,240,0,0,0,8,5,0,0,0,0,11,0,0,6,19,0,0,0,0,0,32,0,0,19,8,4,3,0,0,0,35,0,4,11,51,11,8,3,0,0,80,0,0,0,5,4,0,3,0,0,13,0,0,4,16,7,9,4,0,0,49,3,0,10,21,3,11,0,0,0,42,0,0,9,28,3,5,0,0,0,54
POA4005,0,0,0,41,9,7,3,0,4,63,0,0,0,18,7,5,24,33,11,105,4,0,7,10,6,0,0,3,0,21,0,0,3,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,21,8,0,6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,61,0,0,0,0,0,93,0,0,0,13,3,0,3,0,0,25,0,7,10,155,58,52,28,7,0,316,0,0,0,8,0,0,3,0,0,15,0,0,0,5,0,0,0,0,0,3,0,0,0,16,5,3,0,0,0,27,3,0,0,17,0,0,0,0,0,20,0,0,0,7,3,3,3,0,0,15,0,0,3,27,10,12,9,3,0,64,0,0,0,10,3,3,0,0,0,14,3,0,3,73,6,5,7,0,0,103
POA4006,0,0,0,43,3,5,3,0,0,53,0,0,7,38,3,0,4,4,4,61,4,0,9,26,6,0,0,0,0,37,0,0,27,74,5,0,0,0,0,115,0,0,0,3,0,0,0,0,0,7,3,0,18,43,0,0,0,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,16,14,0,0,0,0,0,26,0,0,0,4,0,4,3,4,0,16,3,4,40,174,41,31,16,8,0,314,0,0,0,6,3,3,0,0,0,10,0,0,0,9,0,0,0,0,0,6,0,0,6,4,7,0,0,0,0,15,3,0,9,44,5,5,0,0,0,69,0,0,0,15,0,0,0,0,0,18,0,0,4,22,4,5,6,0,0,41,3,0,7,20,0,0,0,0,0,30,0,0,8,34,8,0,0,0,0,53
POA4007,0,0,4,16,6,4,5,0,0,34,0,0,0,9,0,9,11,3,3,38,0,0,0,4,4,3,0,0,0,18,0,0,0,23,3,0,0,0,0,27,0,0,0,0,4,0,0,0,0,7,0,0,8,12,0,5,3,0,0,25,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,4,7,0,0,18,0,12,24,93,55,53,13,10,3,265,0,0,0,4,4,0,0,0,0,6,0,0,0,7,0,0,0,0,0,7,0,0,0,5,9,0,0,0,0,18,0,0,0,11,3,0,0,0,0,24,0,0,0,3,0,0,0,0,0,5,0,3,4,14,10,7,3,3,0,34,0,0,0,3,3,3,0,0,0,13,0,0,3,18,7,8,0,0,0,36
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,18,4,7,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8
POA4011,0,0,4,20,7,3,5,0,0,37,0,0,0,14,0,10,4,7,3,41,0,0,0,12,0,0,4,0,0,16,0,6,7,14,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,6,0,0,6,36,0,0,0,0,0,46,0,0,0,8,0,0,3,0,0,8,0,13,22,85,51,43,27,8,0,250,0,0,0,0,5,0,3,3,0,11,0,0,0,5,0,0,0,0,0,7,0,3,5,12,4,8,0,0,0,34,0,3,4,22,3,5,0,0,0,37,0,0,0,3,0,0,0,0,0,9,0,0,7,9,14,8,3,0,0,40,3,3,0,3,0,0,0,0,0,11,0,0,3,22,5,8,3,3,0,51
POA4012,0,0,0,35,3,3,6,0,0,50,0,0,0,13,7,12,12,11,3,64,5,5,4,6,3,3,0,0,0,25,0,0,5,38,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,3,3,0,0,16,3,3,0,0,0,34,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,15,0,3,23,60,0,0,0,0,0,84,0,0,0,5,0,3,8,4,0,19,4,21,41,199,67,55,35,3,0,431,0,0,0,8,0,0,0,0,0,11,0,0,3,9,0,0,0,0,0,13,0,4,7,9,10,11,0,0,0,49,0,9,4,41,11,0,4,0,0,74,0,0,0,3,0,0,0,0,0,16,0,0,5,16,10,6,4,3,0,40,0,0,6,8,3,3,0,0,0,21,0,0,9,26,12,8,0,0,0,56
POA4013,0,0,0,12,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,5,0,0,4,4,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,16,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,8,40,15,13,7,3,0,89,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,13,0,0,0,3,0,3,0,0,0,6,0,3,0,13,3,0,0,0,0,24,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,8
