POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA4000,0,0,0,0,0,0,0,0,0,8,0,0,0,12,4,3,0,0,0,21,0,4,33,70,10,3,5,3,0,123,0,0,25,24,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,12,23,3,10,3,0,0,62,0,0,7,12,0,3,0,0,0,25,0,0,3,3,3,0,3,0,0,11,0,0,6,15,0,0,3,0,0,23,10,21,251,651,41,17,15,3,0,1006,20,23,166,445,149,89,62,18,6,980,177,250,1932,4205,938,734,409,143,35,8819,0,0,0,0,0,0,0,0,0,0,152,147,576,895,322,318,178,73,26,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,16,19,0,6,0,0,0,40,0,0,5,13,0,0,0,0,0,18
POA4005,0,0,0,4,0,0,0,0,0,6,0,0,0,10,3,0,0,0,0,10,0,0,7,21,3,0,0,0,0,28,0,0,3,15,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,3,0,3,45,10,7,4,3,0,72,0,0,0,8,9,10,9,0,3,33,0,0,0,11,0,3,0,0,0,14,0,0,0,3,0,0,0,0,0,9,5,11,16,178,29,25,19,19,0,302,42,31,82,538,174,144,112,64,29,1224,318,412,804,4049,1169,991,647,294,94,8772,0,0,0,0,0,0,0,0,0,0,278,304,690,2338,670,583,385,142,81,5470,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,7,53,3,6,3,0,0,73,0,0,0,3,0,0,0,0,0,6
POA4006,0,0,0,7,0,0,0,0,0,5,0,0,0,14,3,0,0,0,0,22,0,0,9,39,0,0,0,0,0,47,0,0,3,35,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,3,10,29,11,8,3,0,0,72,0,6,0,24,3,3,3,0,0,43,0,0,3,3,3,0,0,0,0,16,0,0,0,6,3,0,0,0,0,15,4,14,68,348,13,10,7,3,0,475,31,17,163,633,148,105,66,24,3,1195,211,173,1231,4281,766,550,322,126,26,7680,0,0,3,0,0,0,0,0,0,5,128,98,821,1426,274,262,183,68,50,3313,0,3,0,13,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,35,5,0,0,0,0,40,0,0,0,5,0,0,0,0,0,9
POA4007,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,9,0,0,0,16,4,0,0,0,0,23,0,0,3,11,3,0,0,0,0,19,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,7,9,6,9,7,0,0,48,0,0,0,3,7,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,12,4,8,12,98,24,30,11,3,0,189,18,19,63,212,98,85,45,21,17,577,270,531,772,2049,961,780,527,227,72,6187,0,0,0,0,0,0,0,0,0,0,225,477,678,1150,619,514,350,213,82,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,3,0,0,0,23,0,0,0,0,4,0,0,0,0,3
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,9,4,7,0,0,0,17,10,8,21,89,47,31,20,6,0,229,0,0,0,0,0,0,0,0,0,0,4,8,16,16,13,14,16,3,7,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,41,0,8,12,53,7,6,5,4,0,92,49,84,149,530,118,89,56,24,10,1104,0,0,0,0,0,0,0,0,0,0,52,48,123,317,85,71,43,28,37,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA4011,0,0,0,0,0,0,0,0,0,0,0,3,0,14,7,0,0,3,0,26,0,0,3,8,0,0,0,0,0,18,0,3,4,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,9,5,0,4,0,31,0,0,0,5,3,0,0,0,0,9,0,0,0,4,0,0,3,0,0,9,0,0,0,6,0,4,0,0,0,13,4,16,19,84,29,21,10,6,0,184,31,37,37,167,81,64,40,18,10,497,448,824,870,2384,1086,813,543,246,92,7309,0,0,0,0,0,0,0,0,0,0,332,700,801,1521,784,599,425,223,130,5523,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,4,3,16,10,3,0,0,0,34,0,0,0,0,0,0,0,0,0,4
POA4012,0,0,0,0,0,3,0,0,0,3,0,8,10,35,3,0,3,0,0,59,0,0,3,19,0,0,0,0,0,26,0,3,3,11,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,3,3,19,5,3,3,0,0,36,0,4,4,8,3,0,0,0,0,15,0,0,3,5,0,3,7,0,0,15,0,0,0,15,3,0,3,0,0,26,7,8,25,107,26,23,9,3,5,217,29,29,78,246,89,62,33,35,18,620,734,1152,1295,4084,1361,1052,588,278,146,10688,0,3,0,0,0,0,0,0,0,4,602,884,990,2564,939,767,446,276,199,7667,0,0,0,9,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,0,0,6,0,3,0,0,0,10,0,0,3,21,4,4,0,0,0,35,0,0,0,0,3,0,0,0,0,3
POA4013,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,31,6,8,3,0,0,53,7,7,10,54,22,14,16,3,0,134,154,220,278,886,291,230,148,49,18,2270,0,0,0,0,0,0,0,0,0,0,133,193,237,540,206,174,99,42,19,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
