POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA4000,9,16,295,236,30,17,14,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,72,30,34,26,12,3,222,0,0,0,12,0,0,0,0,0,15,0,4,14,28,4,0,0,0,0,53,0,0,13,13,4,3,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,57,41,11,14,4,0,0,134,15,15,18,184,7,3,3,0,0,243,0,0,9,16,4,7,0,0,0,41,0,0,6,29,3,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,26,6,3,0,0,0,40,0,0,10,16,0,3,3,7,3,45,0,0,61,145,12,4,0,0,0,229,0,3,158,280,19,6,3,0,0,470,0,0,0,0,0,0,0,0,0,3,0,3,42,45,9,6,0,0,0,97,0,0,0,0,0,0,0,0,0,0
POA4005,0,0,8,39,20,16,5,9,4,109,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,19,131,75,41,32,9,4,322,0,0,0,7,0,4,0,0,0,17,0,0,0,23,3,4,0,7,0,40,0,0,0,28,7,7,5,0,5,51,0,0,0,0,0,0,0,0,0,4,0,3,3,15,5,3,4,0,0,32,3,3,3,37,3,3,0,3,0,58,0,0,0,9,0,5,0,0,0,21,0,0,3,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,3,37,5,3,3,0,0,54,0,0,0,15,5,7,28,32,24,116,0,0,0,32,5,0,0,0,0,42,0,0,0,18,3,0,0,0,0,27,0,0,0,3,0,0,0,0,0,3,0,0,0,31,4,10,3,0,0,52,0,0,0,0,0,0,0,0,0,4
POA4006,0,4,80,108,14,13,3,3,0,238,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,3,4,31,78,23,14,13,0,3,174,0,0,0,7,0,0,0,0,0,14,0,0,3,30,0,0,3,0,0,39,0,0,7,14,3,3,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,25,29,7,4,0,0,0,62,15,9,21,138,6,3,0,0,0,188,0,3,5,20,0,3,0,0,0,30,0,0,0,25,0,0,0,0,0,31,0,0,0,6,0,0,0,0,0,9,0,0,0,22,0,0,0,0,0,29,0,0,5,23,0,0,3,3,6,48,0,0,10,56,5,7,0,0,0,86,0,0,31,86,6,3,0,0,0,131,0,0,0,3,0,0,0,0,0,7,0,0,28,28,0,4,0,3,0,69,0,0,0,0,0,0,0,0,0,3
POA4007,0,6,25,45,15,12,6,0,0,105,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,6,36,34,57,60,36,26,5,3,262,0,0,0,6,3,6,0,0,0,16,0,0,0,4,0,0,0,0,0,7,0,0,0,4,4,4,4,0,0,19,0,0,0,0,3,0,4,0,0,8,0,3,10,16,3,3,0,0,0,39,0,4,12,69,3,6,3,0,0,94,0,0,0,10,7,0,0,3,0,14,0,0,0,32,0,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,4,0,0,0,30,0,0,3,9,3,8,5,8,3,38,4,0,6,26,9,0,0,0,0,46,0,0,6,31,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,9,9,4,3,0,0,0,24,0,0,0,0,0,0,0,0,0,3
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,3,0,7,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,3,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,4,3,3,15,0,0,0,6,4,0,0,0,0,12,0,0,0,12,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
POA4011,0,3,11,26,8,5,0,3,0,60,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,9,17,28,61,55,33,27,9,10,238,0,3,0,13,3,9,0,0,0,32,0,0,3,7,0,0,0,0,0,16,0,0,0,3,0,7,9,0,0,26,0,0,0,0,0,0,0,0,0,3,0,10,6,7,0,3,0,0,0,32,3,12,20,155,6,10,4,3,0,209,0,3,3,4,0,0,0,0,0,19,0,3,3,10,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,3,0,0,34,0,0,0,9,3,4,3,10,5,35,0,4,3,14,9,3,3,0,0,34,0,5,10,32,10,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0
POA4012,4,4,9,42,17,12,5,3,0,102,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,19,30,104,60,42,35,10,4,308,0,0,6,20,13,13,8,6,0,75,0,0,0,13,0,3,0,0,0,21,0,0,5,10,3,10,8,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,3,7,8,3,0,0,0,29,17,43,22,250,21,22,8,4,0,391,0,0,3,11,0,0,0,0,0,21,0,0,3,20,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,24,8,3,0,3,0,51,0,0,0,9,3,7,20,9,3,57,0,0,3,36,10,3,0,0,0,57,0,3,13,45,3,3,0,0,0,70,0,0,0,0,0,0,0,0,0,7,0,0,4,31,7,11,0,0,0,55,0,0,0,0,0,0,0,0,0,0
POA4013,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,10,10,8,3,0,53,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,6,49,7,0,0,0,0,73,0,0,3,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
