POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA4000,0,0,10,28,4,3,0,0,0,45,0,0,3,0,0,0,0,0,0,11,0,0,0,5,0,3,0,0,0,10,11,16,242,604,39,30,7,3,0,947,23,16,153,341,68,73,24,13,8,708,225,258,1944,3536,687,614,310,119,42,7734,0,0,3,4,0,0,0,0,0,8,260,286,1189,2271,781,706,382,157,48,6070,0,0,0,4,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,19,44,3,5,3,0,0,87,0,0,7,33,0,0,0,0,0,41,8,28,495,409,54,38,23,6,0,1064,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,4,0,5,104,180,93,84,67,17,3,555,0,0,3,18,3,3,0,0,0,27,0,7,32,85,9,3,0,0,0,135,0,0,22,28,7,3,11,3,0,83
POA4005,0,0,0,5,3,14,6,5,0,34,0,0,3,10,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,11,4,15,37,226,35,25,12,14,5,370,34,36,113,498,141,129,118,86,148,1296,327,403,981,4052,1096,959,670,326,293,9101,0,0,0,0,0,0,0,0,0,0,531,645,1254,4635,1363,1166,726,256,113,10686,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,3,0,3,0,14,0,0,0,0,0,0,0,0,0,3,0,7,7,96,7,15,6,0,0,141,0,0,0,14,0,0,0,0,0,12,0,0,18,68,25,31,18,24,4,200,0,0,0,4,0,0,3,0,0,14,0,0,0,3,0,0,0,0,0,6,3,10,42,316,159,113,72,24,11,749,0,0,0,15,3,4,0,0,0,30,4,3,6,53,7,13,0,3,0,87,0,0,0,47,13,11,9,3,7,90
POA4006,0,5,3,22,0,11,0,0,3,52,0,0,0,3,0,0,0,0,0,7,0,0,0,8,3,0,0,0,0,14,4,10,82,347,18,9,10,4,3,486,19,25,186,472,79,70,51,21,6,937,180,185,1484,3495,513,474,310,115,82,6847,0,0,3,3,0,0,0,0,0,5,257,189,1493,3343,682,572,351,133,66,7077,0,3,4,35,0,0,0,0,0,38,0,0,0,14,0,0,3,0,0,18,0,0,0,0,3,0,0,0,0,4,3,0,5,62,13,3,0,0,0,91,0,0,3,8,0,0,0,0,0,17,4,5,131,188,18,25,9,7,0,385,0,0,0,3,3,0,0,0,0,8,0,0,0,10,0,0,0,0,0,12,3,10,60,217,66,50,37,7,6,456,0,0,0,20,3,0,0,0,0,26,0,3,15,61,3,3,3,0,0,79,0,0,10,26,9,3,4,0,0,56
POA4007,0,0,0,10,7,0,0,0,0,21,0,0,0,6,5,0,0,0,0,10,0,0,0,4,0,0,3,0,0,17,8,3,20,122,29,17,6,4,0,210,21,27,58,206,103,71,42,30,37,595,264,584,931,2103,990,778,512,281,137,6579,0,0,0,4,0,0,0,0,0,4,462,921,1249,2322,1216,1023,699,379,123,8387,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,4,17,6,4,0,0,0,41,0,0,0,0,8,0,0,0,0,7,0,10,34,74,25,12,9,4,0,166,0,0,0,3,0,0,0,0,3,9,0,0,0,3,0,0,3,0,0,8,4,48,49,126,123,62,67,15,4,504,0,0,0,14,8,11,3,0,0,33,0,0,0,13,3,0,0,0,0,24,0,0,0,11,9,8,7,6,0,39
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,3,0,5,0,0,0,9,7,8,23,40,23,24,14,3,7,137,0,0,0,0,0,0,0,0,0,0,12,12,23,51,42,29,21,11,7,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,8,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,3,0,0,0,0,36,4,3,16,54,5,8,3,4,4,95,56,61,180,521,127,97,53,45,47,1192,0,0,0,0,0,0,0,0,0,0,96,114,238,632,159,132,73,44,51,1539,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,30,17,9,8,6,4,82,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,14
POA4011,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,8,20,92,23,21,5,3,5,185,15,56,56,152,78,63,44,17,21,509,374,882,1074,2490,1112,868,594,291,173,7869,0,0,3,0,0,0,0,0,0,3,722,1370,1495,2960,1520,1157,795,399,185,10599,0,0,0,12,3,0,0,0,0,15,0,0,0,4,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,4,3,28,11,10,3,0,0,54,0,0,0,3,0,0,0,0,0,6,0,4,11,45,13,12,0,3,3,97,0,0,0,6,3,0,0,3,0,12,0,0,0,3,0,0,0,0,0,11,13,42,40,123,135,78,66,18,13,524,0,3,3,18,6,13,0,0,0,50,0,3,3,19,3,0,0,0,0,28,0,0,0,7,5,11,19,4,3,46
POA4012,0,4,0,13,6,5,0,3,0,35,0,0,0,6,0,3,0,0,0,7,0,0,0,10,0,0,0,0,0,15,5,11,22,180,35,19,12,10,0,291,18,32,74,214,77,56,38,38,79,626,670,1067,1366,4191,1392,1109,631,401,312,11143,0,0,0,3,0,0,0,0,0,9,1261,1855,1938,5089,1888,1507,840,462,294,15128,0,0,3,15,0,3,0,0,0,21,0,0,0,6,3,0,0,0,0,7,0,0,3,3,0,4,0,0,0,13,3,3,5,33,9,3,0,0,0,59,0,0,0,3,3,0,0,0,0,10,3,12,21,68,25,15,7,3,3,148,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,10,3,37,65,246,129,100,77,25,8,696,0,8,14,46,26,20,8,6,0,134,0,0,0,26,8,3,0,0,0,41,0,0,8,29,11,12,9,3,3,71
POA4013,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,3,3,22,10,3,7,0,0,49,6,16,19,50,26,11,4,6,0,137,146,231,302,835,315,237,137,59,33,2298,0,0,0,0,0,0,0,0,0,3,268,379,450,1093,409,335,193,74,38,3245,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,42,20,27,15,7,4,131,0,0,0,8,9,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,15
