POA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
POA4000,0,0,0,0,3,3,0,0,0,6,0,6,128,84,19,23,5,0,0,268,31,29,71,437,23,10,8,3,0,604,0,4,27,32,10,5,5,0,0,77,0,0,4,68,3,3,3,0,0,87,0,0,0,5,0,5,0,0,0,7,0,0,14,55,10,7,5,3,0,90,0,3,23,57,6,3,12,10,7,117,10,12,106,198,21,19,0,0,0,361,4,5,334,616,29,18,3,0,0,1006,0,0,0,5,0,0,0,0,0,12,0,0,74,68,14,15,4,0,0,185,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,4,0,0,0,16,0,0,19,17,0,0,0,0,0,34,0,0,6,12,0,4,7,0,0,32,4,4,46,187,64,64,23,7,0,406,0,0,0,8,5,0,0,0,0,15,3,7,7,32,3,0,0,0,0,56
POA4005,0,0,0,0,0,0,0,0,0,5,0,3,10,24,10,10,3,3,0,54,3,9,10,100,9,8,7,8,0,145,0,3,0,13,0,5,0,0,3,30,0,0,3,42,0,0,0,0,0,45,0,0,0,4,0,0,0,0,0,6,0,0,4,78,11,9,4,3,3,116,0,0,4,36,7,13,51,66,36,221,5,0,6,39,11,0,0,4,0,68,0,0,3,30,7,0,0,0,0,41,0,0,0,3,0,0,0,0,0,3,0,0,3,52,15,9,9,5,0,89,0,0,0,4,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,9,0,3,52,101,0,0,0,0,0,152,0,0,4,27,10,7,8,0,0,52,0,13,37,292,94,98,50,14,7,602,0,0,0,22,0,5,3,0,0,31,0,0,0,5,0,0,0,0,0,8
POA4006,0,0,0,3,0,0,0,0,0,4,0,5,56,42,3,7,3,3,0,121,34,24,36,334,12,7,3,0,0,451,0,3,4,30,4,3,0,0,0,51,0,0,5,70,0,0,0,0,0,82,0,4,0,12,0,0,0,0,0,20,0,0,3,59,3,3,3,0,0,83,0,0,11,64,3,4,9,9,7,108,0,0,18,84,10,7,0,0,0,126,0,3,59,167,6,3,0,0,0,246,0,0,0,7,3,0,0,0,0,12,3,0,41,70,4,10,0,5,0,132,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,3,4,0,0,0,3,0,7,0,0,19,24,0,0,0,0,0,49,0,0,0,12,0,5,3,4,0,23,3,4,91,310,75,47,20,12,3,559,0,0,3,15,3,3,0,0,0,18,0,0,0,8,0,0,5,0,0,17
POA4007,0,0,0,3,3,0,7,4,0,18,0,7,13,30,5,6,3,4,0,66,7,5,40,162,10,3,11,0,0,248,0,0,0,12,8,3,3,3,0,23,0,6,0,47,0,5,0,0,0,60,0,0,0,4,0,0,0,0,0,3,0,0,4,37,12,11,5,0,0,68,0,0,3,14,4,14,17,10,7,72,3,4,6,29,10,0,0,0,0,59,0,0,6,48,4,0,0,0,0,61,0,0,0,0,4,0,0,0,0,5,0,0,15,21,7,6,0,0,0,49,0,0,0,0,0,0,4,0,0,5,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,0,0,0,0,13,0,0,0,12,0,3,9,0,0,27,3,23,56,170,103,92,30,21,6,504,0,0,0,6,4,6,3,0,0,19,0,0,0,10,0,0,0,0,0,11
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,14,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,5,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,3,6,31,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,3,6,3,3,18,0,0,4,13,4,0,0,0,0,19,0,0,0,12,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,7,7,29,15,17,7,0,0,79,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3
POA4011,0,0,0,0,0,0,0,0,3,3,0,18,5,16,5,4,0,0,0,59,11,35,33,335,11,17,11,3,0,457,0,3,3,11,3,0,0,0,0,26,0,9,3,38,4,3,0,0,0,56,0,0,0,3,0,0,0,0,0,3,0,3,8,33,7,7,8,3,0,70,0,0,0,21,6,11,15,18,8,79,0,4,6,27,9,3,4,0,0,53,0,6,21,46,8,3,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,4,3,18,9,3,4,3,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,11,0,0,15,59,3,0,3,0,0,84,0,0,0,7,6,6,3,0,3,20,0,26,48,181,84,86,51,10,0,499,0,0,0,3,3,0,4,3,0,13,0,0,0,11,0,3,0,0,0,13
POA4012,0,0,0,0,0,3,3,0,0,7,0,0,5,24,8,7,0,0,0,48,29,69,68,555,39,38,18,7,3,830,0,3,4,22,4,0,5,0,0,35,0,3,10,35,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,3,0,3,3,56,10,4,4,9,3,95,0,0,3,28,10,20,24,22,8,125,4,7,9,44,13,3,0,0,0,78,0,7,20,82,3,3,0,0,0,114,0,0,0,3,3,0,0,0,0,4,3,3,5,49,6,7,0,3,0,87,0,0,0,0,0,0,0,6,0,5,0,0,0,4,0,0,0,0,0,12,0,0,3,15,4,3,0,0,0,30,0,4,62,105,0,0,0,0,0,176,0,0,3,13,5,6,8,4,3,33,7,45,97,393,143,114,51,14,8,868,0,0,0,10,0,0,3,0,0,19,0,0,7,14,0,0,0,0,0,24
POA4013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,11,17,116,10,10,3,3,0,173,0,3,3,4,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,22,0,0,0,3,0,0,0,0,0,9,0,0,4,15,6,0,0,0,0,17,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,3,0,0,0,0,28,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,6,0,9,24,85,33,25,10,3,0,191,0,0,0,0,0,0,0,0,0,7,0,0,6,7,0,0,0,0,0,15
