POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA4000,0,0,0,3,4,0,8,11,8,3,5,16,11,16,7,87,0,0,3,0,3,34,94,166,61,64,94,118,203,148,69,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,6,0,0,0,0,0,3,3,27,0,11,7,0,3,3,10,9,4,3,3,0,10,7,6,83,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,13,47,30,18,11,15,17,24,21,37,21,268,0,0,0,5,3,15,36,54,33,61,54,83,105,129,21,604,0,0,0,0,5,3,14,18,5,0,3,5,7,8,0,77,0,0,0,0,0,3,7,26,5,3,13,12,13,3,7,87,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,10,8,5,7,12
POA4005,0,0,0,4,7,9,13,28,14,11,10,12,11,9,4,141,0,3,7,6,24,34,43,23,5,9,7,12,7,11,3,200,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,3,0,14,4,8,0,0,0,0,3,0,0,30,0,12,4,7,6,6,14,12,0,0,6,11,6,7,0,90,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,9,18,10,9,0,0,0,0,3,0,3,54,0,0,3,6,3,11,17,40,0,12,12,17,15,12,3,145,0,3,3,3,0,3,8,3,0,3,0,3,3,0,0,30,0,0,0,0,4,3,3,18,5,3,3,3,0,3,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,8,3,3,12,18,33
POA4006,0,0,0,5,0,4,12,15,0,4,9,10,12,0,0,91,0,0,3,4,0,13,42,67,15,21,44,49,48,46,23,385,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,12,0,0,0,3,3,6,3,3,0,0,0,0,4,0,0,26,0,4,0,4,0,3,9,6,3,3,3,5,10,0,3,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,21,18,13,7,4,6,18,13,3,3,121,0,0,0,3,0,7,33,51,25,28,52,59,93,73,17,451,0,0,0,0,3,7,5,3,4,3,3,0,14,8,0,51,0,0,0,0,0,0,3,16,5,16,9,14,13,5,0,82,0,0,0,0,0,0,0,4,0,3,3,7,0,0,0,20,0,0,0,0,3,10,12,12
POA4007,0,0,0,0,3,11,10,13,3,0,0,3,0,3,0,41,0,3,3,0,8,19,33,34,14,18,13,11,10,0,17,166,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,3,8,11,5,0,3,0,0,3,0,0,0,33,0,4,6,3,7,4,3,8,0,0,3,0,0,0,0,39,0,9,3,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,3,5,16,17,10,4,0,3,3,3,3,5,66,0,3,0,9,3,4,24,83,3,5,15,41,28,26,6,248,0,0,4,0,4,3,11,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,13,14,4,8,6,0,11,0,0,60,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,3,3,4,9,12,5,19
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,6,0,3,0,0,3,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,10,0,0,10,4,5,3,0,45,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4011,0,0,3,3,8,3,11,11,0,0,0,0,3,0,0,54,0,0,0,3,6,15,18,24,3,3,3,6,11,11,3,97,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,3,13,11,11,3,0,3,0,3,0,5,50,0,16,4,7,6,6,0,3,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,10,5,13,0,3,7,3,3,0,0,59,0,0,4,8,8,13,31,159,19,46,53,44,48,30,12,457,0,3,0,0,6,4,9,0,3,3,0,0,4,0,0,26,0,0,0,0,0,4,0,12,4,17,7,0,10,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,6,9,12,13
POA4012,0,0,3,4,3,9,10,14,3,4,3,0,3,0,0,59,0,0,3,3,3,11,27,54,11,12,5,3,7,3,8,148,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,5,8,26,32,21,4,10,4,8,6,0,8,134,0,8,8,5,7,7,10,14,0,3,0,3,0,0,4,71,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,7,10,12,8,0,0,0,0,0,0,0,48,0,0,3,19,3,15,65,318,34,57,75,106,71,49,21,830,0,0,0,0,4,0,4,8,0,0,7,0,0,0,4,35,0,0,0,0,0,0,3,3,16,7,20,5,0,0,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,7,7,9,15,12,27
POA4013,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,16,0,0,0,0,0,3,5,3,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,10,0,0,0,0,0,0,0,22,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,10,5,61,3,11,18,29,18,10,3,173,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8
