POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA4000,12,7,3,0,5,8,5,90,0,4,13,3,3,3,5,3,5,7,9,15,18,24,12,117,0,0,0,0,6,10,29,30,3,15,26,35,52,96,69,361,0,0,0,0,7,24,100,140,47,52,69,97,134,174,175,1006,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,12,0,0,0,6,8,24,19,22,0,9,14,18,23,23,14,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,4,5,0,0,0,7,0,3,32,0,0,4,15,51,57,86,58,14,23,14,18,24,16,13,406,0,0,0,0,0,0,7,7,0,0,3,10,10,12,0,56,0,0,0,0,15,26,13,50,5,12,17,14,30,18,7,206,0,3,0,0,6,5,5,7,0,0,0,0,0,0,0,37,0,0,0,3,5,12,26,10,0,7,3,0,9,18,12,115
POA4005,9,6,0,6,9,0,0,116,3,49,74,34,4,5,0,3,9,3,4,12,6,0,10,221,0,0,0,0,3,4,5,15,4,4,4,10,8,4,4,68,0,0,0,0,0,3,8,7,3,5,5,0,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,14,14,20,12,0,0,3,4,5,0,0,89,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,10,0,6,3,0,9,0,9,3,3,3,0,0,0,4,0,52,0,4,10,37,117,113,124,73,27,24,21,18,17,9,22,602,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,8,26,15,8,0,6,0,3,3,8,0,78,0,0,3,0,11,9,7,0,0,0,0,0,3,0,0,37,0,0,3,4,3,8,8,6,3,3,4,3,0,3,0,50
POA4006,9,15,6,6,6,0,4,83,0,9,13,0,0,3,3,7,3,3,18,12,15,3,7,108,0,0,0,0,0,9,27,15,10,5,3,4,14,12,17,126,0,0,0,0,0,12,31,46,15,28,15,18,19,24,25,246,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,0,0,0,0,3,10,18,31,7,5,9,17,22,6,3,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,3,3,0,0,0,0,0,0,4,0,23,0,0,6,15,47,106,132,96,25,30,40,20,25,8,19,559,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,17,0,0,0,0,4,25,23,36,5,3,11,12,22,12,3,149,0,0,0,0,9,6,3,5,3,7,0,0,0,0,0,37,0,0,0,0,4,11,5,10,8,3,4,3,9,10,0,67
POA4007,6,4,3,3,4,0,0,68,0,10,25,11,0,0,6,0,3,7,4,0,0,0,0,72,0,0,0,0,0,6,4,12,3,3,7,0,4,10,4,59,0,0,0,0,0,9,13,22,3,0,0,3,3,3,0,61,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,3,3,0,12,16,9,0,0,0,0,0,9,0,49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,5,0,4,0,3,0,0,0,0,0,27,0,0,8,29,59,78,132,79,28,22,13,13,15,13,8,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,20,10,26,0,3,0,0,4,0,0,76,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,3,6,3,0,7,0,0,0,0,0,28
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,0,4,0,4,5,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,4,0,0,0,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8,16,21,10,3,0,0,0,0,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,5,3,6,0,6,0,0,0,0,3,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
POA4011,0,11,3,0,0,0,5,70,0,14,25,6,4,3,5,4,0,5,4,0,3,0,4,79,0,0,0,4,3,5,14,15,3,0,0,3,0,3,5,53,0,0,0,0,0,0,21,23,3,16,6,3,11,3,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,5,3,0,0,4,3,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,0,4,0,0,4,0,0,0,0,0,20,0,0,7,38,90,96,125,63,23,15,7,4,5,4,7,499,0,0,0,0,0,3,0,3,3,0,0,3,4,0,0,13,0,0,0,3,10,18,18,23,3,8,3,6,4,0,3,99,0,5,0,0,3,4,3,5,0,0,0,0,0,0,0,22,0,0,0,4,7,0,3,6,0,3,0,3,0,0,0,31
POA4012,7,0,3,0,0,0,0,95,0,22,32,21,11,0,9,6,0,3,3,13,0,0,4,125,0,0,0,0,0,7,17,17,3,7,3,6,12,0,0,78,0,0,0,0,0,3,22,47,7,5,8,7,10,0,0,114,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,11,8,11,19,14,0,4,0,5,4,7,0,87,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,9,3,0,0,3,5,0,3,0,0,3,0,0,33,0,0,8,51,115,158,203,134,26,28,26,39,31,16,26,868,0,0,0,0,0,0,0,5,0,3,0,0,7,7,0,24,0,0,0,4,20,55,48,50,15,26,25,10,7,7,3,262,0,0,0,0,3,4,11,6,6,0,0,0,5,0,6,43,0,0,0,3,3,4,10,6,3,3,0,0,3,0,0,39
POA4013,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,7,7,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,33,33,42,22,9,12,8,6,11,0,7,191,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,15,0,0,0,0,5,14,0,13,9,6,3,5,5,0,3,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8
