POA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
POA4000,0,0,3,4,3,12,30,21,3,3,3,6,6,8,6,111,0,0,0,0,0,5,3,4,0,0,0,0,9,3,0,34,0,0,0,0,3,0,18,22,3,6,12,9,22,18,19,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,18,0,19,39,81,54,63,90,80,21,27,20,32,52,57,35,673,0,0,5,10,5,3,15,16,9,8,10,7,12,19,3,127,0,0,0,0,12,5,6,9,3,9,7,8,11,3,0,67,0,0,0,0,5,4,7,9,0,0,3,0,0,3,0,33,0,6,10,32,29,133,194,238,65,132,165,294,568,502,303,2666,3,50,96,201,256,513,865,1052,337,455,585,838,1369,1366,813,8801
POA4005,0,0,0,6,16,20,64,37,9,6,4,0,5,15,7,181,0,0,0,4,3,3,8,4,0,0,0,0,0,0,0,24,0,0,0,0,4,6,11,19,5,3,6,10,6,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,6,0,34,84,101,94,107,137,137,33,37,33,44,43,27,14,921,0,0,4,7,6,17,14,25,16,15,12,17,12,9,7,157,0,0,0,0,50,10,3,3,0,0,3,0,0,0,0,68,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,0,11,27,71,55,87,127,190,45,62,83,93,94,67,34,1068,11,132,249,331,464,539,706,726,188,222,219,285,275,198,126,4667
POA4006,0,0,0,3,4,6,41,23,6,3,0,3,0,5,0,90,0,0,0,0,3,5,4,10,0,0,0,6,3,3,0,40,0,0,0,0,0,10,11,20,7,4,3,20,20,12,4,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,12,0,14,27,61,58,75,102,74,32,34,18,21,31,16,21,580,0,0,0,7,6,10,16,21,5,10,11,17,12,9,8,133,0,0,0,4,27,3,7,17,3,3,3,3,5,11,3,91,0,0,0,0,0,3,10,10,0,0,0,0,0,3,0,23,0,7,11,24,33,80,150,199,51,71,113,156,204,159,90,1355,5,40,70,152,235,455,744,826,267,325,392,493,617,447,251,5317
POA4007,0,0,0,0,4,9,35,17,0,0,7,3,3,5,3,88,0,3,0,0,4,7,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,3,11,10,0,3,3,0,0,0,3,39,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,41,87,56,60,113,73,19,22,22,31,28,15,18,599,0,0,3,3,5,9,19,11,5,3,3,9,3,12,6,99,0,0,0,0,7,8,7,0,0,0,0,0,0,0,3,31,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,23,3,3,15,49,38,83,75,100,28,25,53,28,26,24,19,582,11,68,140,227,244,412,590,562,131,142,156,158,155,133,85,3210
POA4008,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,24,0,0,4,5,10,10,7,9,0,0,0,0,3,0,94,138
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,7,4,4,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,7,14,8,11,0,3,3,7,8,0,11,93,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,10,5,12,27,0,14,6,19,10,16,5,126,4,12,17,29,43,67,94,108,22,39,32,36,28,38,18,578
POA4011,0,0,0,10,5,16,42,38,0,3,7,0,3,0,0,127,0,0,0,3,3,5,6,11,0,3,3,0,3,0,0,49,0,0,0,0,0,4,10,18,3,0,5,3,3,0,3,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,5,29,46,115,58,60,115,80,31,24,19,22,8,5,26,636,0,0,0,11,8,7,22,5,0,4,7,0,0,3,0,70,0,0,0,0,8,4,0,0,0,0,3,0,3,3,0,22,0,0,0,0,0,3,7,6,0,0,0,0,0,0,0,21,0,13,21,51,41,76,104,138,25,26,53,43,41,34,15,688,13,89,119,284,285,403,620,700,135,203,206,155,165,103,98,3574
POA4012,0,0,0,3,16,9,33,33,4,0,0,0,5,0,0,99,0,0,4,3,0,8,3,15,8,32,10,4,6,6,3,99,0,0,0,0,3,7,23,15,3,0,0,4,3,4,3,66,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,37,58,120,83,108,143,142,24,20,24,19,16,11,21,830,0,0,0,3,5,13,14,18,6,3,4,8,0,0,0,79,0,0,0,0,7,10,6,4,3,7,0,4,3,0,0,56,0,0,0,0,5,3,10,10,0,0,4,0,0,0,0,35,0,12,15,50,52,101,138,219,37,61,68,76,60,64,26,986,8,103,164,326,379,608,906,1209,234,292,298,339,273,163,156,5450
POA4013,0,0,0,0,6,4,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,18,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,22,16,14,27,24,4,5,3,7,7,0,5,159,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,10,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,4,11,20,38,33,0,12,8,10,15,6,4,175,3,17,32,55,98,132,185,225,28,61,52,62,54,27,30,1054
