POA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
POA4000,..,5,16,6,5,9,6,3,4,8,55,..,3,19,8,13,10,22,44,18,7,152,..,0,0,0,4,0,8,22,29,5,67,..,0,0,0,0,0,0,0,0,0,3,..,3,19,8,18,17,32,63,47,14,221,..,0,0,0,0,0,0,0,0,0,0,..,14,35,13,25,17,36,67,49,20,282,43,45,48,8,10,17,28,76,122,61,446,14,47,118,49,92,115,177,353,387,181,1542,3,14,4,5,3,13,25,71,139,106,376,0,0,0,0,0,0,0,3,0,0,8,19,62,127,56,95,126,206,429,520,291,1918,0,0,0,0,0,0,0,0,0,4,4,58,104,172,62,106,141,233,505,645,355,2370,99,76,99,33,49,69,79,89,104,43,744,79,133,371,100,153,231,296,443,318,172,2299,0,18,19,16,19,32,51,95,138,105,489,0,0,0,0,3,5,0,0,0,0,12,80,144
POA4005,..,5,23,3,5,11,12,3,3,5,66,..,0,19,6,3,0,9,3,3,0,45,..,0,0,0,0,0,3,3,14,3,20,..,0,0,0,0,0,0,0,3,0,3,..,0,19,6,3,0,14,7,18,3,75,..,0,0,0,0,0,0,0,0,0,0,..,5,44,9,9,15,22,16,21,10,144,37,31,19,7,3,3,11,19,8,5,146,8,6,25,10,14,27,28,24,19,5,161,0,0,0,0,0,0,3,3,9,3,20,0,0,0,0,0,0,0,0,0,0,0,8,6,25,10,15,27,35,27,26,9,182,0,0,0,0,0,0,0,0,0,0,0,46,38,45,12,23,29,48,47,36,17,331,204,90,155,62,49,58,63,66,47,26,819,64,54,142,49,66,60,95,85,45,15,684,0,0,4,0,0,3,4,3,8,8,35,0,0,0,0,0,0,0,3,0,0,4,64,57
POA4006,..,3,8,3,4,8,6,10,7,5,49,..,7,11,8,13,8,18,19,15,4,102,..,0,0,0,3,3,12,12,20,3,56,..,0,0,0,0,0,0,0,4,0,4,..,7,11,8,13,15,27,31,36,12,157,..,0,0,0,0,0,0,0,0,0,0,..,4,19,13,24,20,35,44,44,13,213,61,65,49,17,14,19,16,24,27,16,297,18,38,44,21,28,56,70,96,74,30,479,0,3,3,0,0,8,14,27,30,17,101,0,0,0,0,0,0,0,0,0,0,0,18,40,44,21,28,70,82,122,104,46,585,0,0,0,0,0,0,0,0,0,0,0,80,105,89,41,40,90,98,141,128,65,882,168,82,172,42,59,69,58,67,32,37,781,86,86,250,100,123,141,203,257,139,57,1434,0,5,3,0,13,14,21,29,35,35,162,0,0,0,0,0,0,3,0,0,0,6,81,93
POA4007,..,19,34,11,14,12,14,16,10,5,121,..,0,8,7,6,6,4,7,7,5,46,..,0,0,0,0,0,0,8,7,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,10,7,6,11,5,9,8,4,61,..,0,0,0,0,0,0,0,0,0,0,..,19,41,16,17,18,24,25,19,11,184,33,55,27,3,6,3,10,7,10,3,160,9,15,26,4,13,18,27,30,20,8,157,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,15,26,4,13,16,27,31,27,8,166,0,0,0,0,0,0,0,0,0,0,4,42,72,52,10,17,25,28,39,34,6,330,85,39,66,24,17,21,24,26,12,4,326,46,38,147,32,26,43,41,38,24,15,460,0,0,6,0,3,3,3,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,46,38
POA4008,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,18,18,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
POA4009,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,..,0,6,0,0,0,0,5,0,0,11,..,0,3,0,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,3,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,6,6,0,5,0,5,4,3,26,10,9,0,0,0,0,0,0,3,0,23,0,7,6,0,3,5,5,8,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,3,5,5,8,9,0,37,0,0,0,0,0,0,0,0,0,0,0,10,12,12,0,3,7,5,11,7,0,58,26,12,15,3,9,3,9,0,6,3,87,7,7,34,3,10,13,15,16,10,3,120,0,0,0,0,0,0,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7
POA4011,..,18,52,12,20,22,17,9,6,13,171,..,0,19,10,27,19,14,15,3,6,113,..,0,0,0,0,0,0,7,7,0,20,..,0,0,0,0,0,0,0,0,0,0,..,0,20,12,25,16,14,23,14,8,132,..,0,0,0,0,0,0,0,0,0,0,..,21,72,24,42,42,24,28,23,17,300,39,67,31,5,9,12,3,3,4,6,176,10,14,25,7,14,25,16,29,23,5,162,0,0,0,0,0,0,0,4,3,3,15,0,0,0,0,0,0,0,0,0,0,0,10,14,29,7,14,25,16,31,26,9,175,0,0,0,0,0,0,0,0,0,0,0,42,84,56,15,20,35,24,36,28,13,348,109,39,53,13,26,14,11,14,7,5,296,34,48,204,27,44,70,66,47,30,8,581,0,0,0,0,0,3,0,10,6,3,28,0,0,0,0,0,0,0,0,0,0,6,33,52
POA4012,..,17,65,7,10,11,13,23,11,10,167,..,3,39,27,45,22,28,12,8,5,187,..,0,0,0,0,0,5,16,8,5,41,..,0,0,0,0,0,0,0,0,0,0,..,3,39,27,45,20,30,31,19,11,229,..,0,0,0,0,0,0,0,0,0,0,..,14,104,34,56,32,44,52,32,23,402,49,79,55,3,11,15,19,21,4,7,253,11,30,49,13,23,32,43,41,41,17,301,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,11,30,49,18,23,32,44,37,42,19,314,0,0,0,0,0,0,0,0,0,3,0,63,105,103,20,35,45,62,57,47,30,570,156,76,134,46,28,30,41,31,13,17,564,45,58,351,61,86,110,120,75,37,10,957,0,0,15,3,8,6,11,3,3,5,54,0,0,3,0,0,0,0,0,0,0,9,46,64
POA4013,..,4,5,0,4,5,0,3,0,0,26,..,0,15,3,5,7,0,3,3,0,32,..,0,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,15,3,10,9,3,3,3,0,38,..,0,0,0,0,0,0,0,0,0,0,..,4,18,7,12,12,3,5,5,0,70,5,17,9,0,4,3,6,7,0,3,44,0,4,4,4,6,0,13,7,4,5,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,3,9,7,4,6,58,0,0,0,0,0,0,0,0,0,0,0,8,20,12,4,15,3,13,15,4,10,102,32,11,39,11,5,7,9,3,3,4,116,9,12,64,6,19,13,23,23,5,5,174,0,0,3,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,12
