POA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
POA4000,385,120,174,270,348,538,460,273,2800,0,0,0,0,0,0,0,0,0,6,6,182,224,483,158,228,336,428,627,563,325,3551,112,62,59,14,16,6,14,13,13,16,320,108,94,142,54,39,45,65,85,51,24,715,0,3,9,0,13,7,13,14,19,12,91,0,3,0,0,0,0,0,0,3,0,3,110,103,156,57,51,47,71,101,72,42,813,0,0,0,0,0,0,0,0,0,0,0,221,164,211,67,64,52,83,121,88,54,1132,169,35,40,11,3,3,5,5,3,11,279,109,32,53,10,17,11,16,16,7,13,284,6,10,13,3,3,4,8,4,5,12,63,3,0,0,0,0,0,0,0,0,0,3,112,37,63,16,16,14,24,21,16,19,348,0,0,0,0,0,0,0,0,0,0,0,283,73,102,25,19,19,32,31,16,35,624,205,22,10,5,6,6,9,5,3,8,281,107,7,16,0
POA4005,153,49,62,69,102,91,59,21,719,0,0,0,0,0,0,0,0,0,0,0,271,141,308,110,117,123,162,160,108,48,1541,207,82,109,26,33,17,17,11,8,13,522,73,51,113,14,21,23,23,25,5,3,353,0,3,0,3,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,78,49,114,19,21,23,23,25,14,9,363,0,0,0,0,0,0,0,0,0,0,0,280,131,225,47,52,37,43,33,15,21,887,268,50,48,3,9,3,12,9,3,5,412,89,20,16,0,7,0,3,6,3,0,153,9,3,4,0,0,0,4,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0,97,25,26,4,7,0,3,6,6,0,180,0,0,3,0,0,0,0,0,0,0,3,363,78,72,6,19,6,15,17,9,6,592,306,15,16,10,3,10,0,4,3,4,369,85,11,3,0
POA4006,258,100,135,151,230,288,174,90,1604,0,0,0,0,0,0,0,0,0,0,0,253,175,425,144,187,223,284,357,208,129,2387,146,57,54,26,9,11,9,11,4,8,343,85,97,148,33,32,38,37,38,35,17,553,0,3,7,0,3,3,7,7,10,0,45,0,0,0,0,0,0,0,0,0,0,0,84,101,158,29,32,45,44,48,43,19,602,0,0,0,0,0,0,0,0,0,0,0,235,153,211,54,44,49,57,61,48,26,944,145,26,34,10,8,9,3,3,0,3,235,58,21,18,3,3,0,3,3,6,0,111,5,4,5,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,56,23,20,3,11,0,4,3,7,4,133,0,0,0,0,0,0,0,0,0,0,0,202,45,51,10,20,5,6,9,7,8,372,124,8,16,4,5,0,0,0,0,4,168,65,10,3,0
POA4007,151,35,30,43,39,47,24,14,481,0,0,0,0,0,0,0,0,0,0,0,139,77,216,61,52,68,62,71,40,17,806,115,39,54,13,14,3,14,5,7,6,273,80,60,90,13,18,19,12,5,7,3,307,0,0,7,0,3,3,0,0,3,7,20,0,0,0,0,0,0,0,0,0,0,0,80,60,104,13,19,23,12,9,14,3,324,0,0,0,0,0,0,0,0,0,0,0,197,104,154,29,32,24,20,8,20,16,597,221,54,35,9,14,8,10,0,3,4,357,81,27,18,4,4,8,3,3,5,4,157,4,3,4,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,82,29,23,5,11,8,3,3,6,10,181,0,0,0,0,0,0,0,0,0,0,0,305,87,60,14,19,12,14,3,9,11,537,212,20,16,6,3,3,0,0,6,7,275,63,11,6,0
POA4008,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,44,44,6,0,0,0,0,0,0,0,0,44,49,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,3,0,0,0,0,0,0,11,21,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,10,0,0,0,0,0,0,0,0,14,22,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,34,3,16,13,18,13,12,3,127,0,0,0,0,0,0,0,0,0,3,3,30,14,53,7,25,19,28,20,23,8,216,20,10,12,0,3,0,0,0,0,3,47,11,14,17,0,3,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,17,0,3,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,27,22,21,0,8,3,0,0,0,3,95,32,10,4,6,0,0,0,0,0,0,50,6,6,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,35,9,9,4,3,0,0,0,0,0,70,32,0,3,0,0,0,0,0,0,0,41,12,0,0,0
POA4011,209,31,48,74,64,51,37,8,612,0,0,0,0,0,0,0,0,0,0,0,138,88,265,48,74,91,79,65,38,16,911,159,42,66,16,10,9,3,3,0,0,308,60,53,137,16,38,21,7,8,7,5,350,0,0,8,0,10,6,0,3,4,0,25,0,0,0,0,0,0,0,0,0,0,0,59,53,150,19,44,22,7,11,10,5,377,0,0,0,0,0,0,0,0,0,0,0,222,99,212,26,48,29,14,22,12,7,687,246,60,40,4,3,5,8,0,0,13,375,63,25,25,3,7,3,4,3,3,3,130,5,0,6,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,65,26,30,3,7,0,4,6,3,9,149,0,0,0,0,0,0,0,0,0,0,0,313,80,71,10,7,6,13,7,3,18,527,226,20,18,3,0,0,3,0,0,13,281,71,14,4,3
POA4012,369,64,89,115,130,84,42,13,1014,0,0,0,0,0,0,0,0,0,0,0,206,138,509,106,116,148,167,116,52,30,1587,227,101,107,10,11,14,9,4,3,14,508,88,110,219,34,42,17,35,18,12,7,584,3,0,16,3,7,4,5,8,0,0,45,0,0,0,0,0,0,0,0,0,0,3,97,110,234,36,51,19,42,24,12,7,634,0,0,0,0,0,0,0,0,0,0,3,319,215,346,53,65,37,47,31,11,14,1141,314,61,53,3,0,0,3,4,3,8,437,101,40,49,7,8,7,0,3,0,5,224,11,3,5,0,0,5,4,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,113,41,55,11,8,10,4,3,0,5,262,0,0,0,0,0,0,0,0,0,0,0,428,100,108,12,15,10,10,9,3,13,701,300,18,18,4,3,3,0,0,0,7,354,107,13,11,0
POA4013,65,10,21,14,23,24,5,4,191,0,0,0,0,0,4,0,0,0,0,5,39,20,105,18,23,26,30,30,7,6,313,61,17,18,0,0,0,0,0,0,4,104,17,20,31,3,9,9,3,5,3,0,99,0,0,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,17,21,37,3,8,9,3,8,3,0,110,0,0,0,0,0,0,0,0,0,0,0,73,40,60,3,10,13,4,4,3,5,210,74,14,3,0,4,0,0,3,0,4,95,30,6,14,0,0,0,0,0,0,0,47,3,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,34,6,13,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,106,17,16,0,4,0,0,3,0,4,148,60,10,3,0,0,0,0,0,0,0,70,21,3,5,0
