POA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
POA4000,4,5,3,5,4,8,158,13,8,5,3,0,0,7,8,3,0,43,0,0,0,0,0,0,0,0,0,0,0,116,14,23,4,4,5,9,9,9,7,204,0,0,0,0,0,0,0,0,0,0,0,320,39,29,8,11,10,19,13,12,17,484,144,5,3,0,0,0,0,0,0,7,165,41,0,4,3,0,0,0,3,0,0,51,13,7,0,0,0,0,3,3,0,8,37,0,0,0,0,0,0,0,0,0,0,0,57,4,4,3,0,0,3,9,0,8,91,0,0,0,0,0,0,0,0,0,0,0,204,16,8,6,5,0,4,9,0,13,258,36,0,3,0,0,0,0,0,0,3,42,19,0,0,0,0,0,0,0,0,0,16,9,3,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,25,3,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0
POA4005,0,0,0,0,0,0,106,25,3,3,0,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,110,13,9,0,0,0,0,0,3,0,139,0,0,0,0,0,0,0,0,0,0,0,417,28,29,8,5,7,0,6,3,6,512,201,13,11,3,0,0,0,0,0,3,224,83,3,0,0,0,0,0,0,0,0,92,33,0,0,0,0,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,115,3,0,0,0,0,0,0,0,4,136,0,0,0,0,0,0,0,0,0,0,0,320,14,8,0,3,3,0,0,0,5,360,74,3,0,0,0,0,0,0,0,0,82,73,0,0,0,0,0,0,0,0,0,73,48,0,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,4,129,0,0,0,0,0,0
POA4006,0,0,0,0,0,0,84,8,0,0,0,0,5,3,0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,78,8,8,0,0,5,3,0,3,7,116,0,0,0,0,0,0,0,0,0,0,0,206,21,16,4,5,4,5,4,5,9,281,94,4,5,0,0,0,0,0,3,0,102,23,0,4,0,0,0,0,0,0,3,32,5,0,0,0,0,0,0,5,3,0,25,0,0,0,0,0,0,0,0,0,0,0,30,0,3,0,0,0,0,5,7,5,53,0,0,0,0,0,0,0,0,0,0,0,126,4,6,0,3,0,0,8,10,5,157,27,0,0,0,0,0,0,0,0,0,29,18,3,0,0,0,0,0,0,0,0,25,8,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
POA4007,0,3,0,0,0,3,85,3,0,3,0,0,3,3,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,66,11,11,0,4,3,0,0,0,8,104,0,0,0,0,0,0,0,0,0,0,0,278,33,26,6,5,10,0,0,6,15,383,165,3,4,0,0,0,0,0,4,4,186,52,0,0,0,0,0,3,0,0,0,55,7,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,62,3,0,0,0,0,3,0,3,0,67,0,0,0,0,0,0,0,0,0,0,0,224,6,4,0,0,0,3,0,9,8,255,47,0,3,0,0,0,0,0,0,0,58,19,0,0,0,0,0,0,0,0,0,19,4,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
POA4008,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,5,12,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,41,0,3,0,0,0,0,0,0,4,51,14,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,28,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
POA4011,0,0,3,0,0,3,101,3,4,0,0,0,0,0,4,5,3,16,7,0,0,0,0,0,0,0,0,0,7,80,13,7,3,0,3,3,4,6,4,122,0,0,0,0,0,0,0,0,0,0,0,309,31,22,3,0,3,5,4,6,18,399,186,11,4,3,0,0,0,0,0,0,200,42,0,3,3,0,0,0,0,0,0,46,3,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,40,3,4,3,0,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,224,12,7,5,0,0,0,0,0,4,255,54,0,0,0,3,0,0,0,0,3,63,24,0,0,0,0,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
POA4012,0,0,0,0,0,6,146,8,0,0,3,0,4,3,5,9,0,38,0,0,0,0,0,0,0,0,0,0,0,112,13,11,3,3,5,3,5,9,10,178,0,0,0,0,0,0,0,0,0,0,0,416,35,33,7,3,5,5,4,9,16,530,188,5,3,0,0,3,3,0,0,3,204,65,4,0,0,0,0,0,0,0,3,76,8,4,0,3,0,5,0,0,3,3,26,3,0,0,0,0,0,0,0,0,0,3,76,6,0,3,0,7,0,0,5,10,107,0,0,0,0,0,0,0,0,0,0,0,260,10,4,3,0,7,3,0,5,7,307,76,0,0,0,3,0,0,0,0,0,78,47,0,0,0,0,0,0,0,0,3,52,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,3,64,0,0,0,0,0,0
POA4013,0,0,0,0,0,3,29,4,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,26,3,3,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,81,13,6,0,0,3,0,0,0,4,101,47,3,0,0,0,0,0,0,0,7,51,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0,0,0,7,67,22,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
