POA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
POA4000,0,0,0,0,0,63,3,3,0,0,0,0,0,0,3,80,6,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,812,256,280,73,93,107,136,193,247,154,2348,484,322,727,229,321,416,581,954,783,403,5214,53,55,51,27,40,54,113,214,330,247,1190,3,3,0,0,3,6,0,5,5,4,32,539,378,775,263,363,475,695,1172,1118,654,6439,0,0,0,0,0,0,0,0,0,10,12,1350,631,1052,337,455,585,838,1369,1366,813,8801
POA4005,0,0,0,0,0,197,3,3,0,0,0,0,0,0,5,214,37,3,0,0,0,0,0,0,0,3,43,26,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,88,3,0,0,0,0,0,0,0,5,92,1329,292,384,103,110,96,116,113,69,70,2688,501,143,321,81,111,115,160,148,84,34,1695,145,13,18,3,4,3,13,14,38,17,275,0,0,0,0,0,0,0,3,3,0,6,645,154,341,82,110,125,174,158,128,54,1975,3,0,3,0,0,0,0,0,0,0,3,1976,451,726,188,222,219,285,275,198,126,4667
POA4006,0,0,0,0,0,55,5,0,0,0,0,0,0,0,0,62,18,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,28,792,245,325,99,99,114,97,114,68,66,2024,361,252,477,165,205,248,336,412,272,113,2831,36,18,18,3,18,36,57,86,103,71,456,0,0,3,0,0,0,3,0,4,0,13,395,273,496,167,225,284,397,501,378,184,3299,0,0,0,0,0,0,0,0,0,0,3,1188,512,826,267,325,392,493,617,447,251,5317
POA4007,0,0,0,0,0,74,3,3,0,0,0,0,0,0,0,82,18,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,37,909,235,238,65,61,51,72,54,54,39,1772,362,153,302,60,71,94,83,80,71,36,1312,25,9,17,0,10,10,10,22,14,17,121,0,0,0,0,0,0,0,0,0,0,3,386,162,321,67,80,107,87,98,85,47,1434,0,0,0,0,0,0,0,0,0,4,6,1293,400,562,131,142,156,158,155,133,85,3210
POA4008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,8,0,0,0,0,0,0,4,33,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,93,93,28,0,9,0,0,0,0,3,0,94,138
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,149,37,39,15,16,7,9,8,14,12,303,46,25,61,10,20,20,25,22,19,7,256,4,0,0,0,0,0,5,4,4,0,19,0,0,0,0,0,0,0,0,0,0,0,50,25,64,10,18,20,25,24,27,7,270,0,0,0,0,0,0,0,0,0,3,3,197,59,108,22,39,32,36,28,38,18,578
POA4011,0,0,0,0,0,93,0,0,0,3,0,0,3,0,3,104,28,0,0,0,0,0,0,0,0,0,31,14,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,48,1047,254,253,59,69,61,45,40,18,54,1893,310,160,422,67,123,135,107,98,63,25,1515,33,9,18,6,8,13,3,25,23,11,152,8,0,3,3,0,0,0,0,0,0,12,349,165,439,73,134,141,115,132,89,44,1677,0,0,0,0,0,0,0,0,0,0,3,1395,416,700,135,203,206,155,165,103,98,3574
POA4012,0,0,0,0,3,133,4,0,0,3,0,0,0,0,4,143,34,0,0,0,0,0,0,0,0,0,34,11,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,5,21,0,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,5,65,1332,351,439,77,67,74,83,84,30,66,2602,474,264,724,142,207,196,224,152,101,55,2541,55,9,44,13,20,20,29,37,32,18,274,3,0,3,0,0,0,0,3,0,11,25,532,272,773,160,224,221,260,186,133,85,2840,3,0,0,0,0,0,0,0,0,4,13,1871,622,1209,234,292,298,339,273,163,156,5450
POA4013,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,298,71,83,7,15,13,18,18,4,13,541,94,42,126,17,36,27,40,32,15,10,450,11,0,13,0,6,8,0,4,0,3,60,0,0,0,0,0,0,0,0,0,0,4,102,43,141,24,46,35,39,42,18,16,511,0,0,0,0,0,4,0,0,0,0,5,401,114,225,28,61,52,62,54,27,30,1054
