POA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA4000,88,7,0,0,7,0,95,18,147,11,4,163,0,181,0,20,0,0,25,0,25,0,0,0,0,0,0,0,18,173,8,4,187,0,206,0,0,0,0,0,0,0,106,180,8,4,189,0,294,61,11,0,0,11,0,74,15,92,7,0,94,0,114,0,17,0,0,19,0,19,0,0,0,0,0,0,0,15,105,8,0,109,0,124,0,0,0,0,0,0,0,79,113,8,0,122,0,201,30,0,0,0,0,0,30,4,23,3,0,28,0,34,0,6,0,0,4,0,4,0,0,0,0,0,0,0,4,32,4,0,32,0,41,0,0,0,0,0,0,0,38,32,4,0,32,0,70,32,0,0,0,0,0,32,3,18,0,0,16,0,16,0,4,3,0,3,0,3,0,0,0,0,0,0,0,3,22,3,0,21,0,26,0,0,0,0,0,0,0,35,22,3,0,21,0,58,52,3,0,0
POA4005,326,26,0,0,26,0,357,36,77,0,0,77,0,116,0,0,3,0,3,0,7,0,0,0,0,0,0,0,41,77,3,0,85,0,123,0,0,0,0,0,0,0,366,111,3,0,110,0,476,254,12,0,0,12,0,262,22,42,0,0,42,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0,0,41,0,68,0,0,0,0,0,0,0,275,54,0,0,54,0,330,124,0,0,0,0,0,124,14,28,0,0,24,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,0,24,0,40,3,0,0,0,0,0,3,141,28,0,0,24,0,166,52,3,0,0,3,0,56,3,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,11,0,0,0,0,0,0,0,59,12,0,0,8,0,67,77,6,0,0
POA4006,97,11,0,0,11,0,111,32,127,5,0,133,0,164,0,13,0,0,13,0,13,0,0,0,0,0,0,0,32,141,5,0,146,0,179,0,0,0,0,0,0,3,133,148,5,0,152,0,288,48,4,0,0,4,0,51,13,72,0,0,72,0,78,0,8,0,0,10,0,10,0,0,0,0,0,0,0,13,80,3,0,81,0,91,0,0,0,0,0,0,0,59,79,3,0,86,0,146,22,4,0,0,4,0,24,3,20,0,0,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,20,0,24,0,0,0,0,0,0,0,24,26,0,0,26,0,52,25,3,0,0,3,0,26,0,5,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,10,0,0,0,0,0,0,0,20,10,0,0,13,0,34,32,0,0,0
POA4007,268,15,0,0,15,0,279,33,91,3,0,93,0,131,0,3,3,0,7,0,7,0,0,0,0,0,0,0,33,101,4,0,104,0,133,3,0,0,0,0,0,4,304,108,4,0,117,0,416,296,7,0,0,7,3,308,29,42,0,0,46,0,77,0,4,5,0,9,0,9,0,0,0,0,0,0,0,29,47,7,0,56,0,83,0,0,0,0,0,0,0,323,60,7,0,65,3,391,222,5,0,0,5,0,223,18,20,0,0,25,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,23,0,38,0,0,0,0,0,0,0,237,22,0,0,29,0,264,140,0,0,0,0,0,142,7,13,3,0,17,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,3,0,14,0,21,0,0,0,0,0,0,0,153,10,3,0,16,0,169,198,4,0,0
POA4008,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,64,8,0,0,8,0,69,11,9,0,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,10,0,21,0,0,0,0,0,0,0,79,18,0,0,17,0,97,46,10,0,0,10,0,58,3,8,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,11,0,0,0,0,0,0,0,53,13,0,0,13,0,65,16,0,0,0,0,0,16,3,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,4,0,0,0,0,0,0,0,15,4,0,0,4,0,24,4,0,0,0,0,0,4,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,14,10,0,0,0
POA4011,463,21,0,0,21,0,480,36,125,5,0,133,0,168,0,9,5,0,13,0,16,0,0,0,0,0,0,0,32,142,4,0,147,0,179,0,0,0,0,0,0,3,498,159,4,0,170,0,663,479,19,0,0,20,0,501,29,84,5,0,91,0,117,3,3,6,0,7,0,8,0,5,0,0,5,0,5,31,95,9,0,107,0,134,0,0,0,0,0,0,0,511,112,8,0,123,0,634,313,14,0,0,14,0,327,5,31,0,0,33,0,33,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,33,4,0,38,0,36,0,0,0,0,0,0,0,319,45,4,0,47,0,363,198,7,0,0,7,0,202,5,22,0,0,25,0,29,0,3,0,0,3,0,3,0,0,0,0,0,0,0,5,26,0,0,24,0,35,0,0,0,0,0,0,0,202,35,0,0,35,0,236,253,5,0,0
POA4012,778,27,0,0,27,0,798,85,240,5,0,241,0,327,3,12,10,0,23,0,23,3,0,0,0,0,0,3,87,251,16,0,263,0,348,0,0,0,0,0,0,0,860,278,16,0,289,0,1153,676,18,0,0,18,0,692,64,149,14,0,156,0,225,4,5,3,0,12,0,18,0,0,0,0,0,0,0,68,154,12,0,172,0,239,0,0,0,0,0,0,3,739,175,12,0,191,0,933,381,6,0,0,12,0,392,23,62,3,0,66,0,93,0,8,5,0,15,0,15,0,0,0,0,0,0,0,29,71,5,0,80,0,105,0,0,0,0,0,0,0,409,83,5,0,90,0,502,219,3,0,3,8,0,222,10,25,0,0,25,0,38,0,4,0,0,3,0,3,0,0,0,0,0,0,0,10,33,0,0,35,0,39,0,0,0,0,0,0,0,224,37,0,3,43,0,266,251,3,0,0
POA4013,161,7,0,0,7,0,173,22,43,0,0,43,0,65,0,3,9,0,13,0,13,0,0,0,0,0,0,0,22,44,9,0,58,0,84,0,0,0,0,0,0,0,188,53,9,0,69,0,254,143,3,0,0,3,0,145,14,25,3,0,24,0,43,0,0,3,0,4,0,4,0,0,0,0,0,0,0,14,28,3,0,34,0,43,0,0,0,0,0,0,0,156,27,3,0,37,0,194,66,0,0,0,0,0,66,5,7,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,8,0,18,0,0,0,0,0,0,0,74,7,0,0,8,0,84,59,0,0,0,0,0,59,3,5,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,10,0,6,0,0,0,0,0,0,0,64,5,0,0,10,0,74,71,0,0,0
