POA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA4000,3,0,55,4,26,3,0,23,0,27,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,24,7,0,29,0,32,0,0,0,0,0,0,0,55,29,7,0,31,0,85,25,0,0,0,0,0,25,0,10,3,0,11,0,15,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,14,9,0,22,0,24,0,0,0,0,0,0,0,26,14,9,0,22,0,51,14,0,0,0,0,0,15,0,13,0,0,12,0,12,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,8,4,0,16,0,16,0,0,0,0,0,0,0,14,14,4,0,16,0,29,306,16,0,0,16,0,322,53,324,20,4,350,0,397,0,46,18,0,63,0,63,0,0,0,0,0,0,0,53,372,38,4,416,0,467,0,0,0,0,0,0,0,355,392,38,4,431,0,785
POA4005,6,0,80,7,10,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,0,14,0,21,0,0,0,0,0,0,0,81,16,5,0,18,0,100,61,8,0,0,8,0,63,3,3,0,0,3,0,6,0,3,0,0,8,0,8,0,0,0,0,0,0,0,3,6,0,0,8,0,16,0,0,0,0,0,0,0,63,17,0,0,15,0,82,29,0,0,0,0,0,32,0,3,0,0,3,0,5,0,3,0,0,4,0,3,0,0,0,0,0,0,0,3,3,0,0,7,0,8,0,0,0,0,0,0,0,30,8,0,0,5,0,41,917,56,0,0,56,0,977,91,166,4,0,170,0,259,4,8,6,0,17,0,21,0,0,0,0,0,0,0,97,176,9,0,187,0,285,3,0,0,0,0,0,4,1016,237,9,0,248,0,1261
POA4006,0,0,27,3,14,0,0,15,0,17,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,14,3,0,15,0,18,0,0,0,0,0,0,0,35,10,3,0,17,0,47,17,0,0,0,0,0,22,3,7,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,5,0,12,0,0,0,0,0,0,0,19,6,0,0,10,0,31,11,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,4,0,0,3,0,14,250,24,0,0,24,0,272,57,244,9,0,255,0,308,0,22,4,0,31,0,32,0,0,0,0,0,0,0,53,271,16,0,285,0,341,0,0,0,0,0,0,3,304,291,16,0,309,0,611
POA4007,4,0,199,3,15,3,0,19,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,23,0,28,0,0,0,0,0,0,0,207,17,3,0,23,0,229,123,6,0,0,6,0,132,3,7,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,13,0,0,0,0,0,0,0,128,10,0,0,10,0,139,62,0,0,0,0,0,64,0,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,11,0,11,0,0,0,0,0,0,0,62,6,3,0,10,0,68,1306,36,0,0,36,3,1340,94,193,15,3,212,0,303,0,14,8,0,20,0,20,0,0,0,0,0,0,0,94,205,21,3,226,0,326,3,0,0,0,0,0,4,1406,241,21,3,262,3,1672
POA4008,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,19,0,3,0,3,0,30
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,10,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,12,3,0,0,3,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,8,3,0,0,3,0,11,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,159,14,0,0,14,0,178,25,23,0,0,24,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,0,0,25,0,48,0,0,0,0,0,0,0,185,41,0,0,47,0,229
POA4011,5,0,260,3,23,3,0,24,0,35,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,25,6,0,31,0,32,0,0,0,0,0,0,0,256,30,6,0,32,0,291,172,3,0,0,3,0,179,0,9,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,0,15,0,0,0,0,0,0,0,179,17,3,0,16,0,192,79,0,0,0,0,0,80,6,5,0,0,5,0,13,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,7,0,0,10,0,13,0,0,0,0,0,0,0,82,5,0,0,10,0,89,1949,69,0,0,69,0,2020,80,304,10,6,316,0,400,4,19,16,0,35,0,41,0,3,0,0,3,0,3,85,328,29,6,359,0,446,3,0,0,0,0,0,4,2040,400,31,6,434,0,2468
POA4012,3,0,256,9,28,0,0,28,0,41,0,3,3,0,14,0,14,0,0,0,0,0,0,0,9,38,3,0,44,0,47,0,0,0,0,0,0,0,260,39,3,0,46,0,301,113,0,0,0,3,0,119,4,13,0,0,14,0,24,0,4,0,0,5,0,4,0,0,0,0,0,0,0,3,17,4,0,19,0,29,0,0,0,0,0,0,0,121,20,4,0,25,0,140,59,4,0,0,4,0,58,0,10,0,0,11,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,17,0,13,0,0,0,0,0,0,0,57,10,3,0,19,0,79,2474,63,0,6,64,0,2540,192,534,20,0,551,0,746,11,45,25,0,70,0,76,3,0,0,0,0,0,3,201,579,48,0,621,0,827,0,0,0,0,0,3,6,2682,636,48,6,685,3,3375
POA4013,0,0,69,0,8,0,0,8,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,9,0,6,0,0,0,0,0,0,0,69,9,0,0,9,0,76,27,0,0,0,0,0,27,0,3,0,0,3,0,5,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,3,0,6,0,0,0,0,0,0,0,31,6,0,0,3,0,36,6,0,0,0,0,0,6,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,6,3,0,0,3,0,11,544,15,0,0,15,0,553,48,89,3,0,92,0,146,0,9,21,0,26,0,30,0,0,0,0,0,0,0,46,98,25,0,125,0,170,0,0,0,0,0,0,0,593,108,25,0,136,0,729
