POA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
POA4000,4476,..,..,..,..,4476,..,15,0,15,0,15,..,129,18,143,3,146,..,0,0,0,0,0,..,196,20,217,0,217,..,481,104,585,0,585,..,34,16,50,0,50,..,711,138,855,0,855,..,4,0,4,0,4,..,13,0,13,0,13,..,83,8,88,0,88,..,41,0,41,0,41,..,19,0,19,0,19,..,25,0,22,0,22,..,98,3,106,6,112,..,22,0,22,0,22,..,14,0,14,0,14,..,34,0,32,0,32,..,71,0,70,0,72,..,258,8,266,6,273,..,81,9,86,0,86,..,108,34,141,0,141,..,276,218,497,0,499,..,3,0,3,0,3,..,0,0,0,0,0,..,54,0,52,0,52,..,10,0,10,0,10,..,26,3,28,0,31,..,4,0,4,0,4,..,10,0,11,0,11,..,21,0,21,0,21,..,28,0,28,0,28,..,42,0,42,0,42,..,9
POA4005,6367,..,..,..,..,6367,..,22,3,27,0,27,..,14,6,18,0,18,..,0,0,0,0,0,..,66,35,100,0,100,..,83,13,97,0,97,..,3,3,5,0,5,..,150,50,204,0,204,..,4,0,4,0,4,..,22,0,22,0,22,..,56,3,62,0,62,..,47,0,48,0,48,..,19,0,21,0,21,..,3,0,3,0,3,..,25,0,30,0,30,..,12,0,12,0,12,..,7,0,7,0,7,..,5,0,5,0,5,..,93,0,94,0,94,..,151,0,153,0,153,..,144,19,157,3,163,..,25,5,29,0,29,..,12,0,12,0,12,..,3,0,3,0,3,..,3,0,3,0,3,..,24,0,28,0,28,..,14,0,14,0,14,..,16,0,14,0,14,..,0,0,0,0,0,..,14,0,14,0,14,..,7,0,7,0,7,..,7,0,7,0,7,..,4,0,4,0,4,..,11
POA4006,4668,..,..,..,..,4668,..,9,0,9,0,8,..,59,7,68,0,68,..,3,0,3,0,3,..,89,21,108,0,108,..,179,45,225,0,227,..,10,8,22,0,22,..,284,77,356,0,358,..,5,0,5,0,5,..,8,0,8,0,8,..,48,8,57,0,57,..,24,0,24,0,22,..,15,0,15,0,15,..,29,0,31,0,31,..,99,9,107,0,110,..,7,0,7,0,7,..,13,0,17,0,17,..,9,0,9,0,9,..,63,8,69,0,69,..,224,18,237,0,241,..,78,6,80,0,80,..,30,11,43,0,43,..,78,40,110,0,110,..,0,0,0,0,0,..,0,0,0,0,0,..,48,3,52,0,50,..,19,0,19,0,19,..,5,0,5,0,5,..,4,0,4,0,4,..,15,0,15,0,12,..,23,0,23,0,23,..,14,0,19,0,19,..,18,0,18,0,18,..,11
POA4007,4777,..,..,..,..,4777,..,3,0,3,0,3,..,31,7,39,0,39,..,0,0,0,0,0,..,38,8,48,0,48,..,76,21,99,0,99,..,6,0,6,0,6,..,127,26,152,0,152,..,0,0,0,0,0,..,9,0,9,0,9,..,26,0,30,0,30,..,14,0,14,0,14,..,38,0,37,4,38,..,7,0,7,0,7,..,40,3,47,0,47,..,50,3,54,0,54,..,7,0,7,0,7,..,8,0,8,0,8,..,19,0,19,0,19,..,138,3,140,0,140,..,54,4,61,0,61,..,25,3,27,0,27,..,30,7,30,0,30,..,4,0,4,0,4,..,0,0,0,0,0,..,28,3,33,0,33,..,7,0,7,0,7,..,14,0,14,0,14,..,6,0,6,0,6,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,6,0,6,..,7,3,12,0,12,..,3
POA4008,128,..,..,..,..,128,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA4009,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA4010,860,..,..,..,..,860,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,14,3,17,0,17,..,0,0,0,0,0,..,18,3,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,8,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,13,0,13,..,33,3,34,0,34,..,12,0,12,0,12,..,8,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,4,0,4,0,4,..,0
POA4011,5767,..,..,..,..,5767,..,7,0,7,0,7,..,11,9,16,0,16,..,3,0,6,0,6,..,24,3,21,0,21,..,58,7,63,0,66,..,0,0,0,0,0,..,78,6,89,0,88,..,4,0,9,0,9,..,13,0,13,0,14,..,36,3,35,0,36,..,20,0,23,0,23,..,37,3,36,0,36,..,8,0,8,0,8,..,63,6,68,0,68,..,92,12,99,0,99,..,15,3,13,0,13,..,8,0,8,0,8,..,88,4,90,0,90,..,273,24,296,0,296,..,59,5,65,0,68,..,19,3,26,0,26,..,28,7,34,0,35,..,4,0,4,0,4,..,0,0,0,0,0,..,35,5,40,0,40,..,15,0,17,0,17,..,12,0,8,0,8,..,3,0,3,0,3,..,3,0,8,0,8,..,10,0,12,0,12,..,7,0,3,0,3,..,16,0,16,0,16,..,4
POA4012,8474,..,..,..,..,8474,..,13,0,13,0,13,..,15,0,20,0,20,..,3,0,7,0,7,..,36,6,45,0,49,..,72,14,83,0,83,..,4,3,9,0,9,..,114,22,136,0,135,..,0,0,0,0,0,..,15,0,14,0,14,..,33,0,30,0,30,..,33,0,36,0,36,..,13,0,13,0,13,..,20,0,19,0,19,..,117,6,122,3,125,..,135,17,154,0,152,..,30,3,30,3,31,..,20,0,16,0,16,..,152,10,161,0,164,..,474,38,515,8,521,..,91,7,92,3,95,..,40,4,44,0,44,..,43,9,47,0,47,..,4,0,4,0,4,..,3,0,3,0,3,..,29,8,36,0,36,..,16,4,22,0,20,..,16,0,16,0,16,..,22,0,22,0,19,..,4,0,5,0,5,..,21,0,21,0,21,..,16,0,12,0,12,..,40,4,42,0,42,..,5
POA4013,1820,..,..,..,..,1820,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,12,0,7,0,7,..,10,3,8,0,8,..,0,0,0,0,0,..,18,4,19,0,19,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,21,0,21,0,21,..,38,3,42,0,42,..,6,0,6,0,6,..,13,3,14,0,14,..,22,0,22,0,22,..,99,9,103,0,103,..,5,0,9,0,9,..,6,5,12,0,12,..,4,3,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,9,0,9,..,4,0,9,0,9,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,4,0,4,0,4,..,11,0,11,0,14,..,0
