POA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
POA4000,3,434,..,9,0,9,0,9,..,0,0,0,0,0,..,31,5,41,0,41,..,15,0,21,0,18,..,36,8,40,0,40,..,0,0,0,0,0,..,11,0,11,0,11,..,33,0,33,3,31,..,32,0,32,0,32,..,58,0,58,0,58,..,18,0,18,0,18,..,138,0,138,3,143,..,286,78,360,0,357,..,30,3,38,0,38,..,51,8,60,0,60,..,8,0,9,0,9,..,32,8,45,0,45,..,415,74,487,6,498,..,2846,704,3550,24,3573,..,13,3,16,669,679,3482,2854,703,3564,692,7734,7960,..,..,..,..,7960,..,23,0,23,0,23,..,175,41,216,3,220,..,3,0,3,0,3,..,401,44,443,0,443,..,1196,272,1466,4,1470,..,79,40,114,0,114,..,1671,354,2026,4,2034,..,6,0,6,0,6,..,24,0,24,0,24,..,150,9,165,0,165,..,68,0,68,0,68
POA4005,0,19,..,3,0,4,0,4,..,3,0,3,0,3,..,16,0,23,0,23,..,18,0,22,0,22,..,19,3,24,0,24,..,0,0,0,0,0,..,13,3,19,0,19,..,12,0,11,0,11,..,13,0,13,0,13,..,15,0,21,0,21,..,20,0,20,0,20,..,58,3,62,0,62,..,106,10,114,0,114,..,6,0,9,0,9,..,25,10,40,0,40,..,4,0,4,0,4,..,18,6,24,0,24,..,170,26,193,8,198,..,1119,190,1309,10,1315,..,21,3,23,1272,1296,6489,1135,196,1333,1278,9101,12853,..,..,..,..,12853,..,45,3,42,0,45,..,19,21,37,0,37,..,0,0,0,0,0,..,136,81,215,0,215,..,178,46,217,0,217,..,8,4,12,0,12,..,319,126,453,0,453,..,16,0,16,0,16,..,32,0,32,0,32,..,133,3,138,0,138,..,100,0,103,0,103
POA4006,3,130,..,0,0,0,0,0,..,0,0,0,0,0,..,29,4,35,0,33,..,15,0,19,0,19,..,25,0,23,0,23,..,11,0,11,0,11,..,14,0,12,0,12,..,34,0,34,0,34,..,25,0,28,0,28,..,21,0,21,0,27,..,15,0,15,0,15,..,93,0,95,0,100,..,170,37,202,0,202,..,18,0,18,0,18,..,57,19,72,0,72,..,3,0,3,0,3,..,41,10,52,0,52,..,260,29,280,3,288,..,1607,258,1857,14,1871,..,16,4,15,903,918,4063,1620,255,1876,914,6847,8724,..,..,..,..,8724,..,22,0,22,0,17,..,85,13,99,0,99,..,3,0,3,0,3,..,190,42,233,0,233,..,426,107,533,5,536,..,39,13,47,0,47,..,650,158,809,5,811,..,16,0,16,0,16,..,16,0,16,0,16,..,98,13,107,0,107,..,51,0,51,0,56
POA4007,0,36,..,7,0,7,0,7,..,0,0,0,0,0,..,34,0,39,0,39,..,7,0,6,0,6,..,19,0,19,0,19,..,4,0,4,0,4,..,6,0,6,0,6,..,13,0,13,0,13,..,9,0,12,0,12,..,21,0,21,0,21,..,6,0,6,0,6,..,51,0,50,0,55,..,61,9,67,0,74,..,3,0,3,0,3,..,17,4,23,0,23,..,3,0,3,0,3,..,21,3,21,0,21,..,125,10,136,0,140,..,907,81,987,5,998,..,9,0,10,567,580,5010,917,85,1001,568,6579,9786,..,..,..,..,9786,..,13,0,13,0,13,..,40,9,52,0,52,..,0,0,0,0,0,..,90,10,97,0,99,..,212,46,257,0,257,..,15,3,18,0,18,..,316,56,374,0,370,..,3,0,3,0,3,..,23,0,23,0,23,..,56,5,65,0,65,..,40,0,40,0,40
POA4008,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,8,0,8,..,0,0,0,24,24,102,6,0,8,24,137,231,..,..,..,..,231,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
POA4009,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
POA4010,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,9,3,11,0,11,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,17,0,17,0,17,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,4,0,4,..,20,9,25,0,25,..,165,18,182,0,182,..,0,0,0,105,105,907,165,18,181,105,1192,1765,..,..,..,..,1765,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,10,0,10,0,10,..,29,3,30,0,30,..,0,0,0,0,0,..,33,3,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4
POA4011,0,58,..,0,0,0,0,0,..,0,0,0,0,0,..,22,8,28,0,28,..,8,0,10,0,10,..,22,0,18,0,19,..,10,0,10,0,10,..,8,0,4,0,4,..,18,0,19,0,19,..,9,0,8,0,8,..,20,0,21,0,23,..,5,0,4,0,4,..,51,3,56,0,55,..,40,3,37,0,39,..,26,3,29,0,29,..,22,13,32,0,32,..,0,0,3,0,3,..,11,0,11,0,11,..,152,17,164,7,174,..,968,118,1084,13,1099,..,10,0,16,452,469,6299,982,114,1096,469,7869,12072,..,..,..,..,12072,..,15,0,15,0,15,..,25,8,41,0,41,..,9,0,6,0,6,..,48,7,56,0,56,..,137,21,162,0,165,..,9,0,9,0,9,..,197,32,228,0,226,..,16,0,12,0,12,..,17,0,17,0,19,..,77,0,77,4,78,..,39,3,43,0,43
POA4012,0,76,..,3,0,4,0,4,..,5,0,5,0,5,..,21,9,28,0,28,..,21,4,30,10,35,..,18,0,16,0,16,..,29,0,29,0,29,..,9,0,7,0,7,..,52,0,52,0,52,..,18,4,20,0,20,..,88,3,92,0,91,..,15,0,15,0,15,..,171,7,178,0,181,..,92,7,99,0,99,..,25,9,36,0,36,..,34,9,39,0,42,..,0,0,0,0,0,..,30,11,37,0,37,..,285,54,339,8,346,..,1659,232,1885,25,1916,..,30,5,33,559,590,8634,1685,231,1921,589,11143,17110,..,..,..,..,17110,..,24,0,25,0,25,..,32,0,36,0,36,..,9,0,9,0,9,..,91,22,110,4,118,..,175,31,207,0,207,..,13,0,12,0,12,..,276,58,333,4,334,..,3,0,3,0,3,..,31,0,33,0,33,..,67,3,73,0,73,..,83,0,84,0,86
POA4013,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,13,0,9,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,7,3,12,0,12,..,4,0,5,0,5,..,16,0,16,0,16,..,3,0,3,0,3,..,32,4,35,0,35,..,21,0,24,0,24,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,9,0,9,0,9,..,53,19,68,0,68,..,279,47,323,3,328,..,4,0,3,126,127,1842,284,48,328,130,2298,3663,..,..,..,..,3663,..,3,0,3,0,3,..,5,0,13,0,13,..,0,0,0,0,0,..,17,3,21,0,21,..,16,4,22,0,22,..,0,0,0,0,0,..,37,7,45,0,45,..,3,0,3,0,3,..,5,0,5,0,5,..,9,0,9,0,9,..,7,0,7,0,7
