POA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA4000,..,26,0,26,0,29,..,39,8,42,0,42,..,187,15,196,6,207,..,33,0,33,0,33,..,23,0,23,0,23,..,58,0,59,0,59,..,129,3,132,0,132,..,457,25,481,12,492,..,137,13,156,0,156,..,213,125,336,0,336,..,551,381,936,6,939,..,5,0,5,0,5,..,0,0,0,0,0,..,83,3,88,0,88,..,29,0,33,0,31,..,58,12,70,0,68,..,3,0,3,0,3,..,22,0,18,0,18,..,52,0,52,3,54,..,65,0,63,0,63,..,98,0,98,0,98,..,21,3,25,0,25,..,231,0,234,3,237,..,589,132,716,0,721,..,73,3,80,0,82,..,84,27,114,0,114,..,14,0,15,0,15,..,71,8,78,0,78,..,883,123,1005,10,1019,..,5661,1266,6930,42,6965,..,25,4,29,1601,1625,7960,5687,1273,6960,1636,16552
POA4005,..,37,0,44,0,44,..,3,0,3,0,3,..,46,3,47,0,47,..,24,0,24,0,24,..,5,0,5,0,5,..,7,0,7,0,7,..,157,3,156,0,156,..,236,7,243,0,243,..,274,51,328,6,333,..,67,3,73,0,71,..,28,5,30,0,30,..,10,0,7,0,7,..,8,0,8,0,8,..,44,0,42,0,42,..,36,0,33,0,33,..,36,3,37,0,37,..,0,0,0,0,0,..,30,4,34,0,34,..,12,0,14,0,14,..,19,0,15,0,15,..,24,0,26,0,26,..,28,0,28,0,28,..,84,3,84,0,84,..,204,14,219,0,216,..,12,3,19,0,19,..,36,12,51,0,51,..,9,0,9,0,9,..,32,9,40,0,40,..,325,44,372,9,377,..,2169,326,2493,17,2509,..,34,4,40,2470,2510,12853,2208,329,2539,2486,17876
POA4006,..,28,0,24,0,24,..,50,3,57,0,57,..,162,10,176,3,176,..,17,3,17,0,17,..,28,4,30,0,30,..,17,0,17,0,17,..,105,9,114,0,114,..,379,26,413,3,413,..,145,8,152,0,160,..,81,33,113,0,113,..,175,64,235,3,239,..,0,0,0,0,0,..,0,0,0,0,0,..,74,7,83,0,88,..,30,0,30,0,30,..,28,0,28,0,28,..,12,0,12,0,12,..,25,0,25,0,29,..,58,0,58,0,58,..,41,4,48,0,48,..,43,0,43,0,49,..,30,0,30,0,30,..,175,4,175,0,180,..,338,59,402,0,402,..,40,0,35,0,35,..,79,26,103,0,110,..,9,0,9,0,9,..,82,19,99,4,95,..,531,73,605,9,615,..,3171,511,3684,25,3713,..,33,4,35,2054,2091,8724,3205,519,3723,2081,14530
POA4007,..,68,0,72,4,73,..,5,0,5,0,5,..,70,5,74,0,74,..,74,3,81,0,81,..,13,0,13,0,13,..,19,0,19,0,19,..,38,3,39,0,39,..,220,12,237,0,237,..,128,5,138,0,138,..,57,11,70,0,70,..,60,8,69,0,69,..,14,0,14,0,14,..,0,0,0,0,0,..,64,3,70,0,70,..,15,0,16,0,16,..,26,0,26,0,26,..,6,0,6,0,6,..,8,0,8,0,8,..,19,0,19,0,19,..,17,3,19,0,19,..,34,3,35,0,35,..,7,0,7,0,7,..,74,5,74,0,76,..,115,14,128,0,131,..,5,0,5,0,5,..,28,5,34,0,34,..,0,0,0,0,0,..,33,4,43,0,43,..,234,20,251,6,260,..,1674,171,1842,15,1849,..,20,3,22,1111,1131,9786,1695,170,1863,1121,12769
POA4008,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,16,3,18,0,18,..,0,0,0,117,117,231,16,3,18,117,368
POA4009,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
POA4010,..,3,3,4,0,4,..,3,0,3,0,3,..,8,0,8,0,8,..,8,0,13,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,30,0,34,0,34,..,57,3,61,0,61,..,25,0,30,0,30,..,21,0,19,0,19,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,14,3,14,0,14,..,5,0,5,0,5,..,3,0,3,0,3,..,16,0,16,0,16,..,3,0,3,0,3,..,8,0,8,0,8,..,6,0,9,0,9,..,29,0,30,0,30,..,22,0,23,0,23,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,10,0,7,0,7,..,42,5,56,0,56,..,319,23,343,0,343,..,3,0,3,187,186,1765,320,23,343,187,2296
POA4011,..,58,3,64,0,64,..,25,0,23,0,23,..,126,6,136,0,136,..,151,18,164,0,168,..,21,4,23,0,23,..,15,0,16,0,16,..,152,13,168,0,165,..,491,42,532,3,531,..,121,15,138,0,139,..,49,14,61,0,63,..,71,19,88,0,92,..,9,0,9,0,9,..,0,0,0,0,0,..,55,13,69,0,69,..,23,0,24,0,24,..,26,3,29,0,30,..,12,0,12,0,12,..,11,0,14,0,9,..,27,0,26,0,26,..,9,3,12,0,12,..,41,0,42,0,41,..,12,0,13,0,13,..,86,7,94,0,90,..,82,7,91,3,93,..,50,6,51,0,56,..,34,13,50,0,50,..,3,0,3,0,3,..,33,3,32,0,32,..,304,31,342,13,349,..,1912,221,2135,28,2161,..,32,4,30,911,943,12072,1940,222,2166,944,15180
POA4012,..,32,0,32,0,32,..,43,3,46,0,46,..,223,17,242,3,248,..,248,31,276,7,281,..,45,7,50,3,52,..,34,0,29,0,29,..,292,27,320,4,320,..,882,89,966,11,977,..,176,15,187,3,190,..,92,15,109,0,109,..,93,29,125,0,120,..,11,0,9,0,9,..,9,0,9,0,9,..,48,13,61,0,61,..,43,3,51,11,57,..,29,0,33,0,33,..,47,0,47,0,49,..,17,3,14,0,14,..,74,0,74,0,74,..,28,3,35,0,35,..,129,7,134,0,130,..,17,0,21,0,21,..,251,13,266,0,261,..,167,6,176,0,176,..,72,18,87,0,87,..,41,12,51,0,51,..,0,0,0,0,0,..,45,9,52,0,55,..,527,100,628,19,641,..,3100,391,3489,45,3537,..,49,4,52,1132,1181,17110,3145,398,3541,1175,21828
POA4013,..,5,0,5,0,5,..,0,0,0,0,0,..,36,0,35,0,35,..,67,3,76,0,79,..,5,0,5,0,5,..,17,3,26,0,26,..,39,4,43,0,43,..,171,16,189,0,186,..,20,0,18,0,18,..,25,5,28,0,28,..,7,3,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,11,8,20,0,21,..,11,0,9,0,9,..,4,0,4,0,4,..,10,0,10,0,10,..,3,0,3,0,3,..,16,3,14,0,14,..,5,0,5,0,5,..,28,0,28,0,29,..,3,0,3,0,3,..,52,4,56,0,55,..,37,3,35,0,35,..,12,3,11,0,11,..,9,0,11,0,11,..,0,0,0,0,0,..,19,0,19,0,19,..,100,39,143,0,145,..,557,89,651,6,652,..,5,0,10,249,257,3663,565,89,657,252,4568
