POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA4000,309,385,692,536,433,960,0,0,0,90,111,197,0,0,0,1550,1584,3137,7,4,5,62,56,120,11,0,13,5,5,12,32,35,68,7,3,8,30,31,67,60,59,120,154,138,295,5,6,11,14,3,21,151,162,310,157,160,316,3,9,16,2873,2806,5678,342,245,588,238,153,390,12,8,26,0,0,0,13,15,31,42,34,74,54,45,100,3675,3112,6782,35,24,62,19,17,39,3730,3151,6885,1261,937,2198,8819,7734,16552
POA4005,141,199,342,758,887,1645,0,0,0,54,70,127,0,0,0,1844,2154,4003,0,4,5,79,95,169,22,37,64,4,3,4,37,48,85,3,0,7,31,28,57,40,51,88,123,140,262,3,3,8,3,4,10,157,212,373,125,121,240,14,3,17,3301,3864,7167,124,92,219,56,33,88,36,28,66,0,0,0,16,11,25,19,28,46,39,36,80,3450,3202,6653,68,42,103,23,30,53,3536,3265,6809,1527,1581,3111,8772,9101,17876
POA4006,159,243,397,519,453,970,0,0,0,64,51,115,0,0,0,1250,1350,2606,4,3,9,59,54,113,19,19,34,15,3,16,34,22,53,7,3,8,24,26,50,51,76,125,96,125,222,5,7,14,11,11,23,100,127,234,135,141,276,8,3,8,2401,2482,4886,250,181,432,152,99,246,17,8,27,0,0,0,16,13,29,42,34,76,58,47,103,3136,2613,5753,61,45,108,15,17,32,3210,2679,5895,1435,1106,2543,7680,6847,14530
POA4007,94,120,214,952,1200,2155,0,0,0,53,73,126,0,0,0,1570,1788,3358,3,4,8,109,99,207,5,13,18,9,18,29,36,36,70,3,0,5,12,13,24,44,49,92,131,153,286,3,5,16,4,10,13,169,197,371,107,118,229,0,4,6,3213,3785,6998,95,71,162,66,53,117,10,19,30,0,0,0,54,22,83,19,23,41,75,49,122,1862,1722,3587,28,15,48,12,11,24,1902,1754,3659,729,744,1475,6187,6579,12769
POA4008,3,0,3,23,26,48,0,0,0,0,3,4,0,0,0,38,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,12,6,20,0,0,0,0,0,0,0,0,5,4,0,7,0,0,0,79,74,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,37,90,3,0,4,0,0,0,52,36,90,95,26,119,229,137,368
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,23,22,47,101,142,238,0,0,0,8,13,21,0,0,0,224,303,530,0,0,0,9,13,23,3,3,7,0,0,0,7,9,16,0,0,4,3,0,3,3,7,9,25,17,43,0,0,0,3,6,8,17,37,56,22,17,39,0,0,0,422,573,990,19,18,40,10,9,17,0,3,3,0,0,0,8,0,8,10,13,16,15,11,25,492,399,894,3,3,6,3,7,10,504,413,913,116,138,258,1104,1192,2296
POA4011,103,146,251,1093,1314,2406,0,0,0,49,65,114,0,0,0,2111,2380,4488,0,4,5,89,71,160,7,15,25,8,3,8,42,48,85,6,3,11,12,21,36,41,62,104,202,199,404,4,11,22,9,17,26,200,328,523,92,148,244,7,9,18,3987,4693,8678,219,202,427,48,52,103,17,17,35,0,0,0,83,69,150,23,20,41,103,89,195,2063,1913,3975,34,30,64,5,17,26,2109,1958,4064,717,706,1429,7309,7869,15180
POA4012,138,207,347,1036,1329,2359,0,0,0,172,180,356,5,0,5,2682,3198,5884,8,10,13,64,68,132,50,60,115,21,18,41,79,85,163,0,3,6,41,28,68,99,132,227,225,273,490,17,23,37,11,8,20,305,402,705,203,246,453,18,10,25,5035,6066,11102,404,364,771,81,73,157,10,10,16,5,3,6,145,113,264,37,60,94,183,177,362,3743,3217,6961,62,43,105,18,26,39,3824,3281,7106,1006,954,1963,10688,11143,21828
POA4013,18,34,53,252,331,582,0,0,0,33,39,70,0,0,0,569,628,1196,3,0,6,14,19,25,6,7,17,3,3,7,17,11,28,0,3,0,11,13,24,20,16,32,62,58,120,0,3,6,4,3,7,78,88,160,46,57,103,0,3,7,1111,1289,2392,66,57,125,42,29,69,4,3,4,0,0,0,37,32,72,10,7,12,47,40,88,774,646,1422,11,11,20,5,3,8,785,655,1444,202,194,393,2270,2298,4568
POA4014,64,97,154,641,736,1376,0,0,0,90,91,177,0,0,0,1647,1855,3501,4,0,4,18,22,49,26,30,57,22,26,55,45,50,94,0,0,0,34,27,59,39,51,90,161,166,322,8,23,26,5,15,23,256,334,589,112,147,256,0,6,4,3119,3569,6687,105,113,214,40,24,61,3,8,14,0,0,0,71,73,142,17,18,33,92,84,178,1918,1631,3548,24,23,47,6,11,19,1947,1665,3610,478,517,993,5846,6064,11913
POA4017,133,198,328,2348,2811,5163,0,0,0,430,503,941,0,0,0,4771,5260,10029,11,23,30,100,80,181,73,101,169,46,69,112,135,136,267,17,13,33,76,81,152,201,210,416,505,534,1043,53,66,125,38,47,87,787,1079,1862,440,530,971,27,27,58,10065,11574,21637,227,239,460,72,66,139,6,5,14,4,3,11,117,103,223,48,56,102,164,165,335,5770,5080,10846,69,49,122,34,56,87,5866,5185,11055,1461,1433,2896,18003,18865,36869
POA4018,105,140,248,541,757,1296,3,0,3,121,154,276,0,0,0,1392,1761,3151,3,5,10,38,39,80,27,27,48,20,36,56,27,47,73,10,16,24,29,45,81,90,102,194,127,187,317,24,43,67,8,14,27,162,289,448,149,174,321,7,11,15,2779,3703,6484,399,393,798,113,90,203,3,5,10,9,5,11,265,228,490,11,16,30,286,248,536,1479,1400,2877,22,28,52,5,10,19,1513,1442,2953,474,459,937,5673,6477,12153
POA4019,92,147,247,1545,1739,3284,0,0,0,228,287,517,0,0,0,1995,2283,4279,4,11,18,54,45,103,71,101,172,44,52,104,106,129,232,0,0,0,49,73,115,120,151,274,346,351,692,36,59,91,15,23,34,406,485,891,262,289,549,21,16,42,5307,6088,11396,33,32,63,23,27,45,9,3,10,0,0,0,11,6,15,30,56,95,42,67,110,3299,3015,6319,39,40,79,19,30,49,3359,3085,6441,935,865,1796,9794,10312,20106
POA4020,93,145,236,1715,2033,3747,0,0,0,176,221,396,4,0,4,2306,2794,5097,15,12,25,67,89,157,67,88,157,25,35,56,121,168,296,8,6,14,62,72,134,103,131,235,314,413,722,29,52,72,22,29,55,492,654,1147,282,346,626,12,16,26,5815,7156,12973,27,49,78,14,12,28,12,10,16,0,0,0,3,5,10,36,62,104,44,67,116,3268,2892,6160,41,28,70,22,52,73,3332,2971,6302,1105,1190,2296,10443,11602,22043
POA4021,33,74,111,666,865,1535,0,0,0,99,132,234,0,0,3,941,1136,2083,5,3,6,20,27,41,35,44,82,23,27,55,42,71,116,0,0,0,43,49,95,43,56,97,151,155,307,18,23,39,16,15,35,210,276,488,155,191,347,8,11,16,2486,3085,5568,22,20,47,10,4,16,10,5,11,0,0,0,12,6,20,16,32,52,32,40,66,1529,1429,2954,16,18,38,10,10,23,1552,1454,3013,435,521,956,4574,5209,9790
