POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA4000,30,49,79,103,121,225,20,23,40,15,11,28,131,155,286,53,40,92,36,29,62,146,69,209,230,137,364,64,75,141,129,154,279,34,17,49,83,92,170,0,0,0,313,334,643,728,805,1537,358,301,658,49,43,95,159,158,314,3,5,7,1295,1309,2610,288,356,643,183,224,414,0,0,0,472,583,1057,1012,749,1763,3484,3320,6809
POA4005,58,54,114,138,119,262,109,102,210,22,45,63,271,260,539,41,41,77,55,58,117,56,60,117,155,152,308,21,20,36,34,46,79,9,15,26,50,58,107,0,3,3,119,136,251,230,312,545,164,187,348,42,62,101,218,257,475,3,0,3,648,824,1472,21,33,52,39,65,109,0,0,3,61,101,164,1217,1305,2515,2532,2837,5360
POA4006,34,24,56,92,87,173,10,22,34,3,4,10,107,107,212,48,54,100,19,20,38,19,30,51,83,105,188,32,40,74,62,97,160,22,30,48,71,69,143,0,0,0,191,238,425,346,476,828,291,248,538,40,70,105,170,205,377,0,0,3,845,999,1850,82,109,186,77,107,185,0,0,0,159,212,369,1177,921,2099,2593,2609,5201
POA4007,51,53,101,223,203,427,61,71,128,70,65,133,353,338,687,33,34,73,95,93,190,154,278,433,288,409,696,15,18,33,18,38,49,8,17,25,33,40,71,0,0,0,75,109,181,218,260,481,71,92,166,25,44,73,92,127,218,0,0,3,405,531,935,20,29,53,21,44,70,0,0,0,45,75,122,555,592,1149,1771,2100,3870
POA4008,3,0,3,11,0,9,0,0,0,0,0,0,11,0,16,0,8,6,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,9,9,3,0,3,0,0,0,0,0,0,0,0,0,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,89,27,115,106,48,151
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,10,15,24,40,30,74,13,12,26,0,7,4,54,46,107,16,7,21,11,7,19,4,9,13,32,24,58,0,7,7,6,3,13,3,8,14,8,12,18,0,0,0,19,23,46,43,51,94,17,26,43,5,4,7,30,39,65,0,0,0,86,123,213,3,4,13,4,10,16,0,0,0,9,17,28,85,115,201,309,362,665
POA4011,87,93,177,323,289,616,146,155,300,51,91,143,520,544,1064,90,63,150,181,188,367,167,262,434,440,513,956,28,20,50,19,36,54,19,23,41,41,55,94,0,3,3,105,135,238,228,316,540,92,122,217,36,55,83,100,163,264,0,0,0,459,649,1111,14,32,45,27,53,77,0,3,3,40,85,122,477,519,998,2127,2541,4670
POA4012,124,111,235,486,414,895,282,284,567,24,45,72,793,742,1539,231,195,427,238,210,446,44,84,133,520,487,1009,46,33,80,36,49,82,34,34,67,56,108,163,0,0,0,177,222,400,266,348,616,109,172,279,32,60,96,169,220,388,0,0,3,573,805,1378,31,36,65,39,92,126,0,3,3,68,127,197,623,653,1282,2878,3155,6033
POA4013,27,25,57,94,99,194,58,47,108,5,0,3,148,154,297,54,48,103,40,50,90,15,25,45,110,118,232,12,6,14,14,9,26,5,0,5,8,12,24,0,0,3,39,28,73,60,69,127,27,34,61,4,11,17,28,49,80,0,0,0,119,163,285,13,13,23,7,15,27,0,0,0,20,33,55,136,144,277,602,664,1267
POA4014,92,77,163,312,270,575,185,191,383,8,20,35,510,487,995,206,183,391,97,99,200,21,30,52,322,317,639,17,16,33,8,21,26,14,14,28,31,46,74,0,0,0,72,96,166,131,154,288,46,62,107,13,19,33,57,93,152,0,0,0,254,321,573,13,14,25,16,29,41,0,0,0,22,48,69,322,487,803,1592,1824,3416
POA4017,253,234,484,1010,1005,2015,563,524,1092,67,69,138,1646,1593,3243,634,560,1194,500,444,943,109,141,250,1245,1143,2388,45,49,90,37,63,96,83,45,129,103,170,276,0,0,0,258,332,594,321,433,761,86,158,243,48,60,108,160,293,452,0,3,4,617,950,1564,33,31,63,53,137,191,3,3,8,92,176,266,907,987,1891,5015,5416,10428
POA4018,95,66,163,281,273,556,130,134,262,7,12,22,423,418,843,181,178,355,90,91,176,18,16,29,281,280,565,22,21,47,12,29,43,20,19,40,22,77,92,4,0,4,80,143,226,136,155,286,59,88,143,14,25,35,75,114,186,0,3,3,275,378,654,21,31,54,20,48,67,0,0,0,47,74,120,313,304,622,1518,1667,3189
POA4019,100,87,192,502,466,971,162,167,328,118,119,238,786,756,1543,329,323,653,127,96,218,83,91,174,540,505,1048,19,26,48,21,52,68,41,29,64,48,88,145,0,3,3,129,195,321,90,115,213,38,75,108,10,27,38,58,118,175,0,0,3,204,331,534,17,28,50,29,77,106,4,0,5,49,109,161,634,663,1292,2439,2648,5087
POA4020,80,80,161,428,358,785,208,194,403,122,111,238,764,663,1428,375,281,656,167,155,328,109,135,242,656,574,1229,30,20,50,15,48,57,34,24,56,44,82,121,0,0,0,115,169,286,125,166,295,27,69,95,17,27,44,58,134,187,0,0,3,229,399,622,7,17,23,45,65,107,0,0,0,49,88,140,811,962,1773,2700,2932,5640
POA4021,57,62,118,331,320,654,58,70,126,29,44,72,416,436,852,244,226,466,48,42,89,35,51,84,330,315,643,9,27,32,4,21,26,11,18,34,14,57,65,0,0,0,44,117,156,38,53,86,17,32,47,0,9,7,16,35,52,0,0,0,71,135,201,14,23,35,23,35,53,0,0,0,33,54,93,318,415,730,1267,1532,2795
POA4022,29,28,63,201,178,379,59,47,108,69,77,149,326,307,633,127,121,247,36,38,72,79,85,164,240,240,476,5,21,31,3,3,10,17,3,23,6,28,41,0,0,3,34,65,99,38,71,103,7,19,28,5,6,16,8,36,46,0,0,0,62,135,197,3,17,18,12,16,29,0,0,0,14,30,48,229,263,492,942,1065,2010
POA4025,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,4,4,0,0,0,0,3,3,0,0,0,4,6,11,0,0,0,0,0,3,0,0,0,0,0,3,52,39,93,65,49,116
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,57,21,36,55
POA4030,96,89,183,390,356,740,174,148,318,26,47,64,583,545,1128,148,111,259,155,124,277,88,109,196,388,344,728,29,26,57,31,59,86,26,19,38,57,66,119,0,0,3,134,171,302,344,447,788,161,179,343,43,61,106,174,200,373,0,0,0,725,883,1610,37,32,63,31,64,94,0,0,0,63,94,161,497,491,987,2489,2616,5111
POA4031,104,91,194,311,279,597,257,236,490,26,17,40,592,527,1124,162,149,303,185,170,358,61,53,114,407,379,779,17,20,34,16,41,58,29,26,48,35,56,87,0,0,0,92,138,231,188,245,429,69,100,174,25,40,67,106,150,252,3,4,3,387,539,924,13,18,30,21,39,58,0,0,0,40,60,97,382,414,794,1999,2140,4138
POA4032,75,71,141,350,344,695,112,107,218,26,27,59,489,481,975,250,225,473,96,76,176,38,40,81,387,338,724,30,45,75,30,47,81,24,23,48,47,65,114,0,0,0,138,187,324,166,301,463,101,130,236,24,40,63,75,139,215,3,3,4,372,615,982,20,32,57,32,39,75,0,3,3,57,77,133,542,735,1274,2050,2508,4559
POA4034,258,257,513,1111,1074,2184,482,450,932,95,98,188,1682,1620,3301,731,680,1409,532,382,914,134,128,258,1396,1189,2580,76,81,159,76,100,176,76,51,125,124,192,318,5,0,6,353,436,788,498,590,1085,200,235,437,52,58,110,230,321,545,8,4,10,982,1209,2188,55,58,116,63,145,206,0,3,3,116,202,324,1139,1151,2285,5927,6057,11986
POA4035,151,147,292,710,624,1333,339,359,692,171,152,323,1213,1135,2350,411,366,778,396,408,808,243,269,513,1047,1042,2095,28,38,65,11,30,44,52,22,76,40,83,124,0,0,0,138,168,308,388,447,837,49,72,117,42,57,98,124,165,292,0,7,7,605,748,1346,15,22,41,37,49,89,0,0,0,56,78,133,444,466,918,3658,3778,7434
POA4036,46,56,104,242,220,462,42,46,84,24,10,31,305,273,578,119,127,244,35,34,70,31,35,63,182,192,380,8,11,13,9,9,17,18,14,34,14,44,58,0,0,0,45,80,118,41,62,112,23,16,42,6,8,9,28,39,72,0,0,0,102,128,234,4,8,15,16,19,34,0,0,0,20,20,43,134,144,274,846,900,1742
POA4037,56,65,122,326,337,664,113,92,207,67,50,120,505,486,991,162,162,320,124,146,269,83,95,171,370,395,765,15,13,28,4,5,8,10,7,16,9,27,40,0,0,0,38,62,100,129,138,268,21,28,41,12,19,24,44,50,93,0,3,3,192,232,430,7,3,10,18,27,41,0,0,0,26,27,56,127,118,247,1318,1390,2705
POA4051,226,189,411,721,680,1394,376,408,788,65,52,118,1165,1139,2304,243,228,477,328,294,628,250,238,491,828,766,1591,42,62,107,37,58,95,44,20,61,82,100,178,0,0,0,205,243,444,535,714,1252,183,243,431,92,90,187,255,344,599,0,6,6,1067,1399,2465,33,42,78,43,78,121,3,0,3,86,115,199,740,743,1481,4305,4599,8903
POA4053,322,265,588,1127,1017,2138,603,582,1189,177,193,365,1902,1789,3694,586,581,1166,479,469,956,209,253,457,1275,1298,2582,74,80,149,40,65,103,93,75,166,115,193,313,3,6,5,322,416,734,459,668,1127,183,235,414,75,107,180,274,488,757,3,0,3,991,1492,2483,44,69,119,79,145,223,0,0,0,125,214,339,950,952,1907,5886,6435,12323
POA4054,102,102,207,437,387,826,151,135,291,72,55,131,658,583,1239,302,274,570,117,103,215,55,61,111,469,429,898,17,20,42,12,29,41,30,17,46,34,60,94,0,0,3,95,129,223,112,163,281,48,65,110,11,29,38,82,117,196,0,0,0,251,371,629,8,23,30,22,41,63,0,0,0,34,62,99,247,267,516,1859,1938,3800
POA4055,172,166,346,730,733,1461,287,304,591,86,89,173,1098,1125,2226,541,415,955,227,214,445,132,119,247,899,744,1643,23,33,63,17,23,40,39,32,68,50,89,141,0,0,0,129,184,316,266,289,557,61,91,147,30,30,58,129,199,331,0,4,3,490,609,1100,17,17,33,25,68,95,0,0,0,41,91,130,336,351,684,3173,3273,6445
POA4059,80,59,146,292,319,613,56,45,100,22,18,35,370,377,746,145,160,306,58,57,110,78,61,131,278,271,549,36,25,57,23,36,58,16,13,29,31,43,69,0,0,0,98,117,212,865,1061,1922,429,398,826,37,53,90,145,140,286,9,4,13,1475,1662,3134,33,44,77,24,38,68,0,0,0,59,88,143,574,520,1092,2935,3099,6031
POA4060,119,101,220,371,379,758,253,244,496,31,33,64,656,659,1313,109,97,201,401,286,687,148,107,262,658,492,1149,9,11,24,7,24,33,17,14,32,22,23,44,0,0,0,62,74,137,305,358,664,68,85,149,39,46,90,107,130,240,0,0,3,526,621,1146,7,8,17,18,31,46,0,0,0,28,40,67,322,319,642,2373,2300,4678
POA4061,126,112,241,674,559,1234,223,225,450,30,20,48,925,803,1730,426,367,795,210,244,452,99,94,197,737,707,1446,28,23,44,9,22,31,26,18,43,38,44,78,0,0,0,98,100,207,304,303,611,51,89,139,37,49,86,112,168,284,0,0,0,510,620,1125,14,21,31,28,36,62,0,3,3,37,59,96,313,342,657,2744,2746,5488
POA4064,71,41,117,238,285,525,70,55,124,26,28,56,333,370,706,56,60,111,63,78,144,110,83,184,225,221,442,25,24,48,15,37,47,20,11,29,26,28,53,0,0,0,87,91,177,288,410,692,132,138,268,57,52,104,124,157,282,4,3,10,601,754,1358,13,17,28,24,44,71,0,0,0,39,60,98,356,328,683,1702,1870,3581
POA4065,89,92,176,380,370,748,104,101,209,31,21,58,516,501,1018,67,57,124,113,190,300,146,126,271,324,377,701,11,9,21,6,9,15,7,5,8,20,25,49,0,0,0,43,49,96,198,241,441,52,63,114,22,41,61,77,101,178,0,3,3,345,451,794,11,3,15,12,26,46,3,0,3,23,34,57,210,218,425,1554,1713,3272
POA4066,71,67,139,269,269,537,92,81,171,67,48,116,428,396,822,90,99,183,67,181,251,192,115,301,347,389,742,27,25,56,33,37,66,18,21,37,47,52,96,3,0,3,128,135,263,922,1171,2094,357,326,679,58,78,139,161,187,352,0,0,0,1501,1761,3265,26,45,68,36,49,78,0,0,0,59,90,153,637,580,1222,3174,3418,6595
POA4067,40,47,90,220,218,443,9,6,15,18,17,33,253,240,496,61,60,124,16,21,36,84,73,156,160,153,317,14,11,22,3,17,22,9,8,18,10,16,24,0,0,0,33,46,76,1384,1585,2969,608,508,1112,50,45,90,74,89,164,7,13,13,2123,2229,4348,18,18,38,15,21,29,0,0,0,31,41,65,367,375,742,3001,3135,6133
POA4068,140,120,265,580,501,1081,103,114,214,118,91,206,799,707,1506,245,240,488,115,120,235,353,270,618,706,633,1344,39,41,79,30,47,76,25,17,48,46,53,95,0,3,3,141,162,298,1292,1440,2729,466,472,942,78,105,187,179,238,420,7,5,16,2030,2259,4292,40,48,88,49,79,123,3,0,3,92,127,217,616,609,1225,4529,4613,9141
POA4069,261,226,493,1303,1229,2534,216,210,423,248,189,441,1769,1627,3398,616,548,1168,317,350,665,626,416,1046,1558,1319,2874,32,28,60,26,48,71,45,25,68,58,90,142,0,0,0,153,194,346,843,871,1715,169,189,364,85,104,192,199,304,505,0,4,7,1300,1480,2779,17,18,39,48,90,134,4,3,8,69,109,182,701,778,1477,5816,5733,11546
POA4070,107,89,197,523,499,1018,83,71,152,67,39,110,668,616,1280,328,271,598,95,124,211,114,98,212,534,487,1026,25,18,45,3,21,24,15,11,28,20,35,63,0,0,0,64,95,162,207,207,417,35,71,106,24,23,48,85,119,199,0,0,0,348,426,769,12,12,28,17,35,52,0,0,0,28,52,80,205,199,409,1962,1958,3918
POA4072,0,0,0,0,4,7,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,850,1122,1970,39,25,73,4,5,8,0,3,4,0,0,0,901,1157,2057,0,0,0,0,0,0,0,0,0,0,0,0,21,28,51,928,1191,2120
POA4073,74,72,140,262,281,538,124,102,229,75,85,159,466,461,924,139,144,281,95,108,198,117,110,228,342,362,703,11,10,19,6,12,16,9,5,8,16,30,47,0,0,0,31,57,88,168,201,364,44,47,83,18,10,25,52,69,120,0,0,0,277,324,598,6,5,8,5,19,27,0,0,0,11,25,38,126,121,250,1335,1427,2756
POA4074,185,146,337,828,768,1598,110,109,223,175,140,313,1107,1022,2132,538,484,1022,118,139,258,193,177,372,849,805,1651,26,36,65,25,40,64,38,27,59,61,98,158,0,0,0,150,196,350,387,467,850,70,124,190,45,56,93,144,185,325,0,3,6,649,822,1476,16,18,32,36,58,96,0,0,0,56,81,131,402,348,749,3398,3419,6821
POA4075,189,189,381,740,695,1434,274,254,526,107,122,229,1123,1065,2189,374,361,736,202,185,389,207,264,473,781,812,1598,40,33,78,35,49,82,34,39,76,61,95,151,0,0,0,169,218,389,410,458,863,134,166,302,37,56,99,194,261,450,0,4,4,771,949,1724,17,23,46,54,62,118,0,0,4,75,92,162,614,748,1362,3726,4076,7802
POA4076,41,28,64,135,90,227,59,56,120,9,13,22,203,162,364,108,106,216,15,15,33,8,14,22,132,139,273,19,17,30,16,25,43,8,3,10,21,16,39,0,0,0,62,63,125,76,75,145,37,32,69,10,11,19,23,25,52,0,0,0,138,148,285,10,16,17,12,18,26,4,0,4,19,31,48,2869,645,3515,3464,1207,4674
POA4077,188,179,362,980,939,1915,219,238,451,89,103,192,1279,1273,2553,940,859,1794,104,119,219,72,103,169,1110,1080,2187,112,119,228,124,195,320,36,63,94,87,137,226,0,7,10,360,517,877,376,403,779,122,158,287,26,41,71,74,109,185,0,3,7,605,712,1321,67,86,162,70,104,175,5,4,18,150,198,349,1588,1717,3308,5279,5679,10957
POA4078,191,155,351,981,966,1952,160,156,322,140,142,280,1281,1265,2551,712,653,1363,122,126,251,231,179,409,1061,957,2019,45,65,112,29,73,102,33,42,74,65,134,199,0,0,4,169,324,492,314,369,682,70,113,189,33,46,75,111,187,297,0,5,6,534,716,1258,32,43,73,67,99,164,0,3,4,101,150,249,743,746,1486,4083,4314,8397
POA4101,71,71,142,463,376,841,67,71,141,23,45,68,551,488,1042,515,453,968,47,40,85,62,155,221,630,649,1274,71,67,139,92,110,207,32,21,46,59,86,151,0,0,0,257,288,544,765,945,1709,512,488,1008,80,73,151,219,298,518,3,7,11,1583,1811,3394,63,90,155,68,106,173,3,0,3,128,194,331,1154,1017,2174,4373,4516,8892
POA4102,29,27,57,123,122,241,40,39,76,10,9,15,169,161,336,112,103,221,25,30,51,9,20,26,143,152,297,30,25,57,33,39,67,7,10,20,26,35,61,0,0,0,91,112,202,350,376,729,218,216,426,22,29,45,59,82,143,0,3,6,648,702,1348,31,27,58,20,28,52,0,0,0,54,57,114,415,332,745,1553,1542,3092
POA4103,75,61,134,209,224,434,111,102,212,25,29,52,343,354,697,143,120,259,77,82,165,36,50,93,259,253,513,34,37,70,47,49,89,19,18,40,48,58,104,0,0,0,141,163,304,575,662,1242,321,271,591,47,56,105,135,201,337,3,4,3,1083,1197,2273,29,28,56,29,47,78,0,3,3,60,79,133,493,468,966,2451,2573,5019
POA4104,24,34,51,97,82,182,76,68,142,23,24,50,199,170,371,60,37,101,86,68,155,56,73,124,203,178,387,18,16,34,7,17,29,10,7,15,16,27,39,0,0,0,50,70,120,192,185,380,73,73,146,23,24,49,53,101,152,0,0,0,351,380,727,12,11,19,4,11,13,0,0,0,18,22,37,260,245,510,1098,1105,2200
POA4105,108,78,185,345,315,660,116,104,222,15,31,47,476,448,926,154,169,330,104,102,213,31,61,96,295,338,636,39,26,62,38,41,81,18,24,42,47,47,93,3,5,10,143,147,287,242,301,545,108,127,237,36,42,76,116,154,278,0,0,3,508,628,1140,29,32,59,29,46,67,0,0,0,53,74,126,404,389,793,1996,2093,4087
POA4106,14,10,20,32,20,52,12,10,23,0,0,0,51,31,82,27,16,51,11,4,16,6,0,3,46,23,68,0,3,4,4,15,15,6,0,7,7,11,16,0,0,0,16,32,48,32,25,52,22,15,29,0,4,5,7,18,23,0,0,0,61,55,116,7,9,10,3,8,13,0,0,0,7,15,21,84,59,137,279,223,505
POA4107,41,42,85,173,177,344,57,56,116,34,29,61,259,263,518,79,82,160,53,47,96,13,29,46,144,158,300,17,6,24,11,12,24,7,13,22,14,20,41,0,0,0,56,46,104,112,128,242,80,52,131,6,13,19,34,53,85,0,0,0,240,241,481,18,10,29,14,24,32,0,0,0,31,39,63,208,181,391,982,969,1950
POA4108,41,26,71,129,132,262,20,20,43,21,24,47,168,184,349,96,75,173,34,29,62,25,15,42,153,115,268,16,29,47,20,20,38,13,9,17,8,17,27,0,0,0,53,78,137,160,180,342,130,109,239,14,9,26,30,30,60,0,3,3,335,338,670,28,25,55,21,26,48,0,0,0,53,54,102,230,223,452,1035,1015,2052
POA4109,187,194,380,959,915,1876,147,143,286,93,73,165,1197,1132,2329,600,595,1191,214,188,399,175,186,358,982,964,1947,160,124,284,179,230,413,52,23,81,87,134,221,0,3,7,487,523,1007,1419,1442,2863,678,511,1191,54,76,132,147,194,335,6,5,13,2311,2220,4531,136,179,310,119,160,283,3,3,8,255,343,602,998,1076,2075,6412,6451,12866
POA4110,80,69,145,326,299,621,70,74,145,49,56,106,448,423,873,252,249,499,43,27,78,43,44,87,340,318,660,34,44,74,25,58,87,21,20,37,30,61,85,0,0,0,102,176,281,131,149,279,69,57,129,17,24,38,37,74,109,0,3,0,259,304,561,34,28,59,14,40,55,0,4,6,50,73,122,467,447,912,1740,1807,3549
POA4111,5,3,6,22,22,44,3,0,7,3,3,5,29,28,59,12,5,12,3,10,9,0,0,3,16,16,29,0,7,3,0,0,4,0,0,3,0,8,5,0,0,0,4,16,22,159,156,321,40,23,63,0,0,0,10,13,18,0,0,0,212,190,400,4,3,3,0,0,3,0,0,0,6,6,9,43,46,86,312,295,611
POA4112,75,58,130,258,294,555,42,50,89,113,113,226,412,453,870,171,206,378,53,49,100,83,101,181,304,353,656,21,25,42,11,24,35,11,5,17,13,31,49,0,0,0,60,80,144,183,197,376,37,51,90,17,15,28,29,48,72,3,3,7,260,310,577,23,18,42,18,29,42,0,3,3,39,49,84,172,152,322,1324,1452,2784
POA4113,179,188,364,849,852,1696,107,107,215,129,147,267,1084,1106,2183,520,481,1006,153,143,299,132,155,286,813,787,1596,121,71,196,144,165,304,41,23,65,77,127,203,0,3,9,380,388,772,843,813,1652,342,376,716,53,59,111,132,134,272,0,3,5,1378,1380,2763,163,149,308,81,107,189,3,4,4,247,259,511,720,645,1362,4798,4756,9546
POA4114,188,180,367,1109,1102,2212,118,103,222,137,135,270,1364,1349,2711,906,898,1803,71,48,122,131,112,247,1105,1065,2174,80,122,200,141,192,332,38,43,87,86,126,217,10,5,17,358,490,849,137,176,320,96,81,174,12,27,37,51,67,124,0,0,3,297,360,652,76,117,198,69,147,215,8,4,7,151,266,424,1445,1419,2862,4904,5124,10028
POA4115,157,123,276,710,633,1341,185,187,368,81,78,158,973,896,1861,385,388,769,183,188,371,87,92,181,653,668,1317,36,40,78,28,55,85,40,26,61,39,80,115,0,0,0,148,204,346,266,293,564,100,126,228,26,27,54,83,107,187,4,3,4,480,559,1040,31,32,59,32,43,71,0,0,0,61,70,134,384,356,739,2854,2868,5720
POA4116,213,190,401,864,844,1707,131,146,274,126,126,255,1115,1116,2238,590,549,1133,110,124,240,128,139,271,825,815,1646,68,72,137,69,110,174,36,29,69,55,113,165,3,3,3,230,322,549,559,603,1159,223,226,447,51,48,101,103,138,238,3,0,4,940,1015,1953,60,51,107,65,85,150,0,0,0,123,138,258,624,609,1231,4069,4202,8268
POA4117,14,14,24,71,48,113,4,12,15,15,11,25,83,68,155,36,25,63,3,0,7,5,4,13,47,33,78,0,4,3,0,0,3,0,0,0,0,9,9,0,0,0,11,11,18,6,9,19,3,3,5,0,0,3,4,3,4,0,0,0,13,18,34,0,3,3,3,7,10,0,0,0,3,7,12,39,44,89,207,204,413
POA4118,187,196,388,1185,1097,2281,215,206,422,143,129,277,1544,1435,2977,808,803,1612,175,154,337,130,115,245,1116,1079,2196,62,67,133,37,73,111,70,61,133,64,138,197,0,3,3,232,345,579,224,307,533,56,113,168,31,38,68,65,119,185,3,8,11,379,580,959,25,42,67,33,132,168,0,3,9,64,171,237,898,889,1787,4420,4695,9122
