POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4000,6,22,29,11,16,25,38,27,11,195,0,26,29,14,4,3,6,0,0,94,92,241,572,264,228,171,88,37,14,1714,809,2861,5586,2136,1625,1349,718,264,72,15423
POA4005,0,0,6,10,18,36,80,99,60,309,0,0,4,3,10,9,14,12,8,69,41,158,634,412,323,281,260,161,192,2453,278,1362,5112,2983,2268,1943,1316,620,385,16269
POA4006,0,3,15,11,19,19,33,19,23,146,0,4,12,3,10,7,0,9,3,57,56,292,725,387,242,175,131,51,20,2080,383,2245,5478,2289,1282,1021,631,239,111,13683
POA4007,0,3,3,11,13,13,56,47,25,169,0,0,0,3,3,3,3,0,0,14,39,98,251,160,201,159,105,61,58,1121,346,998,2363,1781,1951,1553,1045,507,213,10761
POA4008,0,0,0,0,0,0,14,5,0,22,0,0,0,0,0,0,0,0,0,0,0,19,44,15,15,11,4,3,0,122,6,26,83,42,70,50,34,8,7,329
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,3,3,0,13,11,12,46,0,0,0,0,0,0,0,0,0,6,0,23,86,38,16,16,3,4,8,193,63,239,714,339,245,193,109,76,61,2022
POA4011,0,0,4,11,21,31,74,71,47,261,0,0,7,3,5,11,3,5,4,43,34,57,168,144,155,132,89,37,49,871,417,1057,2641,2234,2207,1686,1135,539,269,12181
POA4012,0,3,14,25,38,60,140,145,124,549,0,0,7,9,3,7,10,10,6,69,38,119,285,188,157,140,105,104,130,1266,497,1696,4699,3567,2752,2155,1222,686,459,17730
POA4013,0,3,8,5,16,26,41,30,19,142,0,3,8,3,0,3,0,0,0,21,3,20,71,46,41,33,21,12,4,255,116,353,1009,710,609,464,281,113,46,3697
POA4014,3,3,8,16,31,35,151,126,78,446,0,0,8,11,11,14,3,3,0,54,26,46,102,117,104,104,68,77,143,789,335,722,1797,2054,1525,1277,802,482,336,9332
POA4017,8,8,24,61,90,158,566,407,225,1546,0,0,10,20,20,23,12,21,4,121,104,106,189,254,322,228,245,306,229,1975,1152,1914,4155,5510,5569,4462,3295,1715,803,28583
