POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA4000,18,179,510,157,97,102,50,12,5,1142,0,72,408,164,92,75,32,10,0,855,3,36,366,166,92,71,22,3,0,770,3,10,251,139,113,65,20,3,0,604,0,22,354,280,228,121,52,12,3,1072,4,7,135,220,248,186,63,20,4,887,95,265,600,275,235,171,87,35,19,1783,1010,2872,5596,2141,1623,1351,718,264,72,15650
POA4005,4,141,648,250,162,157,90,24,9,1482,3,91,614,208,138,124,54,8,0,1254,0,31,536,265,184,131,63,15,4,1218,0,23,370,217,141,95,30,10,4,885,0,13,600,439,312,175,67,23,9,1640,0,3,236,497,417,307,91,23,6,1573,54,171,670,431,325,292,259,161,186,2547,423,1367,5113,2984,2268,1945,1316,620,385,16415
POA4006,7,214,672,205,84,69,38,7,7,1300,3,109,555,170,67,51,18,8,3,981,3,47,503,191,82,59,26,5,3,917,3,15,274,153,82,49,17,8,0,594,0,9,427,259,149,94,35,10,0,983,0,4,103,185,136,115,53,17,3,616,63,291,758,390,248,175,133,46,15,2127,467,2250,5487,2296,1284,1021,633,239,111,13781
POA4007,8,111,338,187,167,138,78,33,4,1057,0,37,247,131,131,100,49,19,9,723,0,26,198,155,147,116,51,18,7,725,0,11,156,109,123,65,40,13,10,540,0,11,227,226,246,152,64,23,15,960,0,7,100,266,398,252,121,44,12,1192,51,97,265,169,217,154,107,70,58,1184,701,1000,2369,1785,1951,1553,1045,507,213,11117
POA4008,0,0,11,5,9,3,0,0,0,30,0,0,4,4,3,6,0,0,0,11,0,0,0,0,5,4,0,0,0,10,0,0,0,0,6,0,0,0,0,9,0,0,3,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,19,44,15,14,14,3,0,0,114,18,26,83,42,70,50,34,8,7,340
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,25,102,31,15,19,12,0,3,213,0,10,77,19,19,12,4,6,3,138,0,3,67,32,25,8,4,4,0,142,0,3,42,25,13,5,3,4,0,93,0,3,67,56,32,15,0,0,3,177,0,0,20,36,27,17,3,0,0,101,5,23,90,42,23,13,7,4,13,222,88,239,710,335,245,193,109,76,61,2050
POA4011,8,108,351,191,179,150,80,48,21,1130,0,38,332,183,156,121,59,16,4,912,4,19,251,214,190,126,34,19,4,864,0,11,131,143,126,87,38,13,4,548,0,5,199,280,279,174,49,8,10,1002,3,3,94,337,365,214,64,21,11,1115,65,85,185,168,177,130,101,38,35,997,884,1057,2639,2234,2207,1685,1135,539,269,12651
POA4012,0,171,668,363,314,242,58,21,11,1852,0,87,551,328,256,179,36,5,9,1451,0,35,458,391,249,125,33,3,3,1311,0,12,294,267,171,107,15,3,0,867,0,12,389,516,341,174,23,10,7,1464,0,3,126,284,206,99,29,12,3,763,65,136,303,212,165,135,98,90,111,1315,957,1700,4702,3567,2752,2163,1226,685,459,18205
POA4013,0,35,150,67,55,48,21,3,3,368,0,13,104,57,42,44,6,0,0,268,0,4,94,70,63,30,10,0,0,273,0,0,50,35,38,9,3,0,0,136,0,7,76,102,67,29,3,0,0,287,0,0,38,58,36,27,0,0,0,161,9,20,73,47,45,32,26,13,13,288,224,353,1008,716,610,459,281,113,46,3815
POA4014,3,71,232,227,198,136,43,9,3,919,0,21,194,199,145,95,25,7,0,694,0,3,177,220,159,103,13,0,0,679,0,0,103,170,101,60,7,0,0,443,0,7,162,239,145,81,13,0,0,645,0,3,35,99,54,32,6,4,0,230,39,51,122,123,101,98,66,71,146,805,627,722,1800,2054,1525,1278,805,482,337,9633
POA4017,9,172,581,699,660,488,174,37,11,2825,0,67,470,522,522,339,82,10,0,2012,0,18,355,526,477,273,42,4,5,1699,0,6,192,345,347,173,20,7,0,1089,0,5,222,547,529,227,34,17,3,1581,0,0,53,244,271,112,26,11,0,720,167,127,215,295,347,250,251,230,152,2037,2271,1914,4160,5517,5569,4469,3297,1715,803,29706
