POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA4000,27,16,72,4437,3239,787,533,4887,1770,15650
POA4005,87,202,385,5388,4396,1099,627,2418,2490,16415
POA4006,47,27,111,4462,3252,720,374,2858,2115,13781
POA4007,57,65,213,3253,2939,1080,664,1992,1188,11117
POA4008,7,0,7,61,63,21,21,56,123,340
POA4009,0,0,0,0,0,0,0,0,0,0
POA4010,14,18,61,731,565,157,72,318,211,2050
POA4011,85,53,269,3561,3641,1355,859,2282,945,12651
POA4012,148,121,459,5147,5472,1824,1242,3237,1283,18205
POA4013,23,4,46,1058,1116,404,266,707,264,3815
POA4014,111,143,337,2236,2880,1134,761,1842,786,9633
POA4017,444,108,803,6890,8667,3717,2732,5806,1897,29706
POA4018,211,47,361,2391,2726,1018,757,2421,622,9935
POA4019,206,129,498,3689,4619,1945,1534,3585,1353,16719
POA4020,292,196,733,4137,5030,2361,1617,3927,1846,18911
POA4021,95,125,310,1600,2008,891,790,1842,771,7903
POA4022,258,76,394,1172,1420,645,543,1490,494,5765
POA4025,0,0,0,75,54,24,18,88,88,345
POA4029,0,3,9,3,3,0,0,5,57,71
POA4030,113,49,240,4271,4158,1290,758,2474,1017,13967
POA4031,106,39,263,3137,3447,1139,710,1793,786,11021
POA4032,205,333,743,3355,3612,1343,1001,2783,1344,13444
POA4034,610,225,1364,8855,10289,4495,3120,7527,2396,36675
POA4035,173,113,468,4926,5928,2722,1803,3110,913,19405
POA4036,53,17,102,1246,1544,647,465,1003,261,5156
POA4037,11,3,28,1553,1970,825,559,885,256,6041
POA4051,145,94,433,6750,6675,2445,1532,3533,1474,22414
POA4053,421,104,922,9271,10986,4367,3027,6013,1909,35564
POA4054,127,50,304,2687,3373,1471,1024,1727,510,10795
POA4055,131,62,283,3976,5059,2332,1587,2290,628,15867
POA4059,62,46,153,3623,3018,873,527,2600,1017,11660
POA4060,66,26,176,2874,3208,1251,842,1426,574,10174
POA4061,95,61,279,3254,4217,2028,1235,1766,630,13136
POA4064,49,10,107,3144,2714,809,502,1409,663,9243
POA4065,82,27,165,2087,2403,968,592,919,395,7367
POA4066,51,21,136,4755,4263,1188,677,2667,1226,14774
POA4067,30,15,126,2840,2222,719,437,2419,720,9360
POA4068,117,87,451,6195,5858,2088,1270,3584,1202,20193
POA4069,249,262,825,6756,8355,4019,2664,3554,1448,26789
POA4070,49,17,115,2230,2895,1259,870,1336,362,8956
POA4072,0,0,0,766,122,8,3,1195,47,2147
POA4073,50,192,272,1783,2168,975,601,1088,551,7165
POA4074,115,73,312,5020,5950,2564,1682,3066,834,19118
POA4075,173,166,574,4800,5658,2351,1532,2843,1323,18506
POA4076,31,21,70,968,944,360,314,1109,3454,7158
POA4077,211,109,527,4610,4927,2098,1944,7333,2874,23780
POA4078,56,80,214,4820,5438,2312,1687,4454,1280,19994
POA4101,123,41,260,6278,5485,1515,830,4015,2118,20241
POA4102,53,9,82,2024,1723,467,331,1538,734,6805
POA4103,86,15,168,3927,3672,1071,600,2291,967,12524
POA4104,96,30,208,1600,1686,539,329,959,504,5627
POA4105,72,28,197,2904,3445,1218,798,1889,790,11052
POA4106,46,0,62,320,323,118,80,375,129,1338
POA4107,122,22,190,1241,1469,566,394,1070,364,5101
POA4108,33,11,82,1158,1170,481,336,1528,439,5118
POA4109,414,160,857,7150,6976,3178,2544,10207,2019,32068
POA4110,64,47,148,1887,2045,894,674,2316,819,8639
POA4111,3,0,9,355,210,89,65,245,93,1056
POA4112,21,5,45,1489,1575,716,616,1492,261,6152
POA4113,244,33,399,5768,5800,2542,2040,7145,1305,24612
POA4114,142,80,295,4036,4439,1919,1995,7182,2550,22122
POA4115,212,32,301,3675,4103,1763,1300,3631,672,15142
POA4116,142,16,209,4870,4973,2316,1770,5426,1062,20417
POA4117,4,0,3,208,281,105,84,258,71,1007
POA4118,179,19,261,5530,6126,2614,2125,5528,1557,23481
POA4119,11,0,26,1181,1309,544,408,1132,294,4868
POA4120,61,25,130,2371,2334,676,396,1405,565,7746
POA4121,271,74,599,5366,6194,2499,1619,3094,1149,19924
POA4122,533,156,1053,8929,9833,4169,2996,7622,2301,35842
