POA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA4000,0,7,0,12,439,45,494,5,17,0,19,1280,135,1437,118,32,0,148,2485,321,2956,242,19,4,264,816,162,1246,137,16,6,157,631,159,938,29,38,0,66,575,91,734,3,39,0,43,305,61,409,0,16,0,16,102,25,143,0,0,0,0,25,8,35,531,196,9,730,6654,1004,8393,0,20,0,20,444,47,511,4,28,0,39,1280,119,1433,184,57,4,242,2131,266,2641,238,29,13,272,528,92,899,113,24,0,141,470,74,687,12,87,3,98,446,69,614,3,64,0,63,224,27,310,0,9,0,9,96,17,119,0,0,0,3,28,9,42,554,319,22,897,5642,716,7256,0,25,0,28,889,94,1010,16,49,0,59,2555,254,2872,296,89,4,393,4616,583,5596,473,45,12,534,1347,261,2141,245,46,7,299,1093,230,1623,35,127,3,172,1018,162,1351,8,100,0,111,522,83,718,0,25,0,25,195,41,264,0,0,0,0
POA4005,0,12,0,12,168,19,194,0,12,0,12,520,72,608,138,52,0,193,1987,317,2491,353,23,5,377,940,236,1556,231,23,8,256,735,174,1169,43,48,0,91,750,153,991,11,73,0,87,437,126,647,0,15,0,13,212,68,294,0,0,0,0,62,31,94,771,250,16,1036,5808,1198,8039,0,19,0,19,176,30,227,3,28,0,37,636,93,757,206,113,8,326,1957,338,2624,375,82,19,474,773,180,1425,209,49,6,260,694,140,1096,22,141,0,164,675,127,959,0,142,0,143,400,123,670,3,27,0,23,211,90,326,0,0,0,3,132,155,293,818,592,40,1446,5660,1273,8372,0,30,0,30,348,48,423,3,40,0,47,1149,164,1367,345,162,16,516,3941,655,5113,725,101,22,852,1717,415,2984,440,66,10,519,1434,312,2268,62,189,3,250,1425,272,1945,7,211,0,228,839,250,1316,3,37,0,37,424,157,620,0,0,0,3
POA4006,0,3,0,6,176,20,207,4,16,0,25,861,146,1027,121,59,3,184,2342,417,2939,224,31,0,259,851,231,1344,101,3,0,107,504,151,766,12,31,0,47,400,104,550,3,35,0,42,214,70,322,0,6,0,9,87,27,126,0,0,0,0,15,10,26,481,187,11,670,5454,1174,7299,0,11,0,12,222,34,263,6,41,0,48,1027,153,1220,187,79,8,269,1949,325,2548,208,42,0,251,549,151,952,62,29,4,96,339,82,513,8,55,0,67,333,76,474,3,69,0,72,182,57,310,0,5,0,5,87,25,115,0,0,0,3,63,13,82,475,332,16,822,4751,908,6487,0,10,0,15,401,53,467,17,55,0,71,1890,294,2250,306,141,8,455,4292,735,5487,436,68,4,511,1403,384,2296,161,38,3,205,837,239,1284,26,81,4,107,731,180,1021,7,106,0,116,389,124,633,0,16,0,14,181,48,239,0,3,0,0
POA4007,0,15,0,15,262,24,298,0,4,0,8,409,49,468,125,19,0,142,895,131,1165,320,13,6,346,459,81,880,289,17,4,310,553,104,961,55,41,3,92,600,84,780,14,69,0,85,394,50,527,0,20,0,20,177,32,227,0,0,0,0,52,16,72,803,199,10,1015,3801,566,5385,0,32,0,34,336,27,399,9,28,0,36,453,42,531,183,58,5,251,820,133,1201,392,45,14,449,366,87,899,267,40,17,332,561,104,990,23,119,3,139,567,70,778,3,136,3,144,311,50,512,4,34,0,34,210,39,281,0,0,0,3,89,48,137,892,493,43,1427,3708,599,5737,0,45,0,50,599,53,701,8,31,0,40,858,92,1000,307,77,5,395,1719,259,2369,715,57,18,798,818,167,1785,556,56,23,634,1105,209,1951,72,156,3,233,1170,151,1553,24,210,3,234,708,101,1045,3,56,0,63,384,71,507,0,0,0,3
POA4008,0,0,0,0,3,0,6,0,0,0,0,3,15,18,5,0,0,5,11,39,58,4,0,0,6,5,17,30,4,0,0,6,27,16,47,0,0,0,0,21,4,31,0,0,0,0,20,4,20,0,0,0,0,6,0,6,0,0,0,0,0,0,0,18,3,0,20,102,89,209,0,0,0,0,10,0,10,0,0,0,0,0,6,11,5,3,0,10,14,7,24,6,0,0,3,7,3,17,3,0,0,8,11,3,23,0,0,0,0,14,3,24,0,0,0,0,16,3,14,0,0,0,0,4,0,3,0,0,0,0,7,0,7,12,10,0,25,80,25,131,0,0,0,0,16,0,18,4,0,0,4,8,19,26,10,4,0,14,27,44,83,9,3,0,11,17,15,42,8,3,0,10,39,15,70,0,0,0,0,35,14,50,0,0,0,0,27,7,34,0,0,0,0,8,0,8,0,0,0,0
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,0,0,0,41,0,44,0,7,0,4,92,8,101,37,9,0,43,268,43,348,64,3,0,75,90,18,179,30,0,0,32,78,12,118,0,10,0,10,76,7,89,0,3,0,3,48,0,56,0,0,0,0,24,3,24,0,0,0,0,12,4,10,132,31,5,166,716,90,980,0,0,0,0,40,0,42,0,6,0,9,115,19,132,42,16,0,59,262,47,362,54,4,4,65,65,19,156,34,6,0,40,77,9,127,3,7,0,12,84,10,97,0,6,0,6,41,3,53,0,0,0,3,38,5,45,0,0,0,0,41,14,47,136,58,6,194,762,118,1074,0,3,0,3,84,0,88,3,12,0,12,201,26,239,79,21,3,101,528,83,710,125,13,8,143,156,39,335,60,6,3,73,156,12,245,3,13,0,21,159,13,193,0,13,0,13,93,3,109,0,0,0,3,60,8,76,0,0,0,0
POA4011,0,11,0,11,346,26,387,4,19,0,20,431,26,486,190,31,3,220,983,89,1294,459,25,11,496,512,81,1095,347,16,7,372,636,86,1086,84,35,6,118,639,60,813,11,79,0,89,406,39,543,0,30,0,30,193,24,246,0,0,0,0,68,19,92,1089,242,28,1360,4225,458,6036,0,44,0,44,417,34,492,12,32,0,43,501,31,579,268,55,4,323,933,85,1346,601,50,33,683,390,68,1142,370,56,14,437,605,76,1112,42,109,0,144,665,62,868,6,143,3,153,396,42,594,3,37,0,41,231,18,291,0,3,0,3,149,23,173,1294,529,60,1880,4287,442,6608,0,57,0,57,771,63,884,19,44,0,70,935,59,1057,458,83,4,546,1922,177,2639,1055,77,45,1181,905,152,2234,713,71,21,809,1239,156,2207,120,137,3,264,1300,120,1685,11,225,3,241,806,84,1135,3,70,0,73,424,41,539,0,3,0,4
POA4012,3,25,0,28,410,31,472,15,25,0,36,727,57,824,366,50,3,419,1721,154,2295,825,27,13,862,814,106,1787,424,25,11,461,807,88,1361,68,57,4,134,862,61,1052,13,74,0,84,458,48,588,3,11,0,8,233,36,278,0,3,0,3,111,25,146,1711,279,38,2031,6153,621,8805,3,30,0,32,421,30,487,31,30,5,66,746,65,874,572,93,19,681,1574,147,2408,931,56,39,1028,675,83,1779,384,57,18,464,866,66,1392,37,171,4,208,835,57,1109,5,141,0,142,445,44,631,0,19,0,20,328,57,401,0,3,0,3,216,92,312,1971,601,83,2654,6112,636,9402,4,56,0,63,839,61,957,45,53,5,105,1477,121,1700,940,145,19,1102,3303,297,4702,1755,80,55,1890,1493,191,3567,811,90,32,923,1674,152,2752,104,228,9,345,1694,122,2163,13,210,0,230,904,93,1226,3,32,0,29,561,94,685,0,3,0,3
POA4013,0,7,0,7,97,4,106,7,5,0,13,147,13,167,83,21,0,106,365,36,505,148,7,0,153,202,23,379,90,8,0,99,176,24,291,16,15,0,29,180,16,230,0,19,0,27,109,17,148,0,3,0,3,44,4,49,0,0,0,0,16,0,18,351,83,5,442,1325,130,1895,0,8,0,14,106,3,118,12,12,0,22,150,12,184,126,36,5,168,305,31,498,169,5,10,184,129,23,336,98,4,4,110,181,22,315,0,34,0,34,186,15,237,0,30,0,27,99,11,137,0,5,0,8,48,9,59,0,0,0,0,25,3,33,412,134,16,565,1224,126,1922,0,18,0,23,201,3,224,17,18,0,38,296,27,353,215,55,3,272,669,66,1008,315,15,8,336,330,41,716,190,12,9,208,354,42,610,22,49,0,69,365,29,459,3,47,0,50,206,25,281,0,6,0,7,91,14,113,0,0,0,0
