POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA4000,53,15,72,1086,511,24,1628,12299,1724,15650
POA4005,192,189,385,1588,841,53,2478,11467,2468,16415
POA4006,82,19,111,951,518,22,1494,10208,2082,13781
POA4007,144,63,213,1693,695,52,2443,7507,1164,11117
POA4008,7,0,7,31,10,0,41,180,118,340
POA4009,0,0,0,0,0,0,0,0,0,0
POA4010,45,11,61,263,85,11,360,1484,206,2050
POA4011,216,49,269,2381,771,87,3238,8510,901,12651
POA4012,331,120,459,3682,886,116,4687,12262,1260,18205
POA4013,43,8,46,757,216,28,1004,2550,256,3815
POA4014,194,141,337,2157,650,81,2886,5999,749,9633
POA4017,704,89,803,6551,2304,300,9152,18765,1795,29706
POA4018,314,44,361,2107,590,55,2751,6582,602,9935
POA4019,376,115,498,2968,1306,156,4425,11045,1249,16719
POA4020,542,184,733,2782,1639,139,4563,12588,1764,18911
POA4021,185,122,310,1458,667,72,2201,5002,705,7903
POA4022,324,73,394,1085,425,64,1581,3734,454,5765
POA4025,0,0,0,18,10,0,28,230,91,345
POA4029,0,5,9,0,0,0,0,14,61,71
POA4030,189,46,240,2527,671,88,3287,9686,985,13967
POA4031,233,30,263,2484,609,86,3184,7080,758,11021
POA4032,415,327,743,2289,792,77,3148,9027,1269,13444
POA4034,1143,199,1364,7272,2748,237,10254,24204,2216,36675
POA4035,358,100,468,4493,1690,172,6354,12180,871,19405
POA4036,87,13,102,1217,398,56,1672,3225,260,5156
POA4037,22,0,28,1753,422,82,2253,3546,240,6041
POA4051,333,93,433,4834,1240,175,6240,14741,1434,22414
POA4053,816,86,922,7972,2654,335,10962,22768,1836,35564
POA4054,261,42,304,2505,897,109,3519,6771,505,10795
POA4055,218,62,283,4308,1448,209,5964,9287,615,15867
POA4059,106,46,153,1745,470,64,2286,8370,1002,11660
POA4060,152,19,176,2512,645,120,3286,6309,574,10174
POA4061,224,48,279,3302,1188,142,4627,7897,614,13136
POA4064,94,9,107,1545,517,63,2126,6459,655,9243
POA4065,147,18,165,1939,455,85,2473,4514,378,7367
POA4066,120,19,136,1929,722,56,2701,10862,1213,14774
POA4067,101,16,126,1070,464,26,1559,7073,724,9360
POA4068,367,77,451,3407,1157,96,4654,14356,1181,20193
POA4069,556,261,825,6334,2163,249,8740,16611,1440,26789
POA4070,96,14,115,2374,678,94,3148,5428,377,8956
POA4072,0,0,0,4,69,0,73,2024,43,2147
POA4073,80,188,272,1882,516,71,2467,4148,548,7165
POA4074,242,62,312,4406,1692,175,6274,12030,817,19118
POA4075,404,162,574,4390,1315,193,5898,11294,1315,18506
POA4076,56,21,70,794,207,27,1024,2691,3443,7158
POA4077,418,105,527,4670,1418,125,6213,14849,2727,23780
POA4078,132,86,214,4843,1443,185,6469,12277,1246,19994
POA4101,223,36,260,2607,932,90,3630,14542,2071,20241
POA4102,74,6,82,854,275,51,1183,4901,725,6805
POA4103,156,14,168,1824,547,74,2453,9142,939,12524
POA4104,184,24,208,934,327,27,1287,3854,488,5627
POA4105,176,23,197,2264,631,77,2970,7318,769,11052
POA4106,58,0,62,227,62,14,300,914,131,1338
POA4107,170,15,190,1131,275,42,1457,3309,339,5101
POA4108,66,11,82,835,271,22,1128,3552,434,5118
POA4109,697,142,857,5421,2122,129,7671,22471,1929,32068
POA4110,105,44,148,1749,581,70,2406,5445,784,8639
POA4111,5,0,9,120,60,13,199,777,84,1056
POA4112,42,5,45,1569,437,50,2060,3829,263,6152
POA4113,356,32,399,5208,1453,133,6800,16554,1256,24612
POA4114,207,85,295,4141,1486,164,5785,14001,2336,22122
POA4115,265,36,301,3787,1212,103,5111,9385,646,15142
POA4116,202,10,209,5108,1289,108,6505,12863,1051,20417
POA4117,3,0,3,314,80,14,405,532,71,1007
POA4118,247,14,261,5606,1887,233,7724,14267,1492,23481
POA4119,20,0,26,1307,364,38,1707,2885,273,4868
POA4120,108,21,130,1303,380,46,1738,5471,545,7746
POA4121,537,57,599,4901,1252,197,6347,12475,1103,19924
POA4122,904,143,1053,7403,2479,241,10122,23540,2183,35842
POA4123,184,21,213,3549,1235,145,4928,8877,763,14566
POA4124,234,27,264,3799,1204,151,5153,9001,869,15024
POA4125,105,32,135,1009,479,58,1548,3959,475,5976
POA4127,323,26,357,4333,1799,205,6340,13065,1432,20837
POA4128,82,9,101,2935,1184,141,4254,8184,837,13274
POA4129,24,7,26,1276,416,58,1749,2813,265,4831
POA4130,97,12,104,1437,649,55,2143,4369,368,6880
POA4131,44,10,52,1695,650,69,2416,4763,906,8082
POA4132,83,23,111,4568,1379,214,6154,10493,2048,18696
POA4133,242,41,279,3071,1027,124,4229,8387,1226,13839
POA4151,298,43,340,2545,823,83,3450,9356,940,13743
POA4152,916,131,1056,7941,2575,279,10795,23673,1952,36419
POA4153,32,12,40,835,274,36,1148,2202,135,3482
POA4154,42,6,47,2732,557,97,3388,4099,363,7852
POA4155,20,3,25,241,105,4,348,733,81,1167
POA4156,19,0,16,621,231,28,878,1484,104,2465
POA4157,252,37,288,3240,1406,133,4779,9988,723,15490
POA4158,34,13,49,647,240,27,919,1956,201,3077
