POA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA4000,..,22,421,365,255,293,167,69,16,1613,..,121,459,145,94,46,20,3,0,888,..,4,0,7,23,21,5,0,0,64,354,..,..,..,..,..,..,..,..,354,..,128,..,..,..,..,..,..,..,128,..,54,55,18,7,6,0,0,0,135,..,120,66,6,14,3,0,0,0,208,..,109,120,9,4,5,0,0,0,255,..,710,912,129,54,21,14,4,0,1841,..,137,401,247,206,146,91,33,6,1272,7,62,58,16,26,13,10,0,0,189,364,1466,2491,958,680,557,302,114,24,6949,..,42,535,329,273,287,137,39,5,1641,..,189,431,95,62,42,11,0,0,817,..,3,20,50,71,31,10,8,7,203,431,..,..,..,..,..,..,..,..,431,..,127,..,..,..,..,..,..,..,127,..,41,36,4,4,0,0,0,0,90,..,112,72,8,3,7,5,8,3,232,..,126,129,18,3,0,0,0,0,276
POA4005,..,12,360,476,378,386,276,122,25,2039,..,111,675,262,156,95,29,4,0,1339,..,0,4,14,17,16,7,4,5,68,635,..,..,..,..,..,..,..,..,635,..,160,..,..,..,..,..,..,..,160,..,56,51,21,23,3,0,0,0,159,..,43,45,6,6,11,3,3,3,113,..,19,57,7,3,4,0,0,0,102,..,220,534,129,74,37,12,7,3,1015,..,49,299,304,237,209,151,70,17,1339,17,36,83,40,22,12,8,8,0,232,653,713,2106,1263,923,777,494,216,59,7193,..,28,464,465,388,399,239,82,11,2062,..,149,653,207,110,59,16,4,0,1199,..,0,16,64,91,48,21,13,18,276,626,..,..,..,..,..,..,..,..,626,..,170,..,..,..,..,..,..,..,170,..,73,49,10,12,8,3,0,0,154,..,50,60,14,12,10,11,8,9,168,..,33,44,6,3,0,0,0,0,86
POA4006,..,16,389,333,141,182,130,58,14,1260,..,184,672,190,88,37,10,4,0,1183,..,0,8,7,19,9,0,0,3,39,328,..,..,..,..,..,..,..,..,328,..,76,..,..,..,..,..,..,..,76,..,42,26,9,6,6,0,0,0,86,..,72,61,11,4,4,3,0,0,155,..,56,81,13,5,0,0,0,0,163,..,402,624,131,49,25,8,9,0,1241,..,134,495,326,254,144,79,30,3,1465,3,37,71,34,14,16,5,0,0,177,334,1020,2429,1049,583,412,236,97,21,6181,..,34,488,276,139,171,120,35,6,1270,..,279,579,123,43,16,8,0,0,1050,..,3,23,47,44,25,11,4,8,162,309,..,..,..,..,..,..,..,..,309,..,84,..,..,..,..,..,..,..,84,..,36,19,11,3,12,0,0,0,78,..,75,42,10,11,5,6,3,3,157,..,63,63,13,3,0,0,0,0,139
POA4007,..,9,233,376,484,400,304,131,31,1967,..,69,292,124,79,47,18,10,0,638,..,3,3,9,28,16,3,0,0,61,743,..,..,..,..,..,..,..,..,743,..,272,..,..,..,..,..,..,..,272,..,88,67,28,12,10,0,0,0,210,..,37,29,10,3,13,4,3,0,97,..,21,27,6,9,4,0,0,0,69,..,103,163,51,48,18,12,3,3,396,..,55,166,154,150,149,105,45,19,843,7,29,27,21,10,15,9,3,0,133,753,681,1008,783,821,665,460,200,56,5432,..,17,324,429,511,391,246,90,19,2031,..,113,267,104,65,38,10,0,0,603,..,6,27,72,90,39,16,15,11,271,742,..,..,..,..,..,..,..,..,742,..,308,..,..,..,..,..,..,..,308,..,102,49,20,3,4,3,0,0,178,..,45,34,3,12,18,11,15,8,141,..,25,23,0,4,5,0,0,0,58
POA4008,..,0,8,4,4,8,4,5,0,28,..,0,3,3,6,0,3,0,0,15,..,0,0,0,3,0,0,0,0,3,15,..,..,..,..,..,..,..,..,15,..,0,..,..,..,..,..,..,..,0,..,3,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,3,0,9,3,0,0,0,24,..,0,3,0,5,7,4,0,0,23,0,3,0,0,0,0,0,0,0,8,16,8,18,14,31,20,21,3,0,133,..,0,7,3,4,6,8,4,0,30,..,0,9,4,3,3,0,0,0,22,..,0,0,0,3,0,0,0,0,7,11,..,..,..,..,..,..,..,..,11,..,14,..,..,..,..,..,..,..,14,..,3,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
POA4009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
POA4010,..,0,70,73,41,34,15,11,4,255,..,14,86,38,12,12,0,0,0,165,..,0,0,0,6,0,0,0,0,11,120,..,..,..,..,..,..,..,..,120,..,26,..,..,..,..,..,..,..,26,..,22,4,0,4,0,0,0,0,33,..,11,10,0,0,0,3,0,0,26,..,8,18,0,0,0,0,0,0,26,..,40,61,20,8,11,4,0,0,145,..,11,43,31,20,23,20,15,6,166,0,7,7,5,0,3,3,0,0,26,120,139,301,169,101,87,56,29,11,1008,..,5,83,66,51,30,10,11,3,263,..,28,96,12,16,12,0,0,0,164,..,0,3,13,20,6,0,0,0,41,108,..,..,..,..,..,..,..,..,108,..,35,..,..,..,..,..,..,..,35,..,9,0,3,0,0,0,0,0,14,..,3,8,0,0,0,3,0,3,23,..,8,16,0,3,0,0,0,0,24
POA4011,..,0,354,535,562,414,288,137,38,2341,..,51,265,146,99,71,34,3,0,672,..,0,3,17,35,32,9,0,8,105,1185,..,..,..,..,..,..,..,..,1185,..,373,..,..,..,..,..,..,..,373,..,158,85,44,25,12,3,0,0,323,..,51,37,16,13,11,9,5,3,149,..,24,41,14,5,4,4,0,0,92,..,91,204,57,55,32,18,6,3,460,..,32,153,132,153,140,116,61,22,795,11,29,40,14,13,4,4,0,3,120,1195,818,1174,973,958,717,478,217,79,6606,..,22,455,601,600,386,240,91,22,2415,..,91,279,127,90,50,25,3,0,660,..,3,26,86,147,74,27,17,13,397,1128,..,..,..,..,..,..,..,..,1128,..,400,..,..,..,..,..,..,..,400,..,140,74,8,13,10,0,0,0,253,..,65,40,10,12,15,18,14,6,190,..,37,40,5,3,5,3,0,0,90
POA4012,..,23,652,954,679,497,289,130,61,3281,..,168,551,255,116,89,28,3,0,1204,..,0,6,44,49,28,10,3,17,162,1793,..,..,..,..,..,..,..,..,1793,..,382,..,..,..,..,..,..,..,382,..,219,130,44,49,33,3,0,0,483,..,108,88,27,22,14,14,7,3,278,..,58,70,20,10,3,3,3,0,163,..,161,327,80,49,45,16,3,0,693,..,51,228,203,235,248,169,90,35,1256,23,36,61,29,34,22,11,4,3,215,1814,1205,2104,1655,1243,975,539,247,119,9910,..,47,857,943,664,462,224,109,39,3342,..,208,558,223,131,68,19,0,0,1205,..,18,59,186,178,96,45,43,44,670,1662,..,..,..,..,..,..,..,..,1662,..,394,..,..,..,..,..,..,..,394,..,170,96,31,36,27,5,0,0,362,..,87,80,10,35,41,36,19,14,328,..,78,58,6,11,11,0,0,0,157
POA4013,..,6,138,174,132,109,62,20,12,661,..,31,111,53,30,21,4,3,0,250,..,0,0,3,7,4,5,0,3,31,358,..,..,..,..,..,..,..,..,358,..,84,..,..,..,..,..,..,..,84,..,50,34,10,10,10,0,0,0,106,..,14,19,3,8,3,8,3,0,60,..,12,18,9,4,5,0,0,0,46,..,44,86,36,15,11,11,3,0,201,..,11,42,53,59,36,42,18,5,265,3,15,19,12,3,3,6,0,0,60,359,268,465,352,269,202,130,53,18,2120,..,12,178,177,141,94,48,17,8,672,..,43,100,43,38,19,3,3,0,245,..,3,16,30,51,20,9,6,6,143,359,..,..,..,..,..,..,..,..,359,..,83,..,..,..,..,..,..,..,83,..,44,31,8,0,7,0,0,0,92,..,18,17,0,7,5,5,8,3,65,..,12,17,0,0,0,3,0,0,36
