POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA4000,..,724,738,83,27,21,10,4,0,1604,..,116,257,147,122,108,104,48,17,921,9,63,51,13,11,13,4,3,0,167,435,1541,2274,747,573,507,282,104,34,6497,..,63,952,693,533,578,299,106,19,3249,..,308,896,239,150,90,30,3,0,1708,..,8,24,65,96,57,14,6,7,268,786,..,..,..,..,..,..,..,..,786,..,258,..,..,..,..,..,..,..,258,..,90,90,28,9,3,0,0,0,223,..,233,138,17,18,14,10,8,3,434,..,239,250,29,7,7,0,0,0,524,..,1427,1651,215,80,41,29,10,0,3450,..,257,654,394,327,258,193,78,29,2190,11,122,106,28,36,31,17,7,0,356,793,3009,4762,1705,1248,1065,583,217,57,13444
POA4005,..,258,518,85,33,24,22,0,0,940,..,67,344,323,239,237,209,125,95,1642,15,38,85,44,24,22,20,9,3,268,639,861,2240,1221,920,800,538,240,142,7596,..,35,825,935,767,786,513,203,36,4103,..,263,1337,473,268,153,46,9,0,2539,..,0,24,79,110,64,25,15,26,345,1261,..,..,..,..,..,..,..,..,1261,..,328,..,..,..,..,..,..,..,328,..,128,96,37,37,12,4,0,0,315,..,92,103,22,14,20,11,8,10,285,..,49,105,16,12,4,0,0,0,186,..,473,1051,208,113,60,38,5,3,1952,..,120,647,632,482,447,361,188,116,2983,36,74,171,86,45,35,28,22,4,499,1292,1572,4349,2481,1839,1578,1031,456,199,14793
POA4006,..,481,482,79,15,14,4,3,0,1076,..,158,365,189,150,129,76,30,24,1126,7,58,73,24,12,10,6,5,3,210,322,1273,2138,770,424,386,235,78,44,5671,..,51,882,609,284,353,246,87,19,2533,..,461,1251,316,130,54,19,4,0,2231,..,3,23,56,56,31,10,7,14,205,636,..,..,..,..,..,..,..,..,636,..,159,..,..,..,..,..,..,..,159,..,76,45,17,9,15,0,0,0,166,..,142,101,26,13,12,11,5,3,315,..,119,152,27,11,0,0,0,0,302,..,886,1103,209,64,35,15,8,0,2325,..,294,864,517,402,272,154,56,31,2593,12,95,151,58,31,28,16,4,3,388,652,2294,4568,1820,1001,799,470,172,68,11845
POA4007,..,85,128,30,18,25,11,5,0,303,..,64,179,139,139,159,136,116,60,992,18,38,39,16,9,14,11,6,8,150,754,802,1061,809,861,691,451,252,101,5783,..,23,554,803,999,791,552,225,52,4001,..,187,561,225,147,83,31,9,0,1242,..,9,30,81,116,56,25,16,10,330,1486,..,..,..,..,..,..,..,..,1486,..,578,..,..,..,..,..,..,..,578,..,190,110,46,24,15,3,0,0,384,..,85,58,13,15,27,21,20,8,237,..,44,50,13,12,10,0,4,0,131,..,190,287,80,68,39,24,13,3,700,..,113,341,290,294,308,241,168,78,1833,26,75,66,36,22,28,22,9,10,280,1512,1484,2069,1586,1683,1358,914,454,164,11217
POA4008,..,0,0,0,3,0,0,0,0,6,..,0,0,3,3,3,3,0,4,14,0,0,0,0,0,0,0,0,0,3,8,16,21,13,17,14,14,3,7,110,..,0,12,6,11,11,11,9,0,58,..,0,15,10,7,6,4,0,0,39,..,0,0,0,10,0,0,0,0,13,23,..,..,..,..,..,..,..,..,23,..,11,..,..,..,..,..,..,..,11,..,8,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,3,3,15,4,3,0,0,28,..,0,4,4,8,8,14,0,4,39,0,3,0,0,0,0,3,0,0,10,26,23,39,21,52,37,35,8,7,245
POA4009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,..,57,65,14,3,12,0,0,0,148,..,6,33,21,26,27,36,26,43,219,0,7,6,3,5,3,0,0,0,29,106,161,311,135,124,93,54,42,47,1072,..,8,152,143,101,68,26,21,12,522,..,47,178,45,27,22,3,0,0,327,..,0,3,12,22,11,0,3,0,49,229,..,..,..,..,..,..,..,..,229,..,54,..,..,..,..,..,..,..,54,..,35,10,3,5,0,0,0,0,49,..,12,17,0,0,0,6,0,3,47,..,14,29,3,0,0,3,0,0,51,..,99,129,31,17,21,3,0,0,299,..,16,78,55,49,46,55,46,46,386,0,11,15,12,9,4,5,0,0,57,229,301,616,303,227,180,105,72,59,2076
POA4011,..,115,148,42,22,33,11,7,0,379,..,44,140,150,118,180,197,138,88,1047,14,35,43,21,18,12,5,3,7,152,1140,947,1239,1052,1015,775,527,276,134,7106,..,19,811,1142,1159,805,535,225,59,4755,..,149,543,275,185,121,51,10,0,1338,..,4,28,105,181,106,35,17,23,498,2312,..,..,..,..,..,..,..,..,2312,..,775,..,..,..,..,..,..,..,775,..,305,154,53,38,22,5,0,0,580,..,121,78,26,20,28,26,22,8,334,..,52,78,13,12,6,6,0,0,178,..,209,349,95,75,63,22,15,3,837,..,74,294,282,270,320,310,194,106,1840,21,57,78,35,31,18,12,0,8,269,2332,1766,2411,2024,1974,1489,1008,488,214,13709
POA4012,..,187,251,57,44,33,11,7,0,588,..,55,220,207,204,263,227,167,130,1473,20,50,61,23,12,27,20,9,3,227,1684,1284,2232,1687,1315,1029,590,354,228,10412,..,70,1508,1895,1345,955,514,239,100,6623,..,372,1109,485,247,155,43,3,0,2417,..,18,63,231,227,125,57,53,60,831,3457,..,..,..,..,..,..,..,..,3457,..,779,..,..,..,..,..,..,..,779,..,388,225,75,88,65,14,0,0,850,..,189,168,38,53,56,58,25,21,609,..,135,119,24,19,10,4,3,0,318,..,347,580,134,96,79,33,12,0,1282,..,107,442,414,440,517,393,263,162,2728,46,82,122,48,46,44,29,7,9,444,3499,2490,4340,3345,2559,2005,1131,605,349,20330
POA4013,..,37,42,14,12,7,4,0,0,120,..,10,45,41,41,55,48,20,13,291,7,15,8,0,0,7,9,4,0,47,364,286,468,311,289,216,131,52,27,2151,..,14,317,348,274,204,109,42,17,1331,..,73,214,94,66,36,10,3,0,496,..,3,22,35,57,24,11,7,9,172,713,..,..,..,..,..,..,..,..,713,..,168,..,..,..,..,..,..,..,168,..,97,64,17,5,13,0,0,0,192,..,41,43,3,11,7,6,11,3,122,..,30,34,6,7,9,3,0,0,87,..,84,127,49,24,23,14,3,4,317,..,26,89,97,101,96,91,35,16,551,9,30,30,17,8,7,14,5,0,114,724,555,937,664,558,420,259,101,45,4269
