POA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA4000,442,0,0,0,0,0,0,65,511,1233,15,7,0,0,0,0,184,1433,1309,54,3,4,0,0,0,197,1563,771,129,38,3,0,0,0,129,1076,296,78,57,10,3,0,0,57,507,166,90,73,11,11,0,0,46,390,134,63,95,25,7,3,0,41,368,87,54,96,37,6,0,0,38,320,73,53,86,46,18,3,0,38,318,61,47,91,41,14,6,0,30,297,34,28,61,39,11,3,0,14,192,21,12,38,23,16,5,0,5,118,10,8,23,15,15,3,3,4,84,3,3,4,6,3,0,0,8,33,3,3,6,11,4,3,3,7,42,4641,637,682,277,108,29,16,872,7256
POA4005,193,0,0,0,0,0,0,35,227,641,5,0,0,0,0,0,108,757,1158,44,7,3,3,0,0,197,1409,847,130,45,10,3,3,0,175,1215,490,110,89,25,7,0,0,103,822,306,61,105,34,14,0,0,82,602,251,74,113,34,7,0,6,76,562,198,69,114,59,20,3,3,71,533,128,52,129,71,26,7,4,67,484,95,49,155,80,22,11,0,67,481,59,51,111,73,28,8,0,65,399,34,11,68,62,23,11,4,62,266,22,15,37,37,17,8,10,38,182,11,5,24,25,16,6,12,47,143,17,18,42,34,13,9,6,156,293,4446,699,1038,547,196,63,36,1342,8372
POA4006,216,0,0,0,0,0,0,47,263,1041,11,3,0,0,0,0,175,1220,1223,59,3,3,0,0,0,208,1490,751,121,32,5,0,0,0,144,1053,334,79,53,11,3,0,0,98,583,177,62,48,18,3,0,0,56,367,118,39,53,16,6,0,0,46,274,59,40,66,21,9,0,3,44,243,56,41,69,38,12,3,3,38,260,37,26,54,40,17,3,3,38,216,34,13,56,46,12,0,3,27,189,15,7,32,21,15,8,0,22,121,5,5,17,14,6,4,0,13,71,12,0,5,8,18,0,0,3,53,16,5,17,18,4,0,7,12,82,4087,510,507,264,106,29,26,965,6487
POA4007,358,3,0,0,0,0,0,39,399,468,12,0,0,0,0,0,52,531,476,55,11,4,0,0,3,59,603,385,100,42,11,0,0,0,71,597,193,81,90,31,9,6,0,38,445,137,85,105,59,21,3,0,47,454,121,63,154,85,30,3,0,57,510,103,65,168,75,22,6,0,51,487,79,60,130,73,26,3,5,36,408,45,42,122,75,30,8,4,30,366,39,27,90,83,23,7,3,22,292,36,15,56,60,20,9,0,21,220,20,12,33,40,31,14,3,15,164,17,4,27,31,18,13,6,13,123,6,4,16,29,21,11,6,37,137,2477,630,1036,640,256,69,36,592,5737
POA4008,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,11,6,0,0,0,0,0,0,3,11,6,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,9,3,0,0,0,0,0,0,0,12,3,3,3,3,0,0,0,3,11,0,0,0,0,0,0,0,5,13,3,4,0,0,0,0,0,0,9,0,0,4,7,0,0,0,0,11,0,0,3,0,0,0,3,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,43,13,25,19,6,3,4,22,131
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,45,0,0,0,0,0,0,0,42,110,0,0,0,0,0,0,21,132,176,11,3,0,0,0,0,28,219,96,24,6,6,0,0,0,17,146,34,11,19,4,0,0,0,10,79,26,5,27,5,0,0,0,9,72,25,18,22,7,0,0,0,3,75,16,11,15,3,3,0,0,8,53,22,4,20,6,0,0,0,4,58,3,12,11,8,4,3,0,4,39,4,0,8,0,3,0,0,0,18,9,4,12,6,4,0,0,3,35,7,0,8,4,5,5,0,0,23,0,0,4,6,3,3,3,0,23,4,3,10,12,10,4,3,7,47,580,106,164,73,24,14,4,115,1074
POA4011,447,0,0,0,0,0,0,43,492,515,17,5,0,0,0,0,42,579,550,69,18,3,0,0,0,60,698,372,134,74,16,5,0,0,47,648,187,96,177,65,19,0,0,39,584,167,89,173,80,15,0,0,41,563,128,86,192,114,29,6,3,38,593,96,57,178,113,30,3,3,35,518,93,70,147,87,33,4,3,31,462,89,56,103,66,39,3,0,34,410,64,36,102,64,34,10,3,30,343,42,20,86,49,31,7,6,10,255,22,18,47,51,22,3,3,12,175,19,14,25,21,17,3,6,3,112,21,13,45,31,32,9,14,16,173,2810,766,1375,752,316,56,50,478,6608
POA4012,435,3,0,0,0,0,0,44,487,754,35,8,0,0,0,0,83,874,962,121,36,8,0,0,0,98,1229,632,272,166,27,3,0,0,69,1177,314,170,273,81,18,4,0,51,911,231,152,289,131,24,4,4,38,869,198,117,256,109,30,8,0,47,763,169,102,214,85,27,7,4,27,624,150,74,171,109,32,12,10,32,584,113,64,156,113,36,11,4,30,520,72,44,103,76,33,9,3,24,364,43,31,91,41,26,17,9,14,270,36,16,51,30,26,12,9,19,191,35,17,34,43,24,14,20,30,207,23,20,52,43,38,20,24,86,312,4164,1228,1895,899,319,118,87,681,9402
POA4013,111,0,0,0,0,0,0,5,118,146,6,5,4,0,0,0,18,184,181,37,12,0,0,0,0,24,257,124,59,31,6,4,0,0,19,241,69,31,48,16,3,0,0,17,184,40,20,56,19,8,0,0,13,155,36,35,49,20,7,5,3,15,163,20,19,53,32,8,7,0,14,152,25,17,33,25,16,0,4,8,127,24,4,28,15,12,7,0,7,106,16,6,18,18,5,6,3,3,80,4,12,21,10,8,3,3,3,52,6,0,13,3,3,4,4,3,38,4,0,8,3,0,3,0,3,23,3,4,6,8,3,3,0,0,33,819,262,378,190,76,29,15,147,1922
