POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA4000,1888,3696,0,0,36,154,4,13,440,1488,480,1655,14,55,96,314,96,281,202,649,688,2302,0,4,12,38,0,0,99,215,114,259,8,29,51,102,91,192,155,325,268,583,164,343,3004,6932
POA4005,2506,4863,6,20,44,194,4,26,633,2280,690,2519,28,121,102,354,123,348,254,827,945,3349,0,3,20,48,5,15,112,251,140,326,18,44,52,105,141,289,209,438,346,762,92,192,3887,9170
POA4006,1936,3790,3,14,25,91,4,12,374,1252,402,1369,13,55,48,151,57,177,118,377,522,1751,0,3,9,26,4,9,79,172,93,202,4,15,37,80,69,149,113,245,201,451,121,248,2788,6241
POA4007,1529,2975,5,43,125,582,9,42,651,2388,796,3053,60,239,165,555,173,520,393,1310,1187,4366,0,3,22,72,4,10,120,277,148,360,14,40,64,136,113,232,184,408,334,770,77,163,3132,8271
POA4008,33,56,0,0,3,24,0,0,12,35,16,52,0,0,0,5,5,10,7,20,18,72,0,0,0,0,0,0,7,9,7,9,0,3,0,3,7,15,12,23,17,36,0,0,65,159
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,281,548,0,5,13,43,0,6,122,428,132,482,4,19,12,49,8,37,30,103,164,582,0,3,3,12,0,0,7,22,15,36,0,4,12,26,25,47,36,79,53,109,13,30,505,1284
POA4011,1493,2960,17,89,175,776,20,92,973,3677,1189,4636,68,283,189,655,215,659,462,1597,1648,6237,5,20,32,109,4,8,179,429,215,574,11,45,82,189,182,379,280,610,499,1183,97,204,3743,10585
POA4012,2321,4593,20,94,193,873,37,147,1562,5770,1812,6888,70,298,179,599,262,835,518,1739,2329,8625,9,24,45,156,12,47,290,698,360,921,31,89,115,248,330,699,471,1033,829,1955,175,370,5658,15554
POA4013,441,876,10,47,39,164,5,28,320,1209,377,1446,25,103,37,121,59,196,122,416,494,1863,0,7,14,29,3,4,64,149,78,193,3,15,16,36,73,157,92,203,173,397,30,70,1146,3205
POA4014,1142,2293,26,124,116,545,41,210,910,3403,1094,4279,62,244,110,371,201,653,373,1267,1466,5542,5,18,25,81,19,59,176,456,217,627,22,64,41,85,186,403,242,554,462,1179,55,114,3126,9121
POA4017,3556,7047,74,448,424,1924,120,526,2623,10057,3241,12952,230,934,409,1373,857,2714,1498,5020,4733,17968,22,82,99,329,67,230,553,1438,737,2078,77,233,157,342,658,1390,887,1961,1621,4048,170,360,10078,29417
