POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA4000,196,128,45,33,42,24,21,486,28,14,4,8,11,9,0,70,32,14,7,0,3,6,4,60,52,52,26,25,41,17,9,225,0,0,0,0,0,0,0,0,309,206,76,65,95,56,33,842,16,17,13,18,22,14,13,108,4,3,6,0,3,3,4,20,6,4,0,3,5,0,0,15,8,8,5,7,7,7,4,51,0,0,0,0,0,0,0,3,43,35,29,25,33,26,21,204,347,241,102,90,131,82,50,1043
POA4005,123,61,22,8,11,16,10,260,71,29,21,7,12,3,3,148,74,50,28,9,14,18,4,197,229,205,103,46,67,51,27,738,3,0,0,0,3,0,0,7,501,344,173,76,106,92,41,1344,4,14,6,3,5,7,3,41,11,13,4,3,9,3,3,40,3,7,0,3,5,9,8,31,20,31,20,12,13,18,8,122,0,0,0,0,0,0,0,4,38,67,34,25,34,38,20,241,543,414,208,104,139,125,64,1584
POA4006,157,90,35,11,19,14,8,324,32,15,5,3,4,4,0,72,39,18,7,6,7,0,0,74,68,30,17,14,20,17,6,170,3,0,0,0,0,0,0,3,294,150,62,33,51,35,20,642,8,3,8,5,3,3,3,38,3,0,4,5,0,4,0,14,6,5,0,3,3,0,3,25,12,14,11,6,17,7,5,72,3,0,0,0,0,0,0,3,32,33,18,19,30,18,13,159,326,180,76,53,82,47,26,798
POA4007,113,93,43,35,36,26,11,352,44,32,26,12,29,18,5,168,51,43,21,19,25,13,7,176,222,241,185,113,149,107,48,1066,6,3,3,3,0,0,0,9,439,413,279,183,235,160,76,1779,21,11,13,12,11,10,3,70,9,6,7,7,4,7,4,43,7,13,4,6,6,4,4,35,16,32,24,8,36,13,8,137,0,0,0,0,0,0,0,0,45,64,37,27,55,36,13,288,486,478,316,209,294,195,95,2062
POA4008,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,4,0,0,19,0,0,0,0,0,0,0,0,9,3,0,3,4,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,8,10,0,3,5,9,0,34
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,16,13,8,3,7,7,0,56,12,4,3,3,3,0,0,30,11,7,0,0,0,0,0,24,56,49,15,10,5,4,3,148,0,0,0,0,0,0,0,0,97,72,30,15,16,13,8,253,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,3,0,0,3,0,6,7,0,21,0,0,0,0,0,0,0,0,3,4,3,3,14,3,4,38,100,77,31,22,32,17,12,287
POA4011,178,162,64,43,47,32,20,538,90,74,48,31,40,23,6,312,68,57,24,18,23,15,10,212,360,378,256,169,211,139,56,1573,3,0,0,0,0,0,0,7,694,673,397,254,323,206,95,2640,13,20,13,6,22,12,7,89,7,18,16,12,7,7,3,56,5,16,13,3,14,8,0,56,27,44,42,38,42,20,18,230,3,3,3,3,0,3,0,10,45,96,82,61,81,43,28,439,743,774,473,320,405,245,124,3083
POA4012,327,238,115,58,69,37,24,861,131,88,48,26,32,17,6,351,160,122,48,26,24,14,4,391,589,538,307,173,207,85,47,1941,3,0,4,0,0,0,0,8,1208,988,527,278,331,152,79,3562,19,31,28,12,24,12,9,132,21,29,17,16,20,9,4,111,12,23,17,3,19,3,9,85,62,66,46,42,64,26,20,327,8,9,0,0,0,0,0,18,119,152,103,78,122,57,39,674,1323,1140,635,361,454,210,117,4233
POA4013,70,40,21,8,12,5,3,164,39,17,6,6,8,3,3,81,36,24,14,9,9,0,0,89,120,117,56,50,56,19,11,429,0,3,0,0,0,0,0,3,263,201,90,73,85,35,11,758,5,8,0,0,3,0,3,21,3,4,4,0,0,0,0,9,3,0,0,0,3,0,0,13,13,19,16,3,13,0,4,78,3,0,0,0,0,0,0,3,30,30,19,6,23,4,6,126,292,233,113,77,110,40,20,881
