POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA4000,629,46,10,0,0,0,3,688
POA4005,856,65,16,3,0,0,0,945
POA4006,486,31,3,0,0,0,0,522
POA4007,1077,81,25,5,0,0,3,1187
POA4008,10,0,0,0,0,0,0,18
POA4009,0,0,0,0,0,0,0,0
POA4010,146,11,4,3,0,0,0,164
POA4011,1493,99,46,6,0,0,4,1648
POA4012,2098,138,57,27,0,0,3,2329
POA4013,436,38,9,7,0,0,0,494
POA4014,1268,118,55,19,0,0,5,1466
POA4017,4139,349,172,49,6,0,12,4733
POA4018,1221,104,49,15,0,0,6,1394
POA4019,1494,224,98,15,6,0,12,1854
POA4020,1614,186,100,31,4,0,16,1959
POA4021,778,105,72,11,4,3,8,988
POA4022,599,74,49,8,0,0,7,736
POA4025,3,0,0,0,0,0,0,3
POA4029,0,0,0,0,0,0,0,0
POA4030,1475,87,48,9,0,0,6,1625
POA4031,1398,111,46,8,0,0,3,1564
POA4032,1337,105,39,21,0,4,3,1505
POA4034,4565,349,163,66,6,8,17,5169
POA4035,3357,239,102,25,3,0,4,3730
POA4036,704,71,51,15,0,0,0,852
POA4037,1239,87,52,12,0,0,0,1388
POA4051,2861,196,67,19,3,0,3,3149
POA4053,4829,320,171,47,4,4,16,5386
POA4054,1490,122,67,5,3,0,6,1694
POA4055,2827,187,120,24,0,3,9,3173
POA4059,995,70,17,3,0,0,3,1084
POA4060,1693,81,38,3,0,0,0,1821
POA4061,2188,149,64,13,0,0,7,2428
POA4064,903,82,21,5,0,0,4,1006
POA4065,1244,57,22,4,0,0,0,1331
POA4066,1169,69,28,9,0,0,3,1276
POA4067,676,33,6,6,0,0,3,719
POA4068,2243,101,33,22,0,0,6,2409
POA4069,4717,228,116,28,3,0,3,5094
POA4070,1604,105,60,11,0,0,8,1780
POA4072,0,0,0,0,0,0,0,0
POA4073,1339,77,29,10,0,0,0,1454
POA4074,3076,235,99,28,0,0,7,3453
POA4075,2797,163,62,23,0,0,7,3051
POA4076,483,43,14,5,0,0,5,551
POA4077,2790,219,152,98,8,3,24,3308
POA4078,3087,233,154,48,7,3,31,3559
POA4101,1484,132,42,9,0,0,3,1671
POA4102,480,27,11,0,0,0,0,516
POA4103,1066,84,27,11,0,0,9,1199
POA4104,592,35,10,0,0,0,0,632
POA4105,1367,74,22,13,0,0,0,1476
POA4106,105,9,11,0,0,0,0,129
POA4107,635,47,22,12,0,0,3,714
POA4108,497,39,19,11,0,0,4,572
POA4109,3740,186,90,88,9,3,15,4139
POA4110,1087,75,62,31,4,4,13,1269
POA4111,76,5,0,0,0,0,0,86
POA4112,1139,50,22,18,0,0,3,1233
POA4113,3490,177,68,57,9,3,16,3826
POA4114,2214,196,191,81,6,5,38,2736
POA4115,2527,178,92,52,3,3,6,2869
POA4116,3483,177,104,75,3,4,17,3853
POA4117,160,21,9,7,0,0,0,194
POA4118,3312,324,220,61,16,3,27,3956
POA4119,828,39,28,12,0,0,3,909
POA4120,717,40,26,6,0,0,0,795
POA4121,3005,183,69,20,3,0,6,3292
POA4122,4720,283,160,55,0,6,15,5246
POA4123,2230,166,96,28,3,0,12,2539
POA4124,2309,177,171,49,8,0,18,2726
POA4125,769,63,44,26,10,0,3,914
POA4127,2556,240,146,64,7,3,14,3026
POA4128,1955,190,89,33,3,3,10,2284
POA4129,692,72,56,12,0,4,7,847
POA4130,1041,100,60,11,0,0,3,1215
POA4131,899,105,76,20,3,0,10,1107
POA4132,2381,254,273,65,10,4,18,2999
POA4133,1611,181,145,34,4,4,19,1997
POA4151,1512,87,35,11,0,0,5,1653
POA4152,5330,323,123,53,6,0,4,5837
POA4153,578,51,18,6,0,0,3,648
POA4154,1679,130,60,8,0,0,5,1883
POA4155,198,5,10,4,0,0,0,217
POA4156,504,34,7,4,0,0,0,547
POA4157,2093,181,106,31,8,0,14,2429
POA4158,335,21,21,0,0,0,3,382
POA4159,1600,163,104,21,9,0,7,1897
POA4160,2186,162,101,14,4,0,7,2471
POA4161,1720,229,110,22,3,0,14,2097
POA4163,1268,136,64,13,3,0,4,1486
POA4164,1839,174,84,12,4,0,3,2123
POA4165,4135,408,271,31,9,3,22,4880
POA4169,683,60,12,6,0,0,0,768
POA4170,2477,183,80,18,0,4,10,2770
POA4171,1820,108,32,6,4,0,0,1975
