POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA4000,51,16,28,22,112,11,3,6,10,26,17,3,3,3,27,12,4,7,5,31,39,3,4,6,52,30,3,13,11,59,77,15,10,12,121,76,15,17,8,113,107,23,17,21,161,158,28,11,9,206,89,35,14,5,148,107,44,16,10,171,243,102,30,15,390,173,54,7,8,242,105,40,7,7,159,132,66,22,7,224,287,171,19,7,482,156,71,24,0,249,8,12,6,0,23,1888,688,268,164,3004
POA4005,22,3,7,0,37,9,0,0,0,10,8,0,7,0,17,3,0,3,0,9,31,0,8,3,38,18,0,13,4,43,61,13,25,5,106,68,12,18,5,100,87,17,33,3,143,100,22,29,10,154,108,34,18,6,169,134,37,23,5,204,343,79,32,14,461,285,62,17,4,373,241,87,6,7,342,178,92,27,3,294,571,346,31,9,961,228,133,32,0,395,17,3,8,0,23,2506,945,346,92,3887
POA4006,24,8,3,3,40,4,3,4,4,14,5,6,9,3,22,7,3,9,0,18,37,9,11,3,59,27,10,9,6,47,68,7,18,8,98,86,13,18,7,131,120,19,26,13,181,148,28,13,10,199,87,34,16,9,151,148,40,11,3,209,305,66,17,15,409,208,42,12,12,265,152,38,0,4,194,118,44,7,7,171,249,110,6,4,359,141,54,11,0,209,8,4,0,0,18,1936,522,201,121,2788
POA4007,16,3,8,3,33,3,0,5,0,12,4,0,12,0,14,0,0,4,0,6,21,3,11,5,41,15,9,21,3,56,49,13,18,4,88,43,22,24,10,92,83,33,39,6,168,91,32,30,4,163,96,24,15,7,140,85,35,18,9,147,210,95,44,7,351,166,101,17,0,288,118,62,5,6,192,92,114,8,3,220,274,473,10,4,764,133,159,30,0,321,15,7,4,0,29,1529,1187,334,77,3132
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,6,4,0,0,0,9,0,3,0,0,4,0,0,3,0,5,0,0,0,0,4,3,3,0,0,5,3,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,0,0,0,6,0,0,0,0,0,33,18,17,0,65
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,8,18,0,3,0,20,10,0,3,0,21,22,4,5,0,28,28,4,5,3,37,10,6,3,0,25,21,4,3,3,29,38,17,7,3,61,39,15,3,0,64,22,17,0,3,47,17,12,3,0,36,26,44,3,0,73,21,22,6,0,52,9,0,0,0,10,281,164,53,13,505
POA4011,15,13,10,0,38,14,7,3,0,19,6,8,11,8,24,5,3,10,0,18,15,8,20,0,45,16,10,25,10,63,79,22,23,3,131,65,26,37,8,134,111,50,37,9,204,108,58,44,11,223,89,61,44,7,195,98,63,24,10,196,194,144,64,13,410,185,118,31,10,339,108,110,8,0,219,72,169,28,3,266,201,595,31,3,827,113,188,49,3,355,10,12,6,0,32,1493,1648,499,97,3743
POA4012,25,11,13,3,58,3,7,3,0,16,12,0,15,0,29,6,3,8,0,22,49,16,26,4,99,33,18,49,0,109,123,38,45,12,220,109,63,80,12,269,166,95,126,11,404,146,117,80,26,361,118,125,75,16,344,166,128,57,11,358,377,311,79,35,790,290,260,34,17,600,169,241,15,13,435,124,191,16,4,330,205,467,21,9,708,164,234,61,3,464,22,10,13,0,49,2321,2329,829,175,5658
POA4013,3,3,3,0,10,0,0,3,0,3,0,0,3,0,3,0,0,14,0,13,9,3,7,3,21,4,3,19,0,26,38,8,18,0,58,14,7,11,0,34,26,23,16,7,76,30,23,12,0,62,26,28,13,8,66,30,39,13,4,81,66,57,19,7,148,57,71,5,0,135,39,51,3,0,94,15,23,3,0,47,52,108,0,0,162,23,41,14,4,80,6,9,0,0,14,441,494,173,30,1146
