POA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA4000,99,244,345,26,49,72,22,96,115,23,133,155,40,172,213,53,151,201,95,164,252,86,243,322,142,299,441,192,243,441,142,236,382,186,235,425,406,404,815,269,80,345,170,65,233,232,258,488,505,72,576,257,201,457,21,76,99,2972,3409,6377
POA4005,30,86,113,6,33,43,14,118,128,9,163,175,31,279,310,40,189,232,101,180,275,97,236,332,135,345,479,154,291,450,165,278,437,200,228,428,456,513,973,370,97,472,346,67,417,297,371,675,989,100,1088,400,220,617,23,78,103,3863,3879,7749
POA4006,33,103,136,10,35,48,24,129,152,15,154,172,52,219,271,43,217,258,83,204,291,117,281,396,155,327,477,188,341,534,153,303,456,211,218,429,420,428,850,261,106,369,201,69,269,182,187,371,380,46,431,216,164,385,16,77,86,2757,3618,6372
POA4007,28,62,91,13,21,33,11,50,67,3,95,101,34,155,193,42,114,163,77,157,239,86,178,267,167,229,391,164,169,330,143,167,314,147,160,311,347,248,592,286,35,319,197,17,218,212,145,360,784,26,808,328,69,392,27,62,90,3103,2171,5276
POA4008,0,3,3,0,0,0,0,3,3,0,0,0,0,4,7,0,5,3,0,11,13,8,3,13,7,11,14,4,7,13,3,3,10,3,0,3,9,0,9,8,0,8,6,0,6,0,0,4,3,0,7,9,3,12,0,0,0,60,51,115
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,3,17,18,0,8,5,0,16,18,0,29,29,3,47,45,4,40,51,19,23,39,11,39,50,30,39,72,39,41,76,25,39,62,31,31,58,61,58,114,59,15,79,40,10,53,39,15,55,87,8,96,55,22,76,9,25,32,504,523,1024
POA4011,26,45,78,14,19,37,19,80,98,19,81,98,40,195,233,48,162,210,116,158,270,132,215,349,197,235,430,210,197,405,191,201,395,174,127,306,418,217,634,332,28,359,236,24,257,272,88,358,859,19,875,356,93,452,32,51,84,3691,2235,5931
POA4012,39,71,106,15,36,45,28,104,134,22,205,227,89,388,471,92,217,308,206,224,435,248,293,539,363,316,681,335,267,603,331,252,587,342,187,534,797,313,1110,613,68,683,460,45,503,331,98,429,745,28,782,469,122,595,42,108,148,5568,3345,8909
POA4013,11,3,17,4,14,14,0,35,40,9,44,50,20,91,111,24,40,66,51,44,92,33,70,109,72,73,147,60,53,111,66,55,119,77,24,103,143,58,197,135,10,150,101,4,106,55,13,67,168,7,181,85,18,102,14,26,38,1121,690,1807
