POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA4000,2013,2988,899,151,65,6115,270,6377
POA4005,1138,3902,2001,355,146,7547,199,7749
POA4006,1617,3170,1110,190,59,6139,228,6372
POA4007,458,2275,1774,416,208,5134,141,5276
POA4008,5,41,36,15,13,107,3,115
POA4009,0,0,0,0,0,0,0,0
POA4010,130,467,304,57,18,968,57,1024
POA4011,457,2478,2046,544,249,5768,165,5931
POA4012,849,3833,2972,727,297,8671,235,8909
POA4013,187,689,618,171,74,1747,61,1807
POA4014,215,1396,1694,496,221,4024,125,4152
POA4017,850,4485,5183,1688,756,12960,387,13350
POA4018,351,2227,1548,353,136,4615,129,4742
POA4019,750,3388,2721,806,407,8065,299,8367
POA4020,873,3702,2907,904,453,8836,344,9183
POA4021,292,1394,1195,401,194,3475,135,3611
POA4022,135,1022,799,292,137,2385,64,2456
POA4025,5,20,20,8,5,52,4,57
POA4029,0,0,0,0,0,0,0,0
POA4030,699,2767,2107,542,223,6344,175,6515
POA4031,433,2064,1981,494,202,5171,116,5285
POA4032,790,2777,1909,455,193,6131,320,6452
POA4034,1331,6212,6126,1796,764,16232,478,16711
POA4035,227,1926,3616,1373,806,7948,149,8093
POA4036,63,725,946,292,166,2197,48,2243
POA4037,13,387,1186,465,299,2358,39,2396
POA4051,855,3952,3662,970,386,9827,325,10144
POA4053,1032,5791,6591,1824,817,16057,390,16449
POA4054,330,1812,1938,575,248,4902,155,5058
POA4055,122,1869,3112,986,533,6618,96,6708
POA4059,775,2170,1421,306,142,4808,180,4988
POA4060,259,1445,1795,549,241,4278,117,4399
POA4061,157,1776,2523,741,325,5519,87,5611
POA4064,403,1684,1389,408,172,4059,91,4150
POA4065,134,1096,1355,384,167,3144,57,3202
POA4066,836,2939,1924,482,203,6385,134,6519
POA4067,740,1634,840,210,105,3524,86,3605
POA4068,1002,3834,2904,767,317,8828,234,9065
POA4069,281,2795,4995,1743,917,10733,201,10935
POA4070,57,945,1710,619,317,3649,77,3730
POA4072,0,0,0,0,0,0,6,8
POA4073,58,824,1423,432,166,2906,35,2940
POA4074,204,2385,3721,1198,530,8038,100,8143
POA4075,484,3085,3198,901,337,8006,168,8176
POA4076,114,642,554,187,86,1586,66,1655
POA4077,1049,3528,3021,1030,471,9095,520,9614
POA4078,269,2890,3439,1107,477,8179,237,8419
POA4101,1532,4379,1990,445,165,8509,266,8775
POA4102,552,1248,657,179,80,2714,130,2851
POA4103,694,2391,1700,432,210,5425,165,5589
