POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA4000,..,2192,2192,1854,578,2432,635,302,939,359,183,543,90,86,170,40,64,102,2972,3409,6377
POA4005,..,2983,2983,2641,632,3274,646,190,838,416,59,479,118,13,132,44,5,49,3863,3879,7749
POA4006,..,2595,2595,1948,727,2674,476,207,688,244,69,311,57,17,68,30,11,39,2757,3618,6372
POA4007,..,1834,1834,1681,272,1951,646,53,694,500,5,507,199,4,205,74,3,75,3103,2171,5276
POA4008,..,37,37,38,11,48,14,0,15,8,3,8,7,0,3,3,0,3,60,51,115
POA4009,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,..,391,391,285,92,383,109,21,135,77,11,93,23,3,22,11,0,11,504,523,1024
POA4011,..,1843,1843,1655,308,1961,844,64,912,782,21,799,328,7,335,88,0,91,3691,2235,5931
POA4012,..,2727,2727,2659,484,3140,1271,98,1377,1119,27,1140,392,5,396,126,0,127,5568,3345,8909
POA4013,..,548,548,507,95,602,258,32,291,236,8,237,84,4,88,40,0,39,1121,690,1807
POA4014,..,863,863,1207,175,1376,754,48,801,685,21,711,274,5,282,126,0,126,3045,1110,4152
POA4017,..,3086,3086,4058,337,4388,2285,57,2341,2302,12,2312,859,0,859,356,0,357,9854,3488,13350
POA4018,..,1404,1404,1376,142,1520,797,44,844,612,3,618,231,3,231,133,0,133,3146,1599,4742
POA4019,..,2781,2781,2674,275,2954,1170,39,1203,858,9,871,364,3,365,198,0,198,5271,3102,8367
POA4020,..,3126,3126,3156,262,3420,1145,23,1167,906,4,911,392,0,389,168,0,168,5764,3420,9183
POA4021,..,929,929,1140,106,1244,572,14,588,473,3,472,250,0,247,120,0,120,2546,1058,3611
POA4022,..,576,576,824,48,869,380,11,389,337,0,337,173,0,172,103,0,103,1814,644,2456
POA4025,..,23,23,22,3,23,4,0,7,0,0,0,0,0,0,0,0,0,32,27,57
POA4029,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,..,1886,1886,1829,501,2326,821,157,979,830,71,901,305,19,323,106,3,104,3886,2630,6515
POA4031,..,1550,1550,1463,262,1722,763,70,834,753,14,771,309,3,305,102,0,102,3388,1896,5285
POA4032,..,2082,2082,1970,308,2274,904,85,990,675,21,690,278,3,286,125,0,125,3952,2497,6452
POA4034,..,4166,4166,5199,533,5735,2716,147,2860,2475,57,2531,904,14,915,484,6,495,11787,4929,16711
POA4035,..,1248,1248,2443,104,2544,1428,17,1439,1838,9,1849,753,3,756,255,0,255,6716,1377,8093
POA4036,..,389,389,701,57,761,435,17,447,397,4,401,161,0,161,87,0,90,1780,466,2243
POA4037,..,165,165,645,27,670,479,4,479,711,3,713,261,0,259,109,0,109,2205,197,2396
POA4051,..,2768,2768,2754,512,3262,1388,236,1625,1585,69,1653,620,22,650,185,12,189,6531,3620,10144
POA4053,..,3822,3822,5134,589,5727,2680,134,2810,2666,50,2712,1022,13,1038,345,4,343,11834,4612,16449
POA4054,..,1150,1150,1598,95,1691,854,31,883,877,7,881,317,0,317,127,0,128,3774,1280,5058
POA4055,..,880,880,2039,87,2118,1226,20,1242,1613,5,1614,626,0,626,230,0,230,5726,990,6708
POA4059,..,1349,1349,1317,467,1783,616,249,870,562,125,682,183,38,224,56,24,83,2738,2253,4988
POA4060,..,917,917,1125,161,1283,649,62,708,927,27,952,407,0,406,119,5,126,3227,1169,4399
POA4061,..,857,857,1770,85,1852,953,18,976,1273,6,1284,496,0,496,147,0,147,4637,971,5611
POA4064,..,1119,1119,1153,311,1462,525,194,722,491,76,564,183,23,210,70,8,82,2423,1728,4150
POA4065,..,617,617,873,95,968,482,56,535,675,17,690,307,7,315,69,6,72,2401,798,3202
POA4066,..,1815,1815,1901,667,2570,752,316,1066,637,103,742,217,28,247,67,9,81,3574,2952,6519
POA4067,..,776,776,866,400,1263,387,311,701,361,174,538,148,80,223,41,57,101,1807,1798,3605
POA4068,..,2243,2243,2541,657,3201,1242,419,1657,1182,148,1330,421,57,481,135,16,153,5520,3543,9065
POA4069,..,1532,1532,3262,163,3431,1884,60,1939,2563,39,2601,1071,15,1087,340,3,347,9123,1812,10935
POA4070,..,447,447,1113,52,1171,670,8,679,902,3,906,376,0,376,160,0,160,3219,505,3730
POA4072,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
POA4073,..,410,410,846,36,885,590,9,596,716,3,720,243,0,243,81,0,86,2482,460,2940
POA4074,..,1272,1272,2530,164,2693,1560,46,1598,1655,17,1670,648,4,652,250,6,250,6643,1499,8143
POA4075,..,1823,1823,2333,255,2589,1291,90,1382,1477,35,1511,644,7,646,221,0,221,5966,2210,8176
POA4076,..,389,389,434,77,503,271,21,290,246,3,249,120,0,120,95,0,99,1158,493,1655
POA4077,..,2228,2228,2252,294,2548,1622,67,1688,1560,17,1583,783,12,793,772,3,780,6993,2621,9614
POA4078,..,1457,1457,2241,201,2440,1664,35,1700,1674,4,1678,677,3,684,450,0,453,6718,1702,8419
POA4101,..,2794,2794,2535,742,3282,1008,260,1267,800,116,915,323,57,379,122,19,137,4791,3986,8775
POA4102,..,887,887,739,244,984,288,134,422,264,62,322,133,25,160,56,9,70,1490,1364,2851
POA4103,..,1596,1596,1539,415,1953,695,247,949,639,97,738,211,28,244,92,20,111,3182,2404,5589
POA4104,..,798,798,745,142,892,323,68,389,315,20,332,112,3,112,34,0,34,1533,1029,2559
