POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA4000,714,1884,11,33,259,608,269,635,166,332,283,517,4794,10345,0,3,5249,11195,0,0,8,12,46,60,6,21,63,94,79,157,6377,13972,1153,..,7532,13972
POA4005,1336,3711,11,31,237,472,250,505,1289,1966,2063,3613,2754,4899,7,19,6111,10503,0,0,0,0,0,7,3,15,4,14,43,82,7749,14813,1058,..,8805,14813
POA4006,482,1330,5,5,295,691,301,697,308,593,935,1724,4307,7588,0,0,5549,9901,0,0,0,0,0,0,0,3,3,5,34,60,6372,11998,1325,..,7697,11998
POA4007,1936,5590,20,42,394,829,412,873,751,1297,800,1304,1323,2238,0,0,2881,4835,0,0,11,22,0,0,3,9,19,31,23,43,5276,11378,1051,..,6324,11378
POA4008,113,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,115,248,13,..,126,248
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA4010,336,888,10,24,40,78,43,103,163,261,173,314,289,502,0,0,627,1079,0,0,0,0,0,0,4,9,4,9,10,15,1024,2095,204,..,1231,2095
POA4011,3034,8612,74,130,503,1039,575,1170,797,1335,1334,2394,138,232,0,0,2274,3965,0,3,0,0,0,0,14,33,14,42,31,62,5931,13846,777,..,6709,13846
POA4012,4643,12643,103,164,720,1507,819,1667,1146,1948,1400,2613,873,1614,0,0,3419,6173,4,8,0,4,0,0,4,7,7,15,17,39,8909,20542,904,..,9821,20542
POA4013,1045,2884,48,76,310,631,357,701,249,428,156,275,0,3,0,0,405,702,0,0,0,0,0,0,3,13,3,13,0,0,1807,4304,188,..,1996,4304
POA4014,3904,10618,30,51,125,282,154,335,55,87,13,17,0,0,0,0,69,110,0,0,0,0,0,0,7,10,5,13,21,30,4152,11097,257,..,4412,11097
POA4017,11502,31582,441,714,293,699,732,1412,713,1117,165,233,27,37,0,0,897,1390,20,22,113,134,0,0,35,49,164,209,46,90,13350,34690,920,..,14266,34690
POA4018,2776,7554,655,1138,1107,2541,1764,3681,90,141,15,35,56,81,0,0,166,253,0,0,0,0,0,0,0,0,0,0,39,80,4742,11565,295,..,5042,11565
POA4019,5915,14868,118,208,434,780,550,987,1155,1730,243,367,364,731,3,4,1769,2828,54,79,46,53,0,0,16,31,112,166,33,53,8367,18909,837,..,9210,18909
POA4020,5708,14742,479,665,416,711,894,1370,822,1186,480,784,1148,1924,0,0,2448,3896,22,43,70,95,5,3,8,11,95,153,35,69,9183,20229,1039,..,10215,20229
POA4021,2885,7721,263,391,382,943,650,1334,53,60,11,15,0,0,0,0,66,75,0,4,0,0,0,0,3,8,7,17,8,13,3611,9162,242,..,3853,9162
POA4022,1743,5180,411,771,6,29,419,802,288,428,0,0,0,0,0,0,287,425,0,0,0,0,0,0,0,3,0,3,3,12,2456,6423,152,..,2603,6423
POA4025,53,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,57,120,235,..,295,120
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA4030,3211,9225,70,151,264,567,332,712,1116,1978,1126,2039,695,1313,4,6,2935,5340,0,5,0,0,0,0,9,15,10,19,31,63,6515,15362,842,..,7359,15362
POA4031,3199,8921,72,118,458,899,533,1016,630,1077,798,1420,107,186,0,0,1534,2684,0,0,0,0,0,0,4,9,4,9,20,61,5285,12688,528,..,5812,12688
POA4032,3347,8939,166,298,788,1733,951,2024,591,1037,487,922,1055,1780,0,0,2130,3737,0,0,0,0,0,0,4,9,4,9,13,27,6452,14742,596,..,7046,14742
POA4034,12527,34488,1256,1956,1403,3227,2659,5181,854,1683,164,322,266,387,4,16,1285,2408,101,131,62,87,0,0,3,4,171,223,70,157,16711,42466,1110,..,17822,42466
POA4035,7265,21957,307,529,261,537,565,1057,193,273,0,8,52,58,0,4,253,342,0,0,0,8,3,3,0,3,3,12,10,28,8093,23395,451,..,8549,23395
POA4036,2130,5933,0,0,106,270,106,273,3,5,0,0,0,0,0,0,3,5,3,9,0,0,0,0,3,6,3,17,4,4,2243,6232,145,..,2393,6232
POA4037,2382,7650,0,0,11,24,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396,7678,85,..,2478,7678
POA4051,6352,18276,149,234,1030,2149,1184,2379,1188,1949,1124,1977,191,295,3,3,2504,4223,0,0,0,0,0,0,10,12,10,12,101,154,10144,25041,1011,..,11160,25041
POA4053,13325,36302,197,289,1297,2551,1492,2839,743,1290,775,1275,39,59,0,0,1558,2622,0,3,0,0,0,0,0,0,3,10,77,134,16449,41906,1326,..,17782,41906
POA4054,4411,12081,143,192,349,621,491,812,121,219,3,7,18,30,0,0,146,250,0,0,0,0,0,0,3,7,7,13,6,14,5058,13160,352,..,5409,13160
POA4055,6288,18926,102,171,95,202,201,365,207,437,6,17,0,0,0,4,212,450,0,0,0,0,0,0,0,0,0,0,3,5,6708,19750,312,..,7024,19750
POA4059,2291,6312,14,28,327,756,343,788,541,1008,530,1056,1250,2699,3,10,2326,4777,0,4,0,0,0,0,5,3,3,7,24,44,4988,11928,497,..,5482,11928
POA4060,3414,10439,9,19,63,134,74,150,364,652,404,716,101,188,0,0,870,1552,10,21,0,0,0,0,4,3,15,25,32,60,4399,12225,442,..,4834,12225
POA4061,5289,15327,37,63,217,451,252,516,10,26,32,61,12,22,0,0,50,109,3,5,0,3,0,0,0,0,3,7,12,17,5611,15985,286,..,5898,15985
POA4064,2455,6831,13,16,370,742,387,759,370,624,408,728,492,903,3,9,1270,2266,0,0,0,3,0,0,26,56,31,59,14,19,4150,9927,637,..,4791,9927
POA4065,2678,7925,27,48,211,432,240,485,209,343,44,73,7,18,0,3,270,437,0,0,0,0,0,0,3,10,3,10,19,39,3202,8889,322,..,3524,8889
POA4066,2368,6897,17,31,155,364,175,394,662,1178,1735,3380,1566,2999,0,0,3954,7565,0,0,0,0,0,0,3,11,4,12,16,35,6519,14908,719,..,7239,14908
POA4067,1205,3774,23,57,229,638,250,698,459,1206,847,2066,843,1820,3,3,2146,5098,0,0,0,0,0,0,0,0,0,0,9,39,3605,9610,360,..,3968,9610
POA4068,4239,12323,32,62,655,1576,687,1636,903,1781,2122,4244,1014,2176,0,0,4037,8202,0,0,0,0,0,0,0,0,3,3,101,220,9065,22383,957,..,10018,22383
POA4069,10507,31359,163,211,169,348,329,561,49,96,20,29,3,9,0,0,65,136,0,0,3,8,0,0,3,15,9,17,22,53,10935,32131,790,..,11722,32131
POA4070,3583,10990,116,202,18,46,139,241,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,3,0,0,0,3,4,11,3730,11248,199,..,3927,11248
POA4072,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,10,0,..,8,10
POA4073,2660,8043,15,20,250,549,266,574,4,4,0,0,0,3,0,0,6,5,0,0,0,0,0,0,0,6,0,6,3,7,2940,8635,162,..,3106,8635
POA4074,7555,21799,121,210,409,905,527,1110,50,61,0,0,5,4,0,0,57,65,0,0,0,0,0,0,3,6,3,6,6,17,8143,23001,526,..,8669,23001
POA4075,6369,18426,129,206,727,1593,853,1800,494,848,321,562,101,178,0,0,907,1585,0,0,0,7,0,0,12,20,14,24,31,75,8176,21913,669,..,8845,21913
POA4076,1384,3929,16,28,216,547,239,581,13,27,0,0,0,3,0,3,18,30,0,0,0,0,0,0,0,6,0,6,11,27,1655,4568,112,..,1761,4568
POA4077,7472,23720,339,528,1259,3205,1593,3737,290,357,0,0,0,0,0,0,290,357,110,150,0,0,0,0,83,280,195,429,63,144,9614,28389,589,..,10209,28389
