POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA4000,160,50,738,14,11,973,180,33,977,3,15,1204,212,98,2379,6,22,2713,4,43,82,0,0,134,121,33,674,0,10,842,3,0,57,0,0,59,4,0,92,0,3,102,0,0,49,0,0,52,348,177,3335,11,36,3905,7,0,30,10,0,39,26,7,173,31,17,256,714,269,5249,63,79,6377
POA4005,511,52,929,0,3,1493,466,51,1119,3,4,1647,208,79,2753,3,19,3058,0,29,232,0,0,267,91,27,773,0,8,898,4,0,72,0,0,79,5,0,45,0,0,55,7,3,30,0,0,34,312,139,3902,3,26,4383,12,0,24,0,0,41,34,7,136,0,7,186,1336,250,6111,4,43,7749
POA4006,116,22,412,0,0,554,137,69,784,0,4,991,137,145,3047,0,19,3338,6,4,341,0,0,352,58,35,542,0,3,635,0,3,150,0,0,156,6,8,67,0,0,79,0,0,39,0,0,36,206,191,4180,0,17,4594,3,3,31,0,0,33,17,8,149,0,5,189,482,301,5549,3,34,6372
POA4007,794,77,400,11,8,1287,724,105,494,4,3,1327,250,147,1468,4,10,1877,0,26,82,0,0,108,102,35,310,0,3,445,4,0,18,0,0,19,6,0,25,3,0,35,4,4,11,0,0,23,369,216,1904,3,10,2509,14,0,10,0,0,29,36,17,70,0,3,127,1936,412,2881,19,23,5276
POA4008,33,0,0,0,0,33,31,0,0,0,0,31,16,0,0,0,0,16,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,35,4,0,0,0,0,4,5,0,0,0,0,5,113,0,0,3,0,115
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,78,6,83,0,0,167,122,13,80,0,0,217,85,23,295,3,3,409,3,0,37,0,0,45,34,3,49,0,4,91,0,0,10,0,0,17,0,0,3,0,0,7,0,0,3,0,0,7,129,23,406,4,9,567,3,0,26,0,0,28,7,0,32,0,0,41,336,43,627,4,10,1024
POA4011,1151,103,324,0,0,1590,1245,145,426,3,7,1833,392,230,1145,7,4,1781,5,7,52,0,0,63,149,59,230,0,3,451,7,0,7,0,0,19,6,7,12,0,0,24,18,3,5,0,0,22,574,310,1456,6,9,2353,9,6,7,0,0,26,57,16,57,0,6,134,3034,575,2274,14,31,5931
POA4012,1498,98,252,3,3,1855,1963,246,582,0,0,2793,756,330,1891,0,8,2983,56,65,240,0,0,360,241,42,265,0,4,550,16,12,51,0,0,74,12,0,23,0,0,33,18,3,15,0,0,37,1083,452,2491,6,9,4043,18,0,9,0,0,26,82,21,88,0,6,194,4643,819,3419,7,17,8909
POA4013,317,24,23,3,0,368,456,68,62,0,0,583,176,137,191,0,0,510,6,78,48,0,0,130,59,20,50,0,0,134,0,3,11,0,0,15,4,0,4,0,0,8,7,4,0,0,0,9,245,249,313,0,0,809,4,0,0,0,0,5,19,9,15,0,0,48,1045,357,405,3,0,1807
POA4014,1135,10,0,0,0,1147,1716,55,3,0,3,1775,624,43,37,3,0,709,47,17,9,0,0,76,226,4,7,0,0,244,21,20,0,0,0,34,18,0,0,0,0,19,20,0,0,0,0,20,950,86,56,7,7,1104,12,0,0,0,0,9,93,3,3,0,14,111,3904,154,69,5,21,4152
POA4017,3746,168,81,47,3,4052,5108,98,81,6,9,5301,1543,274,366,16,14,2219,175,13,173,0,0,361,533,45,71,6,8,663,14,22,43,0,0,83,51,18,13,70,3,154,42,5,10,0,0,64,2358,374,680,92,27,3540,61,54,22,0,3,137,234,38,29,11,4,317,11502,732,897,164,46,13350
POA4018,816,328,38,0,3,1182,1208,490,16,0,9,1721,515,547,24,0,15,1101,52,93,33,0,0,175,82,141,7,0,0,236,3,25,18,0,0,44,25,67,3,0,0,100,12,15,0,0,0,23,684,887,94,0,18,1683,9,27,22,0,0,59,60,37,7,0,5,103,2776,1764,166,0,39,4742
POA4019,1877,86,287,66,3,2322,2130,70,178,12,3,2397,1155,195,678,0,16,2044,98,132,313,0,0,549,422,40,173,9,0,637,0,0,32,0,0,35,32,8,10,24,0,66,25,3,10,0,3,46,1731,381,1216,33,15,3373,42,0,10,0,0,58,141,15,69,0,3,223,5915,550,1769,112,33,8367
POA4020,1981,224,670,79,7,2963,1974,89,318,3,5,2382,1083,266,798,0,9,2159,130,91,305,0,0,524,321,58,173,4,5,565,7,23,31,0,0,68,23,8,19,3,0,45,27,3,23,3,0,58,1582,450,1350,12,13,3411,40,85,51,3,0,180,130,44,67,0,3,247,5708,894,2448,95,35,9183
POA4021,1030,101,9,0,0,1144,1008,65,6,3,0,1077,444,311,10,0,0,766,113,33,36,0,0,181,188,75,4,0,0,272,0,7,0,0,0,10,10,15,0,0,0,27,11,7,0,0,0,21,769,452,50,0,4,1270,6,4,0,0,0,11,66,25,3,0,4,102,2885,650,66,7,8,3611
POA4022,459,116,143,0,0,720,536,38,8,0,0,579,500,122,16,0,0,635,117,22,42,0,0,176,72,11,3,0,0,91,3,4,8,0,0,18,5,3,0,0,0,12,4,0,0,0,0,8,709,163,73,0,0,940,4,98,42,0,0,142,37,11,19,0,0,65,1743,419,287,0,3,2456
POA4025,24,0,0,0,3,25,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,4,53,0,0,0,3,57
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,937,44,175,0,0,1160,1299,71,407,5,12,1789,614,160,1641,0,8,2431,23,13,216,0,0,253,220,27,334,0,4,584,9,7,33,0,0,49,13,3,47,0,0,60,10,3,17,0,0,24,890,213,2278,3,13,3397,13,0,11,0,0,28,68,8,60,0,5,143,3211,332,2935,10,31,6515
POA4031,883,77,125,0,3,1085,1453,102,216,0,8,1776,529,205,827,4,10,1574,29,37,105,0,0,179,205,52,192,0,4,448,7,9,8,0,0,28,9,4,23,0,0,38,16,0,8,0,0,24,794,319,1160,4,8,2281,12,8,0,0,0,27,59,21,34,0,0,114,3199,533,1534,4,20,5285
POA4032,1169,134,285,0,0,1597,1046,151,223,0,3,1423,609,368,958,3,0,1933,164,116,182,0,0,463,185,56,179,3,0,414,11,7,46,0,0,67,12,11,20,0,0,47,13,9,8,0,0,25,989,565,1392,6,3,2953,16,34,145,0,0,196,128,73,84,0,3,286,3347,951,2130,4,13,6452
POA4034,4527,557,135,0,11,5225,4814,470,87,0,9,5373,1847,731,635,3,12,3225,276,192,157,0,5,629,603,265,75,0,3,950,23,75,30,0,3,137,75,111,16,149,17,357,36,16,12,3,0,60,2864,1385,920,153,38,5362,78,152,95,0,3,326,257,98,52,14,7,423,12527,2659,1285,171,70,16711
POA4035,2761,182,96,3,3,3049,3493,71,3,3,4,3576,551,167,12,0,0,736,29,0,0,0,0,29,194,62,6,0,0,266,5,5,15,0,0,23,86,15,7,0,0,106,15,3,0,0,0,26,888,253,34,0,0,1179,30,38,91,0,0,163,96,18,23,0,0,133,7265,565,253,3,10,8093
POA4036,612,0,0,0,0,611,1000,5,0,3,3,1009,321,79,3,0,0,398,27,6,0,0,0,38,110,8,3,0,0,125,0,0,0,0,0,3,8,0,0,0,0,7,5,0,0,0,0,6,478,98,3,0,0,579,13,0,0,0,0,13,29,0,0,0,0,32,2130,106,3,3,4,2243
POA4037,619,3,0,0,0,620,1439,3,0,0,0,1441,164,3,0,0,0,167,7,0,0,0,0,7,57,0,0,0,0,58,0,0,0,0,0,0,64,0,0,0,0,64,0,0,0,0,0,0,293,3,0,0,0,297,4,0,0,0,0,4,31,0,0,0,0,29,2382,11,0,0,0,2396
