POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA4000,3,3,63,0,0,71,8,0,16,0,0,23,0,0,13,0,0,15,3,0,31,0,0,37,12,0,26,0,0,37,8,5,122,0,0,132,10,3,142,0,3,157,29,8,237,0,0,276,23,4,109,0,0,133,30,5,113,0,5,154,48,4,83,0,0,138,5,0,18,0,0,25,180,33,977,3,15,1204
POA4005,26,0,63,0,0,92,6,0,11,0,0,20,7,0,14,0,0,26,12,0,32,0,0,41,6,0,27,0,0,40,31,3,109,0,0,143,21,7,144,0,3,166,67,5,262,0,0,337,32,10,140,0,0,184,67,11,160,0,0,238,169,10,122,0,0,304,26,4,34,0,0,66,466,51,1119,3,4,1647
POA4006,9,5,33,0,0,47,4,6,12,0,0,16,5,0,12,0,0,15,7,0,15,0,0,20,4,0,16,0,0,23,14,9,69,0,0,91,7,3,148,0,0,161,23,26,226,0,0,265,7,10,109,0,0,123,20,7,78,0,0,107,35,7,57,0,3,98,3,0,23,0,0,24,137,69,784,0,4,991
POA4007,47,3,17,0,3,74,11,0,5,0,0,13,7,0,11,0,0,22,6,0,9,0,0,17,15,4,20,0,0,42,44,11,65,0,0,117,36,11,86,0,0,136,81,22,116,0,0,215,55,21,64,0,0,136,90,20,40,0,0,155,280,15,35,0,0,326,45,3,16,0,0,68,724,105,494,4,3,1327
POA4008,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,4,0,0,0,0,4,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,31,0,0,0,0,31
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,8,0,3,0,0,11,0,0,0,0,0,4,4,0,0,0,0,7,3,0,0,0,0,3,4,0,0,0,0,9,10,4,8,0,0,22,8,3,14,0,0,28,27,3,23,0,0,54,20,4,10,0,0,28,20,0,11,0,0,29,12,0,4,0,0,12,0,0,7,0,0,10,122,13,80,0,0,217
POA4011,76,4,17,0,0,92,20,3,9,0,0,31,14,4,6,0,0,23,25,7,23,0,0,54,36,4,23,0,0,61,76,16,65,0,0,160,82,19,120,0,3,229,153,32,96,0,0,279,133,19,34,0,0,190,244,16,11,0,0,267,332,6,11,0,4,352,59,6,16,0,0,81,1245,145,426,3,7,1833
POA4012,82,13,19,0,0,108,33,4,5,0,0,43,25,5,16,0,0,45,50,7,23,0,0,79,61,9,24,0,0,95,163,27,115,0,0,305,223,38,159,0,0,419,415,87,152,0,0,658,339,37,34,0,0,409,327,18,20,0,0,365,175,0,9,0,0,186,66,3,13,0,0,83,1963,246,582,0,0,2793
POA4013,16,0,0,0,0,19,4,0,0,0,0,4,3,3,0,0,0,7,12,0,3,0,0,12,15,4,3,0,0,23,44,8,8,0,0,64,67,21,16,0,0,99,106,21,12,0,0,136,70,5,6,0,0,81,75,4,3,0,0,83,37,0,3,0,0,44,6,3,0,0,0,15,456,68,62,0,0,583
