POA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA4000,20,10,3,3,3,0,39,3,0,0,0,0,0,3,4,3,0,0,0,0,10,8,0,0,0,0,0,8,14,7,3,0,0,0,19,6,5,0,3,3,0,22,15,9,3,3,3,0,32,20,5,3,0,0,0,34,17,8,0,0,0,0,28,27,11,3,4,0,0,47,36,9,4,4,4,0,51,45,21,7,0,10,0,86,27,3,0,0,0,0,36,22,7,0,3,0,0,28,27,14,0,0,0,0,49,61,26,14,6,7,4,115,37,16,7,3,3,0,70,13,17,9,0,3,6,38,9,3,3,0,0,0,18,419,157,76,23,35,22,735
POA4005,30,19,3,0,0,0,55,0,0,0,0,3,0,3,7,4,0,0,0,0,14,5,3,3,0,0,0,16,12,3,3,0,0,0,19,12,6,3,3,0,0,24,17,6,5,3,4,0,37,20,5,3,0,3,0,26,21,3,7,0,3,0,32,32,6,0,4,0,0,43,18,6,0,0,4,0,26,82,28,10,6,3,0,123,24,7,0,3,0,0,34,27,11,3,0,0,0,43,48,23,4,3,0,0,76,106,49,12,4,3,4,177,61,28,6,3,3,0,106,56,70,19,4,0,0,157,17,19,5,3,0,0,39,596,289,84,41,39,12,1060
POA4006,9,10,0,0,3,0,26,0,0,3,0,0,0,7,8,0,3,0,0,0,6,3,3,0,0,0,0,10,5,0,3,0,0,0,7,3,3,0,0,0,0,7,8,0,3,0,0,0,16,10,7,0,3,0,0,27,30,10,0,0,0,0,44,16,10,0,0,0,0,32,24,10,3,4,0,0,42,45,14,4,5,0,0,73,27,6,0,0,0,0,33,19,5,3,3,0,0,30,43,10,4,0,0,0,62,42,23,5,3,3,6,74,24,11,10,0,0,0,47,20,6,9,0,0,0,36,3,0,0,0,3,0,12,345,144,53,21,11,19,586
POA4007,20,12,11,0,4,0,45,0,0,0,0,0,0,5,10,3,0,0,0,0,12,5,5,3,0,0,0,11,4,3,0,0,0,0,9,4,5,7,0,0,0,18,14,9,10,0,0,0,35,23,7,6,0,4,0,43,21,6,5,0,0,0,28,15,16,6,0,3,0,37,24,6,0,0,0,0,35,44,20,14,6,8,0,93,17,7,0,0,0,0,30,18,14,3,5,3,0,45,39,19,11,0,0,0,71,51,52,14,3,6,4,131,22,68,8,3,3,0,112,37,106,45,0,3,0,190,14,14,9,5,3,0,54,370,387,153,31,44,15,997
POA4008,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,3,0,21
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,4,0,0,0,0,10,3,3,0,0,0,0,9,4,0,0,0,0,0,7,3,3,0,0,0,0,8,3,8,0,0,0,0,19,10,5,0,0,3,0,13,4,3,0,0,0,0,5,0,5,0,0,0,0,4,11,5,0,0,0,0,19,4,10,0,0,3,0,22,0,4,0,0,0,0,7,0,4,0,0,0,0,5,0,0,0,0,3,0,6,59,70,10,3,10,0,151
POA4011,15,25,13,6,3,0,63,0,4,3,0,0,0,13,5,6,8,0,3,0,25,3,6,3,0,0,0,13,9,5,9,3,4,0,27,19,9,3,3,3,0,38,19,13,8,4,0,0,55,17,15,11,4,0,0,44,26,26,4,0,5,0,61,22,24,14,8,0,3,73,23,16,4,0,0,0,45,34,41,20,5,3,7,108,8,23,3,3,3,0,37,10,34,7,3,0,0,54,33,50,10,0,4,0,94,69,133,37,3,4,0,250,38,103,20,5,5,0,175,34,94,19,5,7,3,161,21,28,7,0,9,0,61,405,651,208,60,59,17,1396
POA4012,17,27,13,0,5,0,67,11,10,4,0,3,0,22,5,9,8,4,0,0,24,11,10,3,3,4,3,32,19,16,17,3,3,0,51,21,21,6,3,4,0,60,19,23,8,7,6,0,71,38,51,12,7,12,3,124,44,47,12,9,8,4,132,49,68,18,10,7,4,152,67,52,8,3,4,0,132,94,107,22,11,15,5,252,32,59,6,3,7,6,113,42,65,9,5,3,4,127,71,123,20,8,4,5,232,91,186,35,14,5,3,331,25,59,8,4,0,0,97,25,39,9,6,0,0,80,20,29,11,0,7,0,69,696,999,227,106,103,40,2173
POA4013,4,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,3,3,0,0,0,13,4,3,7,0,0,0,11,8,8,4,3,3,0,20,6,8,3,0,0,0,22,7,15,3,3,0,0,34,13,21,8,3,0,0,45,9,11,8,0,3,0,30,18,17,4,0,3,0,50,14,15,0,7,3,0,31,4,7,4,0,0,0,17,9,29,9,4,3,0,48,25,49,0,0,0,0,76,5,11,3,0,0,0,19,7,10,0,0,0,0,18,0,0,3,0,3,0,8,148,213,58,22,21,3,464
POA4014,10,21,11,0,3,3,52,0,4,4,0,0,0,6,11,6,5,0,0,0,20,10,3,6,0,0,0,23,12,6,14,4,3,0,41,12,18,7,3,0,0,38,20,29,9,3,3,0,61,21,48,23,8,4,3,95,24,41,7,3,6,0,79,37,60,16,7,12,0,128,34,52,5,3,4,0,95,62,91,20,17,16,7,202,49,58,8,7,0,0,116,23,46,10,0,0,0,79,60,106,13,4,6,0,188,61,106,13,3,3,3,190,8,26,5,0,0,0,39,7,8,3,0,0,0,19,16,11,11,0,4,0,43,460,730,178,57,78,18,1525
