POA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA4000,14,11,47,3,6,21,99,0,8,0,0,0,0,12,6,55,24,7,0,0,97,18,32,44,23,6,0,121,17,5,25,0,6,0,57,53,4,38,3,7,0,99,186,8,74,3,12,5,280,497,3,105,5,8,6,625,719,3,164,7,20,0,919,584,4,114,3,10,0,720,316,3,84,0,8,0,406,123,0,27,0,6,0,162,54,0,21,0,0,0,72,62,0,36,0,4,5,106,52,5,43,5,10,9,120,2713,134,842,59,102,52,3905
POA4005,0,26,33,6,4,15,85,0,37,0,4,0,0,42,4,121,12,19,3,7,172,29,32,29,20,7,0,118,33,12,28,3,4,0,76,101,22,65,12,5,0,214,293,0,102,3,8,0,411,877,3,189,0,11,3,1083,826,4,176,0,5,0,1007,454,0,132,3,3,0,585,174,0,50,0,0,3,226,80,0,27,0,0,0,108,66,0,15,0,0,0,77,90,0,25,0,0,0,121,33,14,17,4,3,3,70,3058,267,898,79,55,34,4383
POA4006,7,18,17,0,8,9,62,0,21,0,0,0,0,23,11,90,5,12,0,0,119,48,105,28,67,4,3,255,34,12,10,7,3,0,70,154,54,49,34,10,0,308,504,32,57,17,6,0,621,1158,7,185,7,18,4,1376,926,0,145,7,7,11,1095,282,0,60,0,7,0,355,100,0,27,0,0,0,131,41,0,9,0,0,0,52,18,0,7,0,0,0,31,29,0,12,0,0,0,41,30,15,15,3,5,3,72,3338,352,635,156,79,36,4594
POA4007,4,3,21,0,8,14,46,0,16,0,0,0,0,14,3,55,6,4,0,0,70,12,21,13,3,0,0,48,5,4,21,0,3,0,41,49,5,37,0,5,0,96,334,3,85,0,0,3,429,715,0,113,0,5,0,842,340,0,53,3,6,0,404,191,0,27,0,0,0,218,76,0,19,0,0,0,99,34,0,3,0,0,0,42,26,0,5,0,0,0,31,65,0,13,0,0,0,84,21,3,23,0,7,3,56,1877,108,445,19,35,23,2509
POA4008,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,7,0,3,0,0,0,8,6,0,6,0,0,0,10,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,35
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,3,3,0,0,0,10,0,8,0,4,0,0,7,0,19,0,0,0,0,25,4,3,13,5,0,0,24,6,3,4,0,0,0,16,18,3,8,0,0,0,31,54,0,12,0,0,0,68,166,4,19,0,0,0,194,88,0,15,0,0,0,110,34,0,7,0,0,0,48,18,0,3,0,0,0,16,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,19,409,45,91,17,7,7,567
POA4011,5,10,25,0,0,14,56,0,11,0,0,0,0,11,3,26,8,0,0,0,41,23,6,27,5,0,0,62,30,0,25,0,0,0,52,113,4,39,0,3,0,156,495,8,115,0,8,3,621,632,0,98,0,4,4,736,211,0,43,0,3,0,250,110,0,22,0,0,0,133,53,0,12,0,0,0,60,33,0,10,0,0,0,42,29,0,0,0,0,0,29,39,0,7,0,0,0,46,17,3,14,4,3,3,45,1781,63,451,19,24,22,2353
POA4012,0,14,30,0,6,10,63,3,44,0,5,0,0,54,6,141,14,3,0,3,167,25,59,25,19,0,3,133,46,25,30,14,0,0,111,139,13,54,4,7,0,212,643,19,133,13,3,3,813,1433,10,158,0,8,9,1616,510,0,67,0,0,5,581,98,0,17,0,3,0,118,32,0,4,0,0,0,38,21,0,3,0,0,0,23,6,0,0,0,0,0,8,5,0,0,0,0,0,8,20,24,19,17,5,0,91,2983,360,550,74,33,37,4043
POA4013,0,13,9,0,0,5,31,0,15,0,0,0,0,16,0,57,3,3,0,0,60,9,28,4,6,0,0,51,0,4,8,0,0,0,12,38,0,11,0,0,0,59,122,4,40,0,4,3,178,199,0,38,0,0,0,241,82,0,4,0,0,0,86,31,0,0,0,0,0,32,8,0,3,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,3,5,0,3,31,510,130,134,15,8,9,809
