POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA4000,647,227,4671,25,57,5624,46,34,402,11,3,494,31,7,170,30,17,260,714,269,5249,63,79,6377
POA4005,1192,223,5403,4,27,6851,109,25,576,0,5,718,30,3,136,0,7,181,1336,250,6111,4,43,7749
POA4006,431,276,4889,0,25,5620,39,10,512,0,0,565,15,13,154,0,5,190,482,301,5549,3,34,6372
POA4007,1777,363,2450,13,18,4618,119,43,355,4,3,526,34,10,73,3,3,129,1936,412,2881,19,23,5276
POA4008,87,0,0,0,0,93,16,0,0,0,0,16,5,0,0,0,0,5,113,0,0,3,0,115
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,307,43,514,4,6,869,24,3,84,0,4,117,7,0,28,0,0,39,336,43,627,4,10,1024
POA4011,2791,509,1944,13,21,5276,194,58,278,3,0,533,47,11,53,0,8,119,3034,575,2274,14,31,5931
POA4012,4121,717,2829,7,8,7689,441,80,491,0,3,1016,86,22,99,0,6,206,4643,819,3419,7,17,8909
POA4013,939,285,312,3,0,1538,90,54,80,0,0,223,20,15,16,0,0,46,1045,357,405,3,0,1807
POA4014,3419,127,40,5,6,3595,399,25,25,0,0,452,86,3,0,0,14,108,3904,154,69,5,21,4152
POA4017,10069,517,565,64,33,11250,1215,185,308,91,7,1800,214,36,32,15,4,299,11502,732,897,164,46,13350
POA4018,2434,1450,110,0,26,4024,284,267,52,0,3,606,58,41,7,0,5,114,2776,1764,166,0,39,4742
POA4019,4926,405,1191,62,21,6600,863,128,508,42,3,1551,123,15,71,4,3,222,5915,550,1769,112,33,8367
POA4020,4892,561,1810,72,24,7367,701,299,584,23,3,1614,111,28,53,0,3,203,5708,894,2448,95,35,9183
POA4021,2396,443,37,7,3,2881,427,184,24,0,0,632,63,23,4,0,4,94,2885,650,66,7,8,3611
POA4022,1526,315,151,0,3,1997,178,100,120,0,0,397,42,5,12,0,0,63,1743,419,287,0,3,2456
POA4025,34,0,0,0,3,34,12,0,0,0,0,15,8,0,0,0,0,4,53,0,0,0,3,57
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,2936,304,2492,7,18,5758,210,23,378,0,0,609,67,9,68,0,9,150,3211,332,2935,10,31,6515
POA4031,2868,425,1269,4,17,4581,278,93,223,0,0,601,56,15,36,0,0,103,3199,533,1534,4,20,5285
POA4032,2795,761,1642,3,4,5210,434,121,408,0,0,962,126,74,78,0,4,279,3347,951,2130,4,13,6452
POA4034,10971,2012,944,72,53,14053,1282,555,297,86,13,2228,274,95,45,14,7,428,12527,2659,1285,171,70,16711
POA4035,6847,440,140,4,6,7440,326,107,96,0,0,536,94,17,14,0,0,122,7265,565,253,3,10,8093
POA4036,1887,98,3,3,4,1999,199,4,3,0,0,206,36,0,0,0,0,35,2130,106,3,3,4,2243
POA4037,2297,9,0,0,0,2310,54,0,0,0,0,57,31,0,0,0,0,31,2382,11,0,0,0,2396
POA4051,5799,1036,2072,10,27,8946,430,125,362,0,0,920,122,23,64,0,75,285,6352,1184,2504,10,101,10144
POA4053,11874,1216,1237,3,35,14367,1218,236,284,0,10,1740,223,40,36,0,36,341,13325,1492,1558,3,77,16449
POA4054,3945,364,113,7,3,4432,394,90,25,0,0,505,74,39,5,0,0,117,4411,491,146,7,6,5058
POA4055,5974,162,193,0,3,6334,255,34,17,0,0,298,64,3,8,0,0,79,6288,201,212,0,3,6708
POA4059,2113,314,2034,3,18,4488,113,25,216,0,0,346,70,10,75,0,4,157,2291,343,2326,3,24,4988
POA4060,3153,69,747,7,12,3989,191,3,97,0,7,293,72,0,20,3,19,113,3414,74,870,15,32,4399
POA4061,4979,234,44,3,6,5271,260,14,3,0,0,281,47,3,3,0,0,60,5289,252,50,3,12,5611
POA4064,2267,347,1124,22,12,3779,134,32,118,3,0,285,49,3,31,0,3,89,2455,387,1270,31,14,4150
POA4065,2505,221,236,0,10,2969,133,16,24,0,0,178,36,6,9,0,4,51,2678,240,270,3,19,3202
POA4066,2221,165,3669,9,14,6075,109,8,226,0,3,337,39,3,64,0,0,109,2368,175,3954,4,16,6519
POA4067,1123,232,2001,0,10,3366,54,11,106,0,0,176,28,0,36,0,0,66,1205,250,2146,0,9,3605
POA4068,3953,639,3689,3,58,8336,207,37,269,0,6,512,78,16,87,0,33,210,4239,687,4037,3,101,9065
POA4069,9972,246,59,9,20,10307,392,70,12,0,0,474,139,10,0,0,3,151,10507,329,65,9,22,10935
POA4070,3401,107,0,0,3,3516,121,25,0,0,0,148,59,6,0,0,3,66,3583,139,3,0,4,3730
POA4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,8
POA4073,2535,248,6,0,0,2784,105,20,0,0,0,123,24,0,0,0,0,26,2660,266,6,0,3,2940
POA4074,7102,478,29,3,8,7615,369,39,24,0,0,435,82,8,3,0,0,92,7555,527,57,3,6,8143
POA4075,5844,724,734,12,24,7332,442,103,148,0,3,693,77,27,29,0,4,145,6369,853,907,14,31,8176
POA4076,1097,207,13,0,4,1322,252,27,8,0,3,280,37,7,0,0,8,44,1384,239,18,0,11,1655
POA4077,5777,1202,138,101,44,7261,1426,326,119,83,12,1970,266,66,31,12,4,382,7472,1593,290,195,63,9614
POA4078,7059,382,94,3,0,7538,578,74,40,0,0,696,165,12,9,0,4,186,7798,471,139,3,4,8419
POA4101,1988,351,5325,18,45,7731,201,21,582,3,3,816,66,14,139,0,13,226,2250,389,6042,18,67,8775
POA4102,1072,74,1163,36,28,2374,105,11,239,0,4,361,38,4,57,0,8,108,1208,86,1462,44,44,2851
POA4103,2371,781,1711,4,19,4888,172,59,327,0,3,566,60,23,51,0,3,132,2599,860,2087,5,30,5589
POA4104,1118,398,677,0,10,2202,74,42,180,0,0,296,23,10,32,0,0,62,1215,444,894,0,7,2559
POA4105,2770,654,974,0,21,4423,277,68,267,4,3,623,68,23,36,0,0,129,3120,751,1278,4,21,5166
POA4106,380,27,33,4,4,449,81,0,7,0,0,91,24,0,0,0,0,24,482,23,42,4,5,561
POA4107,1718,110,53,3,8,1895,216,10,7,0,0,235,47,5,4,0,3,52,1979,130,65,4,9,2180
POA4108,1388,172,117,0,8,1685,198,48,44,0,3,294,54,4,7,0,6,70,1643,228,164,0,15,2054
POA4109,8777,1089,165,42,28,10103,839,128,14,33,20,1029,271,238,9,10,84,607,9890,1452,181,81,130,11745
POA4110,2605,243,48,5,8,2915,445,45,12,0,3,504,89,16,5,0,3,111,3147,302,61,5,15,3525
POA4111,211,0,62,0,0,270,17,0,10,0,0,22,3,0,3,0,0,4,225,0,76,0,0,303
POA4112,1856,300,0,3,4,2159,125,24,3,0,0,152,33,11,0,0,0,42,2017,338,0,3,3,2356
POA4113,5968,2288,125,200,35,8616,422,168,26,126,9,756,125,62,4,16,3,216,6513,2525,158,344,51,9590
POA4114,4902,1358,317,47,16,6643,1249,585,206,23,29,2096,231,95,35,10,11,382,6385,2037,563,84,56,9121
POA4115,4994,515,30,26,3,5566,325,73,9,23,0,430,73,10,3,3,0,91,5387,595,41,55,6,6086
POA4116,5643,1589,16,0,3,7249,275,130,3,0,0,412,114,42,0,0,0,162,6034,1762,16,0,4,7830
POA4117,338,19,0,3,3,362,28,0,0,0,0,32,3,0,0,0,0,3,375,18,0,3,3,396
POA4118,7833,563,43,3,14,8454,805,93,7,0,0,912,161,18,0,3,0,181,8804,675,50,8,12,9547
POA4119,1559,257,17,0,3,1829,110,42,8,0,0,161,26,3,0,0,0,33,1697,297,28,0,3,2024
POA4120,1368,288,1483,3,22,3170,112,29,288,0,3,432,26,13,57,0,0,98,1510,328,1826,3,24,3697
POA4121,6724,304,650,64,15,7758,639,40,152,12,0,849,130,6,40,0,7,184,7489,358,837,75,27,8792
POA4122,10370,1354,1433,9,27,13192,1243,152,323,0,10,1731,239,21,53,0,7,328,11860,1529,1810,12,42,15247
POA4123,5131,452,55,33,7,5683,345,84,66,20,0,512,95,14,6,0,0,114,5571,549,131,47,7,6313
POA4124,4999,175,5,5,16,5191,476,83,0,3,3,566,118,10,0,0,0,129,5590,264,4,10,16,5881
POA4125,1885,51,0,43,6,1982,285,20,0,17,3,331,62,0,0,6,5,72,2239,74,0,62,10,2384
POA4127,6273,1208,110,47,15,7661,653,269,93,38,3,1060,158,37,29,5,5,233,7088,1516,235,96,18,8956
POA4128,4458,236,260,28,8,4984,241,41,39,20,0,333,79,5,7,4,0,94,4772,278,304,47,6,5412
POA4129,1783,41,0,0,3,1828,139,0,0,0,0,140,45,0,0,0,0,45,1963,46,0,0,3,2011
