POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA4000,5,13,130,321,144,55,26,28,714,0,0,8,0,0,0,0,0,11,0,51,90,81,24,6,0,6,259,0,47,92,86,28,5,0,6,269,8,62,65,21,4,3,3,6,166,12,115,124,18,0,0,3,9,283,98,1222,2439,850,46,3,5,138,4794,0,0,0,0,0,0,0,0,0,123,1401,2625,891,49,5,4,149,5249,9,9,9,3,0,0,0,25,63,6,13,23,22,0,0,0,18,79,141,1488,2881,1319,221,68,34,234,6377
POA4005,8,23,140,487,451,165,39,28,1336,0,0,7,4,0,0,0,0,11,0,42,77,100,7,0,0,6,237,0,42,84,104,9,0,0,6,250,56,665,435,76,7,0,10,35,1289,23,415,1257,315,21,0,0,35,2063,6,567,1395,678,46,3,4,48,2754,0,7,5,0,0,0,0,0,7,90,1655,3094,1074,69,7,12,116,6111,0,0,0,0,3,3,0,0,4,0,9,18,3,0,0,0,9,43,94,1727,3337,1665,534,172,46,165,7749
POA4006,0,20,55,198,124,45,18,20,482,0,0,0,0,0,0,0,0,5,0,12,133,122,19,0,0,12,295,0,12,138,127,19,0,0,13,301,13,103,101,63,4,4,0,10,308,51,256,483,116,7,0,0,24,935,156,1733,1881,404,21,0,0,102,4307,0,0,0,0,0,0,0,0,0,220,2093,2464,586,38,4,7,134,5549,0,0,0,0,0,0,0,0,3,0,5,10,4,3,0,0,5,34,220,2124,2665,921,181,53,25,175,6372
POA4007,0,8,159,559,702,369,103,31,1936,0,0,10,11,0,0,0,0,20,0,25,127,202,21,5,0,7,394,0,25,136,208,22,5,0,13,412,4,127,492,96,5,0,3,22,751,16,95,566,108,3,0,0,10,800,3,484,611,192,7,0,0,21,1323,0,0,0,0,0,0,0,0,0,22,707,1673,396,18,0,7,52,2881,0,4,5,0,4,0,0,0,19,0,5,5,8,0,0,0,3,23,24,751,1985,1176,748,376,105,102,5276
POA4008,0,3,24,61,11,3,0,7,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,24,61,18,3,0,7,115
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,7,48,172,54,34,9,11,336,0,0,3,3,0,0,0,0,10,0,0,14,21,0,0,0,0,40,0,0,19,20,0,0,0,0,43,3,72,64,26,0,0,0,3,163,0,6,146,15,0,0,0,0,173,4,63,159,41,0,0,0,17,289,0,0,0,0,0,0,0,0,0,10,144,363,79,3,0,0,29,627,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,10,10,149,438,277,58,34,12,41,1024
POA4011,0,12,256,1105,1088,436,87,48,3034,0,14,45,7,3,0,0,0,74,0,26,189,242,21,10,0,9,503,0,43,231,254,27,13,0,11,575,20,170,486,77,7,0,0,33,797,0,75,1099,131,3,0,0,23,1334,0,3,74,55,3,0,0,3,138,0,0,0,0,0,0,0,0,0,23,253,1663,259,12,0,3,56,2274,0,0,7,3,0,3,0,0,14,0,5,8,5,6,0,0,8,31,19,310,2170,1621,1133,455,89,124,5931
POA4012,0,22,522,2308,1259,401,68,64,4643,0,4,77,22,0,0,0,7,103,0,65,222,380,35,4,0,17,720,0,64,299,401,35,4,0,20,819,26,302,670,116,0,0,3,33,1146,3,76,1153,119,3,0,0,37,1400,3,229,560,66,7,0,0,13,873,0,0,0,0,0,0,0,0,0,25,605,2382,303,11,0,3,86,3419,0,0,0,3,0,0,0,0,7,0,4,4,6,0,0,0,6,17,32,702,3207,3016,1300,403,72,180,8909
POA4013,4,7,166,462,268,91,28,16,1045,0,9,28,0,0,0,0,5,48,0,44,76,175,0,4,0,7,310,0,51,104,177,0,4,0,16,357,0,60,149,30,3,0,0,11,249,0,12,128,9,0,0,0,6,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,280,34,3,0,0,18,405,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,138,546,679,275,95,27,44,1807
