POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA4000,190,127,42,20,384,159,172,714,7,0,0,0,7,3,8,11,61,27,22,5,111,84,64,259,68,27,22,5,116,87,69,269,43,11,11,3,70,68,31,166,61,13,11,10,96,138,53,283,1469,490,172,129,2262,1655,875,4794,0,0,0,0,0,0,0,0,1578,520,197,137,2425,1860,957,5249,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,8,3,0,0,0,4,44,0,46,0,0,0,0,6,0,0,6,11,0,3,0,17,50,3,63,17,8,3,3,27,38,12,79,1860,683,263,164,2972,2192,1214,6377
POA4005,351,488,106,22,968,225,146,1336,5,0,3,0,9,4,3,11,71,34,17,0,121,94,24,237,78,36,19,3,134,97,25,250,262,52,45,14,375,776,143,1289,714,159,75,31,972,829,255,2063,1066,205,90,28,1396,1038,315,2754,3,0,0,0,3,4,0,7,2043,415,214,74,2745,2643,721,6111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,3,0,0,0,7,0,0,4,9,3,5,0,20,19,7,43,2486,943,345,96,3863,2983,900,7749
POA4006,105,125,42,10,277,99,103,482,0,0,0,0,0,0,0,5,81,39,19,5,145,73,77,295,81,39,19,5,145,70,77,301,74,21,14,3,113,137,63,308,249,67,33,21,366,404,160,935,1397,257,97,79,1826,1872,612,4307,0,0,0,0,0,0,0,0,1712,352,136,104,2309,2409,834,5549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,13,16,9,34,1916,519,197,125,2757,2595,1023,6372
POA4007,498,886,147,38,1566,310,61,1936,3,3,0,0,10,10,0,20,126,64,40,15,243,125,30,394,133,71,39,12,256,129,30,412,166,67,59,8,295,379,73,751,201,50,37,12,296,421,91,800,498,109,57,6,676,578,72,1323,0,0,0,0,0,0,0,0,865,226,141,32,1265,1376,233,2881,0,0,0,0,0,0,0,0,4,3,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,10,14,0,19,7,3,0,0,16,7,3,23,1503,1190,332,78,3103,1834,338,5276
POA4008,33,20,16,0,65,40,9,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,33,18,16,0,60,37,9,115
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,79,110,17,7,209,82,52,336,6,3,3,0,10,0,0,10,10,4,4,0,20,14,8,40,17,3,5,0,28,14,8,43,36,13,7,0,56,95,14,163,63,12,5,4,82,60,34,173,89,26,11,4,134,130,23,289,0,0,0,0,0,0,0,0,182,48,27,10,263,289,73,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,4,0,0,0,0,5,4,0,10,277,159,54,18,504,391,133,1024
POA4011,778,1305,299,40,2420,493,122,3034,23,11,3,0,35,35,0,74,125,85,55,9,273,179,48,503,146,94,59,8,303,222,54,575,153,76,43,12,292,442,60,797,340,148,76,32,594,600,147,1334,34,15,4,0,56,67,8,138,0,0,0,0,0,0,0,0,533,233,127,47,946,1111,218,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,3,4,14,8,4,0,0,9,3,4,14,3,4,3,0,9,12,7,31,1466,1645,488,99,3691,1843,399,5931
POA4012,1130,1831,513,82,3548,900,201,4643,25,8,5,0,36,54,5,103,184,115,81,21,397,245,77,720,211,120,86,18,440,302,84,819,255,112,66,24,461,614,71,1146,374,158,91,36,663,580,152,1400,281,85,54,20,440,322,112,873,0,0,0,0,0,0,0,0,913,359,211,79,1564,1518,337,3419,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,7,3,0,5,0,10,9,0,17,2262,2315,814,174,5568,2727,619,8909
POA4013,281,406,85,17,792,191,62,1045,5,3,14,0,17,26,0,48,70,43,37,8,151,115,46,310,72,46,48,8,170,145,46,357,46,24,22,3,92,136,18,249,30,14,14,5,64,82,10,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,40,31,10,153,216,35,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,428,491,166,36,1121,548,137,1807
